"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACAD-174","Innovators Forum","","1.0 units, max 2","Lecture","10200D","001","5:00-5:50pm","Monday","27","0","0","Osvaldo Trujillo",""
"ACAD-175","Innovators Roundtable","","1.0 units, max 2","Lecture","10201D","001","6:00-7:20pm","Monday","22","0","0","Osvaldo Trujillo","SKS404"
"ACAD-178","Digital Toolbox: Motion Graphics","M","2.0 units","Lecture","10204D","648","10:00-11:20am","Tue, Thu","22","0","0","","SKS404"
"ACAD-182","Case Studies in Innovation","PM","4.0 units","Lecture","10208D","001","2:00-3:40pm","Mon, Wed","22","0","0","Andrea Belz","SKS404"
"ACAD-206","Communication and Culture","","4.0 units","Lecture","20388R","001","2:00-3:20pm","Tue, Thu","150","0","0","Taj Frazier","ASC G26"
"","","","","Discussion","20389R","001","8:00-8:50am","Monday","25","0","0","","ANN209"
"","","","","Discussion","20391R","001","9:00-9:50am","Monday","25","0","0","","ANN209"
"","","","","Discussion","20393R","001","10:00-10:50am","Monday","25","0","0","","ANN209"
"","","","","Discussion","20394R","001","11:00-11:50am","Monday","25","0","0","","ANN209"
"","","","","Discussion","20395R","001","10:00-10:50am","Monday","25","0","0","","ANN309"
"","","","","Discussion","20396R","001","11:00-11:50am","Monday","25","0","0","","ANN309"
"ACAD-230","3D Design: Materials and Tools","P","4.0 units","Lecture-Lab","33331R","001","2:00-4:50pm","Mon, Wed","20","0","0","Alice Fung","HAR112D"
"ACAD-275","Coding I: Web Publishing and Development","M","4.0 units","Lecture","10209D","001","2:00-3:40pm","Tue, Thu","22","0","0","Patrick Dent","SKS404"
"ACAD-303","Web Design","P","2.0 units","Lecture-Lab","33329D","001","6:00-7:20pm","Mon, Wed","15","0","0","","WAH6"
"","","","","Lecture-Lab","33332D","001","12:00-1:20pm","Tue, Thu","18","0","0","Jeffrey Cain","WAH105"
"","","","","Lecture-Lab","33341D","001","12:00-1:50pm","Tue, Thu","15","0","0","","WAH6"
"","","","","Lecture-Lab","33351D","001","12:00-1:20pm","Mon, Wed","18","0","0","","WAH105"
"","","","","Lecture-Lab","33327D","001","12:00-1:20pm","Mon, Wed","15","0","0","Jeffrey Cain","WAH6"
"ACAD-306","Innovation, Entertainment, and the Arts","","4.0 units","Lecture","20480R","001","12:00-1:50pm","Mon, Wed","75","0","0","Doug Thomas","ASC204"
"ACAD-315x","Basics of Project and Operations Management for Non-Majors","M","2.0 units","Lecture","14976R","431","8:00-9:50am","Mon, Wed","40","1","0","Hiroshi Ochiumi","HOH301"
"ACAD-323g","Design Theory","","4.0 units","Lecture","33259D","001","12:00-1:50pm","Mon, Wed","25","0","0","Sherin Guirguis","HAR117"
"","","","","Lecture","33325D","001","2:00-3:50pm","Mon, Wed","40","0","0","Haven Lin-Kirk","HAR101"
"ACAD-330","3D Design: Objects and Space","P","4.0 units","Lecture","33289R","001","9:00-11:50am","Mon, Wed","20","0","0","Jeffrey Cain","HAR112D"
"ACAD-332a","Typography","","2.0 units","Lecture-Lab","33214D","001","9:00-11:50am","Friday","20","0","0","","WAH105"
"","","","","Lecture-Lab","33216D","001","2:00-4:50pm","Friday","22","0","0","","WAH105"
"","","","","Lecture-Lab","33345D","001","6:00-8:50pm","Tuesday","20","0","0","","HAR211"
"ACAD-332b","Typography","P","2.0 units","Lecture-Lab","33215R","001","2:00-4:50pm","Friday","20","0","0","","HAR117"
"ACAD-342","Mobile Application Development","P","3.0 units","Lecture-Lab","32023R","001","12:00-1:50pm","Mon, Wed","60","1","0","Trina Gregory","KAP160"
"ACAD-352","Digital Audio Recording and Processing","","4.0 units","Lecture","10221R","001","10:00-11:50am","Mon, Wed","12","0","0","Brian Shepard",""
"ACAD-354","Synthesis and Sound Design","","4.0 units","Lecture","10222R","001","10:00-11:50am","Mon, Wed","12","0","0","Brian Shepard","SKS401"
"ACAD-366","Designing Media and Communication Projects for Social Change","","4.0 units","Lecture","20991D","914","TBA","TBA","20","0","0","Sabrina Chong, Lisa Robinson","OFFICE"
"ACAD-375","Business and Professional Communication","","4.0 units","Lecture","20576R","001","10:00-11:50am","Mon, Wed","18","0","0","Jillian Pierson","ANN409ABC"
"","","","","Lecture","20578R","001","3:30-4:50pm","Mon, Wed","18","0","0","Paula Patnoe-Woodley","ANN409ABC"
"ACAD-419","Professional Internship","","2.0 units, max 4","Lecture","10217D","001","TBA","TBA","25","0","0","Brian Shepard","OFFICE"
"ACAD-490xx","Directed Research","","1.0-8.0 units, max 12","Lecture","10220D","001","TBA","TBA","25","0","0","","OFFICE"
"ACAD-599","Special Topics","","1.0-8.0 units, max 8"
"","Web Publishing and Development","","3.0","Lecture","10219R","001","4:00-6:50pm","Wednesday","20","0","0","Patrick Dent","KOH208"
