"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACCT-370","External Financial Reporting Issues","P","4.0 units","Lecture","14025D","001","12:00-1:50pm","Mon, Wed","45","0","0","Merle Hopkins","ACC310"
"","","","","Lecture","14026D","001","2:00-3:50pm","Mon, Wed","45","0","0","Elizabeth Chuk","ACC310"
"","","","","Lecture","14027D","001","4:00-5:50pm","Mon, Wed","45","1","0","Elizabeth Chuk","ACC310"
"","","","","Discussion","14029R","001","10:00-11:50am","Friday","150","1","0","Elizabeth Chuk, Merle Hopkins","HOH EDI"
"ACCT-371","Introduction to Accounting Systems","P","4.0 units","Lecture","14040D","001","8:00-9:50am","Tue, Thu","50","1","0","Leslie Porter","ACC310"
"","","","","Lecture","14041D","001","10:00-11:50am","Tue, Thu","50","0","0","Leslie Porter","ACC310"
"","","","","Lecture","14042D","001","12:00-1:50pm","Tue, Thu","51","0","0","Leslie Porter","ACC310"
"","","","","Discussion","14044R","001","10:00-11:50am","Friday","150","1","0","Leslie Porter","TBA"
"ACCT-372","Internal Reporting Issues","P","2.0 units","Lecture","14051R","442","10:00-11:50am","Tue, Thu","45","0","0","Andrew Tinseth","ACC303"
"","","","","Lecture","14052R","442","12:00-1:50pm","Tue, Thu","46","0","0","Andrew Tinseth","ACC303"
"","","","","Lecture","14050R","442","8:00-9:50am","Tue, Thu","46","0","0","Andrew Tinseth","ACC303"
"","","","","Lab","14053R","442","12:00-1:45pm","Friday","150","0","0","Andrew Tinseth","HOH EDI"
"ACCT-373","Introduction to Auditing and Assurance Services","P","2.0 units","Lecture","14055R","431","8:00-9:50am","Tue, Thu","40","0","0","Rose Layton","ACC205"
"","","","","Lecture","14056R","431","10:00-11:50am","Tue, Thu","40","0","0","Rose Layton","ACC205"
"","","","","Lecture","14057R","431","12:00-1:50pm","Tue, Thu","36","0","0","Rose Layton","ACC205"
