"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AEST-100b","Aerospace Studies I (Air Force Mission and Organization)","P","1.0 unit","Lecture","41710R","001","9:00-9:50am","Friday","30","0","0","","VKC201"
"","","","","Lecture","41711R","001","7:00-7:50am","Friday","5","0","0","","TBA"
"","","","","Lecture","41791D","791","9:00-9:50am","Friday","30","0","0","","VKC201"
"AEST-110b","Leadership Laboratory I","P","1.0 unit","Lecture","41795D","790","2:00-3:50pm","Friday","30","0","0","","THH202"
"","","","","Lecture-Lab","41715R","001","2:00-3:50pm","Friday","45","0","0","","THH202"
"AEST-200b","Aerospace Studies II (Air Force History)","P","1.0 unit","Lecture-Lab","41720R","001","10:00-10:50am","Friday","30","0","0","","VKC201"
"AEST-210b","Leadership Laboratory II","P","1.0 unit","Lecture","41796D","790","2:00-3:50pm","Friday","30","0","0","","THH202"
"","","","","Lecture-Lab","41725R","001","2:00-3:50pm","Friday","30","0","0","","THH202"
"AEST-220b","Advanced Leadership Laboratory II","P","1.0 unit","Lecture","41799D","790","2:00-3:50pm","Friday","30","0","0","","THH202"
"AEST-300b","Aerospace Studies III (Air Force Management and Leadership)","P","3.0 units","Lecture-Lab","41730R","001","9:00-11:50am","Friday","30","0","0","","OFFICE"
"AEST-310b","Leadership Laboratory III","P","1.0 unit","Lecture","41797D","790","2:00-3:50pm","Friday","30","0","0","","THH202"
"","","","","Lecture-Lab","41735R","001","2:00-3:50pm","Friday","30","0","0","","THH202"
"AEST-400b","Aerospace Studies IV (National Security Forces in Contemporary American Society)","P","3.0 units","Lecture","41794D","791","9:00-11:50am","Friday","30","0","0","","VKC211"
"","","","","Lecture-Lab","41740R","001","9:00-11:50am","Friday","30","0","0","","WPH B30"
"AEST-410b","Leadership Laboratory IV","P","1.0 unit","Lecture","41798D","790","2:00-3:50pm","Friday","30","0","0","","THH202"
"","","","","Lecture-Lab","41745R","001","2:00-3:50pm","Friday","30","0","0","","THH202"
"AEST-420b","Leadership Laboratory V","P","1.0 unit","Lecture","41750R","001","2:00-3:50pm","Friday","10","0","0","","THH202"
