"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-121gp","Art and Society: Renaissance to Modern","","4.0 units","Lecture","11818R","001","8:00-9:20am","Mon, Wed","132","1","0","Hector Reyes","THH301"
"","","","","Discussion","11819R","001","9:00-9:50am","Tuesday","22","0","0","Jessica Brier","VKC157"
"","","","","Discussion","11820R","001","9:00-9:50am","Thursday","22","0","0","Jessica Brier","VKC157"
"","","","","Discussion","11821R","001","9:00-9:50am","Friday","22","0","0","Avigail Moss","VKC155"
"","","","","Discussion","11822R","001","10:00-10:50am","Friday","22","0","0","Avigail Moss","VKC155"
"","","","","Discussion","11823R","001","11:00-11:50am","Friday","22","1","0","Erin Pauwels","VKC155"
"","","","","Discussion","11824R","001","12:00-12:50pm","Friday","22","0","0","Erin Pauwels","VKC155"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","8:30-9:50am","Mon, Wed","84","0","0","Sunkyung Kim","WPH B27"
"","","","","Discussion","11839R","001","9:00-9:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11840R","001","10:00-10:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11841R","001","11:00-11:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11842R","001","12:00-12:50pm","Friday","21","0","0","Samantha Burton","VKC209"
"AHIS-128g","Arts of Latin America","","4.0 units","Lecture","11863R","001","9:30-10:50am","Tue, Thu","84","0","0","Alexis Clark","THH102"
"","","","","Discussion","11864R","001","9:00-9:50am","Monday","21","0","0","Grant Johnson","THH215"
"","","","","Discussion","11865R","001","9:00-9:50am","Wednesday","21","0","0","Grant Johnson","THH215"
"","","","","Discussion","11866R","001","9:00-9:50am","Friday","21","0","0","Emily Anderson","THH215"
"","","","","Discussion","11867R","001","10:00-10:50am","Friday","21","0","0","Emily Anderson","VKC154"
"AHIS-250m","Modernity and Difference: Critical Approaches to Modern Art","","4.0 units","Lecture","11883R","001","2:00-3:20pm","Tue, Thu","20","1","0","Alexis Clark","VKC155"
"AHIS-322","Roman Art and Archaeology","","4.0 units","Lecture","11926R","001","11:00-12:20pm","Tue, Thu","30","0","0","Ann Yasin","VKC201"
"AHIS-330","Medieval Art","","4.0 units","Lecture","11930R","001","11:00-12:20pm","Tue, Thu","27","0","0","Carolyn Malone","VKC210"
"AHIS-361","British Art, 1730-1890","","4.0 units","Lecture","11946R","001","2:00-3:20pm","Tue, Thu","15","0","0","Samantha Burton","VKC209"
"AHIS-368","Modern Art I: 1700-1850","","4.0 units","Lecture","11966R","001","1:00-1:50pm","MWF","25","0","0","Hector Reyes","VKC209"
"AHIS-370","Modern Art III: 1940 to the Present","","4.0 units","Lecture","11968R","001","3:30-4:50pm","Tue, Thu","25","0","0","Samantha Burton","VKC211"
"AHIS-381g","Visual Culture of Asia","","4.0 units, max 8","Lecture","11977R","001","12:00-1:50pm","Mon, Wed","12","0","0","Sunkyung Kim","VKC379"
"AHIS-400x","Undergraduate Apprenticeship","MC","2.0 units, max 4","Lecture","11988D","001","TBA","TBA","10","0","0","Hector Reyes","OFFICE"
"AHIS-429","Studies in Art, Science, and Technology","","4.0 units","Lecture","11998D","001","9:00-10:20am","Mon, Wed","12","0","0","Justin Underhill","SCI L104"
"AHIS-430","Studies in Renaissance Art","","4.0 units","Lecture","12000D","001","12:30-1:50pm","Tue, Thu","15","0","0","Eunice Howe","VKC104"
"AHIS-469","Critical Approaches to Photography","","4.0 units","Lecture","12024D","001","2:00-3:20pm","Mon, Wed","25","0","0","Erin Pauwels","VKC252"
"AHIS-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","12041D","001","TBA","TBA","10","0","0","Hector Reyes","OFFICE"
"AHIS-494","Undergraduate Proseminar in Art History","","4.0 units","Lecture","12045D","001","2:00-3:20pm","Mon, Wed","15","0","0","James Thomas","VKC104"
"AHIS-495a","Undergraduate Honors Thesis","","2.0 units","Lecture","12047D","001","TBA","TBA","5","0","0","Amy Ogata","OFFICE"
"AHIS-495b","Undergraduate Honors Thesis","P","2.0 units","Lecture","12048D","001","TBA","TBA","5","0","0","Amy Ogata","OFFICE"
"AHIS-515","Seminar in Contemporary Art","","4.0 units, max 16","Lecture","12069D","001","2:00-4:50pm","Thursday","12","0","0","","TBA"
"AHIS-520","Seminar in Modern Art","","4.0 units, max 16","Lecture","12074D","001","2:00-4:50pm","Tuesday","12","0","0","Megan Luke","VKC379"
"AHIS-790","Research","","1.0-12.0 units","Lecture","12180D","001","TBA","TBA","5","0","0","Amy Ogata","OFFICE"
"AHIS-794a","Doctoral Dissertation","C","2.0 units","Lecture","12190D","001","TBA","TBA","5","0","0","Amy Ogata","OFFICE"
"AHIS-794b","Doctoral Dissertation","PC","2.0 units","Lecture","12191D","001","TBA","TBA","25","0","0","Amy Ogata","OFFICE"
"AHIS-794c","Doctoral Dissertation","PC","2.0 units","Lecture","12192D","001","TBA","TBA","5","0","0","Amy Ogata","OFFICE"
"AHIS-794d","Doctoral Dissertation","PC","2.0 units","Lecture","12193D","001","TBA","TBA","10","0","0","","OFFICE"
"AHIS-794z","Doctoral Dissertation","PC","0.0 units","Lecture","12194D","001","TBA","TBA","20","0","0","","OFFICE"
