"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ALI-225","Low Intermediate Writing Skills","","2.0 units","Lecture","10105R","001","9:30-10:50am","Tue, Thu","12","0","0","","VKC153"
"ALI-234","Intermediate Oral Skills","","2.0 units","Lecture","10108R","001","8:00-9:20am","Mon, Wed","12","0","0","","THH205"
"","","","","Lecture","10109R","001","2:00-3:20pm","Tue, Thu","12","0","0","","THH205"
"ALI-235","Intermediate Writing Skills","","2.0 units","Lecture","10111R","001","9:00-11:50am","Friday","12","0","0","","THH117"
"","","","","Lecture","10113R","001","12:30-1:50pm","Tue, Thu","12","1","0","","SOS B43"
"","","","","Lecture","10114R","001","2:00-3:20pm","Mon, Wed","12","1","0","","THH117"
"","","","","Lecture","10115R","001","2:00-3:20pm","Tue, Thu","12","1","0","","THH117"
"ALI-242","High Intermediate Pronunciation","","2.0 units","Lecture","10118R","001","11:00-12:20pm","Tue, Thu","12","1","0","","LVL3B"
"ALI-244","High Intermediate Oral Skills","","2.0 units","Lecture","10121R","001","8:00-9:20am","Tue, Thu","12","0","0","","LVL3B"
"","","","","Lecture","10123R","001","8:30-9:50am","Mon, Wed","12","0","0","","SOS B43"
"","","","","Lecture","10125R","001","11:00-12:20pm","Tue, Thu","12","0","0","","SOS B43"
"","","","","Lecture","10126R","001","2:00-3:20pm","Mon, Wed","12","0","0","","THH205"
"","","","","Lecture","10127R","001","2:00-3:20pm","Tue, Thu","12","1","0","","SOS B43"
"ALI-245","High Intermediate Writing Skills","","2.0 units","Lecture","10129R","001","8:00-9:20am","Tue, Thu","12","0","0","","SOS B45"
"","","","","Lecture","10130R","001","8:30-9:50am","Mon, Wed","12","0","0","","SOS B45"
"","","","","Lecture","10131R","001","9:00-11:50am","Friday","12","1","0","","LVL3B"
"","","","","Lecture","10133R","001","9:30-10:50am","Tue, Thu","12","1","0","","SOS B45"
"","","","","Lecture","10134R","001","11:00-12:20pm","Tue, Thu","12","0","0","","SOS B45"
"","","","","Lecture","10135R","001","12:30-1:50pm","Tue, Thu","12","0","0","","SOS B45"
"","","","","Lecture","10136R","001","2:00-3:20pm","Mon, Wed","12","1","0","","LVL3B"
"","","","","Lecture","10138R","001","3:30-4:50pm","Mon, Wed","12","0","0","","SOS B43"
"","","","","Lecture","10139R","001","5:00-6:20pm","Mon, Wed","12","0","0","","SOS B45"
"ALI-246","Intermediate Oral Communication for ITAs","","3.0 units","Lecture","10142D","001","10:00-11:50am","Tue, Thu","8","0","0","","WPH603"
"ALI-252","Advanced Pronunciation","","2.0 units","Lecture","10144R","001","2:00-3:20pm","Mon, Wed","12","0","0","","SOS B43"
"ALI-254","Advanced Oral Skills","","2.0 units","Lecture","10145R","001","2:00-3:20pm","Tue, Thu","12","0","0","","SOS B45"
"","","","","Lecture","10146R","001","3:30-4:50pm","Mon, Wed","12","0","0","","SOS B45"
"","","","","Lecture","10147R","001","5:00-6:20pm","Tue, Thu","12","1","0","","SOS B45"
"ALI-255","Advanced Writing Skills","","2.0 units","Lecture","10149R","001","9:00-11:50am","Friday","12","1","0","","SOS B45"
"","","","","Lecture","10150R","001","3:30-4:50pm","Tue, Thu","12","0","0","","SOS B45"
"ALI-256","High Intermediate Oral Communication for ITAs","","3.0 units","Lecture","10151D","001","12:00-1:50pm","Tue, Thu","8","0","0","","SOS B51"
"ALI-270","Advanced Oral Communication for ITAs","","3.0 units","Lecture","10154D","001","10:00-11:50am","Mon, Wed","8","0","0","","VKC153"
"","","","","Lecture","10155D","001","10:00-11:50am","Tue, Thu","8","0","0","","THH219"
"","","","","Lecture","10156D","001","12:00-1:50pm","Mon, Wed","8","0","0","","VKC153"
"ALI-271","Language Tutorial for International Teaching Assistants","","2.0 units","Lecture","10159D","001","8:00-9:50am","Friday","8","0","0","","VKC153"
"ALI-274","Advanced Academic and Professional Spoken English","","2.0 units","Lecture","10164D","001","12:30-1:50pm","Tue, Thu","8","0","0","","VKC153"
"","","","","Lecture","10166D","001","2:00-3:20pm","Tue, Thu","8","0","0","","SOS B50"
"ALI-275","Writing for Publication and Dissertations","","2.0 units","Lecture","10170D","001","3:30-4:50pm","Mon, Wed","8","0","0","James Polk","THH219"
"","","","","Lecture","10172D","001","4:00-6:50pm","Thursday","8","0","0","Mary Murphy","WPH400"
"","","","","Lecture","10173D","001","2:00-4:50pm","Friday","8","4","0","James Polk","SOS B45"
"ALI-280","English Skills and Strategies for the Job Search","","2.0 units, max 4","Lecture","10178R","001","5:00-6:20pm","Mon, Wed","12","0","0","","THH219"
"","","","","Lecture","10175R","001","2:00-3:20pm","Mon, Wed","12","0","0","","THH219"
