"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101gmw","Race and Class in Los Angeles","","4.0 units","Discussion","10319R","001","4:00-4:50pm","Monday","25","0","0","","VKC257"
"","","","","Lecture","10310R","001","11:00-12:20pm","Tue, Thu","7","1","0","Alicia Chavez","GFS106"
"","","","","Discussion","10311R","001","10:00-10:50am","Friday","25","0","0","","KAP141"
"","","","","Discussion","10312R","001","11:00-11:50am","Friday","26","0","0","","KAP141"
"","","","","Discussion","10313R","001","9:00-9:50am","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","10314R","001","9:00-9:50am","Thursday","25","1","0","","VKC151"
"","","","","Discussion","10315R","001","1:00-1:50pm","Monday","25","0","0","","THH112"
"AMST-111g","Sex in America","","4.0 units","Lecture","10329R","001","2:00-3:20pm","Mon, Wed","200","0","0","Jack Halberstam","SGM124"
"","","","","Discussion","10330R","001","9:00-9:50am","Wednesday","25","0","0","","KAP165"
"","","","","Discussion","10331R","001","9:00-9:50am","Friday","25","0","0","","KAP140"
"","","","","Discussion","10332R","001","10:00-10:50am","Friday","25","0","0","","KAP167"
"","","","","Discussion","10333R","001","11:00-11:50am","Friday","25","0","0","","KAP167"
"","","","","Discussion","10334R","001","3:30-4:20pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","10335R","001","4:30-5:20pm","Tuesday","25","0","0","","THH B10"
"","","","","Discussion","10336R","001","10:00-10:50am","Thursday","25","0","0","","WPH106"
"","","","","Discussion","10337R","001","9:00-9:50am","Thursday","26","0","0","","SOS B37"
"AMST-135gmw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","2:00-3:20pm","Mon, Wed","7","3","0","MacArena Gomez Barris","THH101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","10322R","001","11:00-11:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","10323R","001","9:00-9:50am","Wednesday","27","1","0","","THH B10"
"","","","","Discussion","10324R","001","9:00-9:50am","Monday","26","0","0","","THH B10"
"","","","","Discussion","10325R","001","1:00-1:50pm","Wednesday","25","1","0","","SOS B37"
"","","","","Discussion","10326R","001","1:00-1:50pm","Friday","25","0","0","","SOS B37"
"","","","","Discussion","10327R","001","1:00-1:50pm","Monday","25","1","0","","SOS B37"
"","","","","Discussion","10328R","001","9:00-9:50am","Thursday","25","0","0","","WPH106"
"AMST-150gw","The American War in Viet Nam","","4.0 units","Lecture","10338R","001","9:30-10:50am","Tue, Thu","8","1","0","Viet Nguyen","SGM124"
"","","","","Discussion","10339R","001","12:00-12:50pm","Wednesday","25","0","0","","VKC252"
"","","","","Discussion","10340R","001","2:00-2:50pm","Monday","25","0","0","","THH B9"
"","","","","Discussion","10341R","001","10:00-10:50am","Wednesday","25","0","0","","VKC209"
"","","","","Discussion","10342R","001","1:00-1:50pm","Wednesday","25","1","0","","VKC252"
"","","","","Discussion","10343R","001","1:00-1:50pm","Monday","25","0","0","","THH B9"
"","","","","Discussion","10344R","001","11:00-11:50am","Friday","25","0","0","","WPH106"
"","","","","Discussion","10345R","001","9:00-9:50am","Wednesday","25","0","0","","VKC211"
"","","","","Discussion","10346R","001","10:00-10:50am","Friday","25","0","0","","WPH106"
"AMST-200gm","Introduction to American Studies and Ethnicity","","4.0 units","Lecture","10347R","001","12:30-1:50pm","Tue, Thu","50","0","0","Chrisshonna Nieva","THH116"
"AMST-250gmw","The African Diaspora","","4.0 units","Lecture","10372R","001","12:30-1:50pm","Tue, Thu","7","1","0","","SGM101"
"","","","","Discussion","10373R","001","10:00-10:50am","Friday","24","0","0","","VKC258"
"","","","","Discussion","10375R","001","11:00-11:50am","Friday","25","0","0","","VKC258"
"","","","","Discussion","10376R","001","12:00-12:50pm","Wednesday","25","1","0","","THH B10"
"","","","","Discussion","10377D","001","12:00-12:50pm","Monday","25","0","0","","THH B10"
"","","","","Discussion","10378D","001","1:00-1:50pm","Monday","25","0","0","","THH B10"
"","","","","Discussion","10380R","001","1:00-1:50pm","Wednesday","25","0","0","","THH B10"
"AMST-274gmw","Exploring Ethnicity Through Film","","4.0 units","Lecture","10390R","001","11:00-12:20pm","Tue, Thu","5","1","0","Kara Keeling","THH202"
"","","","","Discussion","10391R","001","10:00-10:50am","Friday","25","0","0","","VKC252"
"","","","","Discussion","10392R","001","11:00-11:50am","Friday","25","0","0","","VKC252"
"","","","","Discussion","10395R","001","9:00-9:50am","Tuesday","25","0","0","","SOS B37"
"","","","","Discussion","10396R","001","1:00-1:50pm","Thursday","25","1","0","","THH B9"
"AMST-301gp","America, the Frontier, and the New West","","4.0 units","Lecture","10408R","001","2:00-3:50pm","Mon, Wed","7","0","0","Thomas Gustafson","THH201"
"","","","","Discussion","10409R","001","11:00-11:50am","Friday","25","0","0","","VKC205"
"","","","","Discussion","10410R","001","12:00-12:50pm","Friday","25","0","0","","VKC205"
"","","","","Discussion","10411R","001","4:00-4:50pm","Monday","25","0","0","","VKC109"
"","","","","Discussion","10412R","001","4:00-4:50pm","Wednesday","26","0","0","","VKC109"
"","","","","Discussion","10413R","001","2:00-2:50pm","Friday","25","0","0","","VKC258"
"","","","","Discussion","10414R","001","3:00-3:50pm","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","10415R","001","4:00-4:50pm","Tuesday","25","0","0","","VKC155"
"","","","","Discussion","10416R","001","3:00-3:50pm","Friday","24","0","0","","WPH103"
"AMST-337m","Islam in Black America: From Slavery to Hip Hop","","4.0 units","Lecture","10417R","001","12:30-1:50pm","Tue, Thu","30","0","0","Sherman Jackson","THH108"
"AMST-342m","Law and Identities","","4.0 units","Lecture","10421R","001","10:00-10:50am","MWF","30","0","0","Alicia Chavez","KAP148"
"AMST-350","Junior Seminar in American Studies and Ethnicity: Theories and Methods","","4.0 units","Lecture","10424D","001","2:00-4:50pm","Tuesday","20","0","0","David Roman","THH119"
"AMST-357m","Latino Social Movements","","4.0 units","Lecture","10425R","001","2:00-3:20pm","Mon, Wed","30","0","0","Juan De Lara","KAP163"
"AMST-365","Leadership in the Community -- Internship","","4.0 units","Lecture","10426R","001","2:00-4:50pm","Wednesday","25","0","0","Stanley Huey","KAP165"
"AMST-373m","History of the Mexican American","","4.0 units","Lecture","10428R","001","2:00-3:20pm","Mon, Wed","30","0","0","Alicia Chavez","GFS108"
"AMST-382","America and the World: Japan Case Study","","4.0 units","Lecture","10447D","155","TBA","TBA","15","0","0","George Sanchez","OFFICE"
"AMST-392","Undergraduate Research Methods","","2.0 units","Lecture","10433D","001","12:30-1:50pm","Tuesday","30","0","0","George Sanchez","GFS221"
"AMST-395m","African American Humor and Culture","","4.0 units","Lecture","10434R","001","12:00-1:50pm","Mon, Wed","30","0","0","Lanita Jacobs","KAP158"
"AMST-442","American Literature, 1920 to the Present","","4.0 units","Lecture","32720R","001","1:00-1:50pm","MWF","19","0","0","Anthony Kemp","THH121"
"AMST-449m","Asian American Literature","","4.0 units","Lecture","10438R","001","11:00-12:20pm","Tue, Thu","30","0","0","","VKC261"
"AMST-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","10441D","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lecture","10442D","001","TBA","TBA","12","0","0","","OFFICE"
"AMST-493","Senior Honors Thesis in American Studies and Ethnicity","P","4.0 units","Lecture","10443R","001","2:00-4:50pm","Monday","12","0","0","MacArena Gomez Barris","KAP150"
"AMST-498","Senior Seminar in American Studies and Ethnicity","P","4.0 units","Lecture","10444R","001","2:00-4:50pm","Tuesday","12","0","0","","KAP150"
"AMST-522","Transpacific History","","4.0 units","Lecture","37203D","001","2:00-4:50pm","Wednesday","15","2","0","Lon Kurashige","WPH204"
"AMST-530","Readings in African American Studies","","4.0 units, max 8","Lecture","10456R","001","4:00-6:50pm","Tuesday","12","2","0","Francille Wilson","GFS114"
"AMST-570","Readings on Los Angeles and Urban Culture","","4.0 units","Lecture","10464R","001","2:00-4:50pm","Wednesday","12","2","0","Juan De Lara","KAP150"
"AMST-590","Directed Research","","1.0-12.0 units","Lecture","10478D","001","TBA","TBA","10","0","0","","OFFICE"
"AMST-680","Interdisciplinary Research Seminar in Cultural Studies","","4.0 units","Lecture","10489R","001","5:00-7:20pm","Thursday","12","0","0","Dorinne Kondo","KAP150"
"AMST-701","Contemporary Theories of American Studies and Ethnicity","","4.0 units, max 8","Lecture","10492R","001","4:00-6:20pm","Monday","12","0","0","Laura Pulido","KAP141"
"AMST-790","Research","","1.0-12.0 units","Lecture","10493D","001","TBA","TBA","5","0","0","","OFFICE"
"AMST-794a","Doctoral Dissertation","","2.0 units","Lecture","10495D","001","TBA","TBA","10","0","0","","OFFICE"
"AMST-794b","Doctoral Dissertation","P","2.0 units","Lecture","10496D","001","TBA","TBA","10","0","0","","OFFICE"
"AMST-794c","Doctoral Dissertation","P","2.0 units","Lecture","10497D","001","TBA","TBA","10","0","0","","OFFICE"
"AMST-794d","Doctoral Dissertation","P","2.0 units","Lecture","10498D","001","TBA","TBA","10","0","0","","OFFICE"
"AMST-794z","Doctoral Dissertation","P","0.0 units","Lecture","10499D","001","TBA","TBA","20","0","0","","OFFICE"
