"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANST-503","Advanced Pharmacology of Anesthesia Practice II","P","4.0 units","Lecture","40303D","046","9:00-12:50pm","Tuesday","16","0","0","","CHP233A"
"ANST-504","Advanced Physiology/Pathophysiology for Anesthetists","P","4.0 units","Lecture","40304D","046","9:00-12:50pm","Monday","16","0","0","","CHP233A"
"ANST-505","Clinical Residency in Nurse Anesthesia I","PM","2.0 units","Lecture-Lab","40305D","046","TBA","TBA","16","0","0","","OFFICE"
"ANST-507","Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40307R","046","TBA","TBA","16","0","0","","OFFICE"
"ANST-509","Advanced Clinical Residency in Nurse Anesthesia I","PM","2.0 units","Lecture-Lab","40309R","046","TBA","TBA","16","0","0","","OFFICE"
"ANST-511","Advanced Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40311D","046","TBA","TBA","16","0","0","","OFFICE"
"ANST-512","Research Integration: Capstone Experience","M","2.0 units","Lecture","40312R","046","TBA","TBA","18","0","0","","OFFICE"
"ANST-513","Advanced Clinical Residency in Nurse Anesthesia III","PM","2.0 units","Lecture-Lab","40313R","046","TBA","TBA","16","0","0","","OFFICE"
"ANST-590","Directed Research","PM","1.0-12.0 units","Lecture","40315D","001","TBA","TBA","5","0","0","","OFFICE"
"ANST-591","Special Projects","M","1.0-4.0 units, max 4","Lecture","40316D","001","TBA","TBA","5","0","0","","OFFICE"
