"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANTH-101g","Illness and Healing: The Cross-Cultural Perspective","","4.0 units","Lecture","10601R","001","10:00-11:50am","Mon, Wed","50","0","0","Erin Moore",""
"","","","","Discussion","10702R","001","12:00-12:50pm","Wednesday","25","0","0","","VKC200"
"","","","","Discussion","10703R","001","1:00-1:50pm","Wednesday","25","0","0","","VKC151"
"ANTH-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Tue, Thu","140","0","0","Trond Sigurdsen","SGM123"
"","","","","Lab","38513R","001","8:00-9:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38515R","001","10:00-11:50am","Tuesday","20","0","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Thursday","20","0","0","","AHF B10"
"","","","","Lab","38518R","001","12:00-1:50pm","Tuesday","20","0","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Thursday","20","0","0","","AHF B10"
"ANTH-250g","Race and Sexual Politics in Southeast Asia","","4.0 units","Lecture","10602R","001","2:00-3:20pm","Tue, Thu","50","0","0","Janet Hoskins",""
"","","","","Discussion","10803R","001","9:00-9:50am","Tuesday","25","0","0","",""
"","","","","Discussion","10804R","001","10:00-10:50am","Tuesday","25","0","0","",""
"ANTH-263g","Exploring Culture Through Film","","4.0 units","Lecture","10710R","001","4:00-5:20pm","Tue, Thu","100","0","0","Andrei Simic","SLH200"
"","","","","Discussion","10711R","001","10:00-10:50am","Tuesday","25","0","0","","VKC207"
"","","","","Discussion","10712R","001","1:00-1:50pm","Tuesday","25","0","0","","VKC252"
"","","","","Discussion","10713R","001","10:00-10:50am","Thursday","25","0","0","","GFS229"
"","","","","Discussion","10714R","001","1:00-1:50pm","Thursday","25","0","0","","VKC252"
"","","","","Lecture","10603R","001","2:00-3:20pm","Tue, Thu","100","6","0","Andrei Simic","GFS106"
"","","","","Discussion","10604R","001","11:00-11:50am","Tuesday","25","1","0","","KAP145"
