"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ARCH-102bL","Architectural Design I","P","4.0 units","Lecture-Lab","11202D","001","2:00-5:50pm","Monday","88","0","0","Rob Berry","WAH B10, WAH B10"
"ARCH-106x","Workshop in Architecture","","2.0 units","Lecture","11206R","001","1:00-2:50pm","Friday","16","0","0","Valery Augustin","WAH B7"
"","","","","Lecture","11207R","001","10:00-11:50am","Thursday","15","0","0","Susanna Seierup","WAH B7"
"ARCH-202bL","Architectural Design II","P","6.0 units","Lecture-Lab","11212D","001","2:00-5:50pm","MWF","95","0","0","Stephen Deters","HAR215"
"ARCH-205bL","Building Science I","P","4.0 units","Lecture-Lab","11216D","001","2:00-4:50pm","Mon, Wed","11","0","0","Mina Chow","WAH B12"
"ARCH-207","Computer Applications in Architecture","","2.0 units","Lecture","11231R","001","10:00-11:50am","Monday","25","0","0","Justin Brechtel","WPH B36"
"ARCH-211","Materials and Methods of Building Construction","","3.0 units","Lecture","11230D","001","10:00-11:30am","Mon, Wed","95","0","0","Eric Nulman, Stephen Deters, Scott Uriu, Andy Ku</a>","WAH1"
"ARCH-213bg","Building Structures and Seismic Design","P","3.0 units","Lecture","11244D","001","12:30-1:50pm","Tue, Thu","130","0","0","G Schierle","HAR101"
"","","","","Lab","11246R","001","3:30-4:20pm","Thursday","29","0","0","G Schierle","VKC207"
"","","","","Lab","11248R","001","3:30-4:20pm","Thursday","29","0","0","G Schierle","VKC151"
"","","","","Lab","11250R","001","3:30-4:20pm","Thursday","29","0","0","G Schierle","VKC260"
"","","","","Lab","11254R","001","3:30-4:20pm","Thursday","28","0","0","G Schierle","VKC252"
"ARCH-214ag","World History of Architecture","","3.0 units","Lecture","11256D","001","10:00-11:50am","Wed, Fri","100","0","0","James Steele, Susanna Seierup</a>","GFS106"
"ARCH-220","The Architect's Sketchbook","","2.0 units","Lecture-Lab","11262R","001","9:00-11:50am","Friday","24","0","0","Graeme Morland",""
"","","","","Lecture-Lab","11263R","001","9:00-11:50am","Friday","16","0","0","Miller Fong","HAR102"
"ARCH-302bL","Architectural Design III","P","6.0 units","Lecture-Lab","11270D","001","2:00-5:50pm","MWF","90","0","0","Alvin Huang","WAH200"
"ARCH-303","Principles of Spatial Design I","P","4.0 units","Lecture","11303D","001","10:00-11:50am","Mon, Wed","15","0","0","Lauren Matchison","HAR115A"
