"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-121gp","Art and Society: Renaissance to Modern","","4.0 units","Lecture","11818R","001","8:00-9:20am","Mon, Wed","132","1","0","Hector Reyes","THH301"
"","","","","Discussion","11819R","001","9:00-9:50am","Tuesday","22","0","0","Jessica Brier","VKC157"
"","","","","Discussion","11820R","001","9:00-9:50am","Thursday","22","0","0","Jessica Brier","VKC157"
"","","","","Discussion","11821R","001","9:00-9:50am","Friday","22","0","0","Avigail Moss","VKC155"
"","","","","Discussion","11822R","001","10:00-10:50am","Friday","22","0","0","Avigail Moss","VKC155"
"","","","","Discussion","11823R","001","11:00-11:50am","Friday","22","1","0","Erin Pauwels","VKC155"
"","","","","Discussion","11824R","001","12:00-12:50pm","Friday","22","0","0","Erin Pauwels","VKC155"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","8:30-9:50am","Mon, Wed","84","0","0","Sunkyung Kim","WPH B27"
"","","","","Discussion","11839R","001","9:00-9:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11840R","001","10:00-10:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11841R","001","11:00-11:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11842R","001","12:00-12:50pm","Friday","21","0","0","Samantha Burton","VKC209"
"AHIS-128g","Arts of Latin America","","4.0 units","Lecture","11863R","001","9:30-10:50am","Tue, Thu","84","0","0","Alexis Clark","THH102"
"","","","","Discussion","11864R","001","9:00-9:50am","Monday","21","0","0","Grant Johnson","THH215"
"","","","","Discussion","11865R","001","9:00-9:50am","Wednesday","21","0","0","Grant Johnson","THH215"
"","","","","Discussion","11866R","001","9:00-9:50am","Friday","21","0","0","Emily Anderson","THH215"
"","","","","Discussion","11867R","001","10:00-10:50am","Friday","21","0","0","Emily Anderson","VKC154"
"ARCH-214ag","World History of Architecture","","3.0 units","Lecture","11256D","001","10:00-11:50am","Wed, Fri","100","0","0","James Steele, Susanna Seierup</a>","GFS106"
"ART-141Lg","Creating and Understanding Visuals","","4.0 units","Lecture","33425R","001","11:00-12:50pm","Wednesday","35","0","0","","WAH118"
"","","","","Lecture","33425R","001","11:00-12:50pm","Wednesday","35","0","0","","WAH118"
"","","","","Lab","33427R","001","11:00-12:50pm","Monday","35","0","0","","WAH118"
"","","","","Lab","33427R","001","11:00-12:50pm","Monday","35","0","0","","WAH118"
"CLAS-280gp","Classical Mythology","","4.0 units","Lecture","19810R","001","11:00-12:20pm","Tue, Thu","200","2","0","Thomas Habinek","THH201"
"","","","","Discussion","19811R","001","8:00-8:50am","Monday","25","0","0","","VKC151"
"","","","","Discussion","19812R","001","9:00-9:50am","Monday","25","0","0","","VKC151"
"","","","","Discussion","19813R","001","3:00-3:50pm","Wednesday","25","2","0","","THH B9"
"","","","","Discussion","19814R","001","4:00-4:50pm","Wednesday","25","0","0","","THH B9"
"","","","","Discussion","19815R","001","8:00-8:50am","Friday","25","0","0","","VKC158"
"","","","","Discussion","19816R","001","9:00-9:50am","Friday","25","0","0","","VKC158"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","0","0","","THH215"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","0","0","","THH215"
"CTCS-190g","Introduction to Cinema","","4.0 units","Lecture","18000R","001","2:00-5:50pm","Tuesday","325","0","0","Drew Casper","NCT"
"","","","","Discussion","18010R","001","10:00-10:50am","Tuesday","25","0","0","","SCA203"
"","","","","Discussion","18012D","001","12:00-12:50pm","Tuesday","25","0","0","","SCA310"
"","","","","Discussion","18015R","001","10:00-10:50am","Thursday","25","0","0","","SCI108"
