"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASCJ-200","Navigating Media and News in the Digital Age","","4.0 units","Lecture","21911D","001","2:00-3:20pm","Tue, Thu","50","0","0","Alison Trope, Judy Muller</a>","ASC231"
"","","","","Lab","21912R","001","11:00-11:50am","Friday","25","0","0","","ANN406"
"","","","","Lab","21913R","001","TBA","TBA","25","0","0","","OFFICE"
"ASCJ-220x","Annenberg Experimental","","0.0-2.0 units, max 6"
"","Dynamics of the Video Revolution","","2.0","Lecture","21915R","207","6:30-9:50pm","Tuesday","24","0","0","","ANN L116"
"ASCJ-420","Annenberg Collaboratory","","0.0-4.0 units, max 8"
"","Produce and Host in Studio A","","2.0","Lecture","21928D","001","10:00-12:30pm","Thursday","12","0","0","Serena Cha","ANN L116"
"","HackLab","","4.0","Lecture","21939R","001","2:00-5:20pm","Wednesday","20","0","0","Francois Bar","ANN405"
"","CRUNCH Student Design Challenge","","2.0","Lecture","21940D","207","10:00-1:20pm","Friday","20","0","0","Erin Reilly","OFFICE"
"","Dynamics of the Mobile Revolution","","2.0","Lecture","21941R","001","2:00-5:20pm","Thursday","24","0","0","","ANN L116"
"","Skateboarding &amp; Action Sports in Business, Media &amp; Culture","","4.0","Lecture","21943R","001","10:00-11:50am","Mon, Wed","20","0","0","Neftalie Williams","ASC328"
"","Annenberg in New York City","","1.0","Lecture","21951D","627","TBA","TBA","16","0","0","Sarah Banet-Weiser, Willow Bay</a>","OFFICE"
"","Annenberg in the Bay Area","","1.0","Lecture","21952D","627","TBA","TBA","16","0","0","Burghardt Tenderich","OFFICE"
"","Athlete Speak: Communicating to the Professional Athlete","","4.0","Lecture","21953R","001","6:30-9:20pm","Monday","25","0","0","","ANN309"
"ASCJ-440","Engaging Urban Communities in the Digital Era","","2.0 units","Lecture","21990D","001","4:00-5:50pm","Tuesday","20","0","0","Mark Lloyd","ASC230"
