"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTE-280","Foundations of Astronautical Engineering","P","3.0 units","Lecture","29102R","001","2:00-3:20pm","Mon, Wed","70","1","0","","GFS116"
"ASTE-291","Team Projects I","","1.0 units, max 4"
"","Lunar Lander","","1.0","Lecture","29103D","001","9:00-10:50am","Wednesday","18","0","0","","OFFICE"
"","Microsatellite Project","","1.0","Lecture","29104D","001","4:00-5:20pm","Tuesday","18","0","0","","OFFICE"
"","Rocket Laboratory","","1.0","Lecture","29105D","001","TBA","Friday","18","0","0","","OFFICE"
"ASTE-301b","Thermal and Statistical Systems","P","3.0 units","Lecture","29108R","001","12:30-1:45pm","Tue, Thu","20","1","0","",""
"ASTE-421","Space Mission Design","PC","3.0 units","Lecture","29112R","001","3:30-4:50pm","Tue, Thu","20","3","0","Lisa Hill, David Barnhart","VHE206"
"ASTE-480","Spacecraft Dynamics","C","3.0 units","Lecture","29118R","001","6:30-9:10pm","Tuesday","24","2","0","","VHE206"
"ASTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29120D","001","TBA","TBA","18","0","0","","OFFICE"
"ASTE-491","Team Projects II","","1.0 units, max 4"
"","Lunar Lander","","1.0","Lecture","29123D","001","9:00-10:50am","Wednesday","18","0","0","","OFFICE"
"","Microsatellite Project","","1.0","Lecture","29124D","001","4:00-5:20pm","Tuesday","18","0","0","","OFFICE"
"","Rocket Laboratory","","1.0","Lecture","29125D","001","3:30-4:50pm","Friday","35","0","0","",""
"ASTE-524","Human Spaceflight","","3.0 units","Lecture","29122R","048","9:20-11:50am","Friday","20","10","0","Bruce Cordell","RTH109"
"","","","","Lecture","29152D","034","9:20-11:50am","Friday","20","0","0","Bruce Cordell","DEN@Viterbi"
"ASTE-552","Spacecraft Thermal Control","C","3.0 units","Lecture","29138R","048","6:40-9:20pm","Thursday","20","8","0","","OHE100C"
"","","","","Lecture","29168D","034","6:40-9:20pm","Thursday","20","1","0","","DEN@Viterbi"
"ASTE-572","Advanced Spacecraft Propulsion","C","3.0 units","Lecture","29174D","034","5:10-7:50pm","Friday","50","3","0","Keith Goodfellow","DEN@Viterbi"
"ASTE-580","Orbital Mechanics I","","3.0 units","Lecture","29145R","048","6:40-9:20pm","Wednesday","30","9","0","Gerald Hintz","OHE100B"
"","","","","Lecture","29175D","034","6:40-9:20pm","Wednesday","40","3","0","Gerald Hintz","DEN@Viterbi"
"ASTE-586","Spacecraft Attitude Dynamics","","3.0 units","Lecture","29149R","048","6:40-9:20pm","Thursday","20","2","0","Troy Goodson","RTH115"
"","","","","Lecture","29179D","034","6:40-9:20pm","Thursday","40","0","0","Troy Goodson","DEN@Viterbi"
"ASTE-590","Directed Research","","1.0-12.0 units","Lecture","29180D","048","TBA","TBA","18","0","0","","OFFICE"
"ASTE-594a","Master's Thesis","","2.0 units","Lecture","29181D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-594b","Master's Thesis","P","2.0 units","Lecture","29182D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-594z","Master's Thesis","P","0.0 units","Lecture","29183D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-599","Special Topics","","2.0-4.0 units, max 9"
"","Space Cryogenic Systems and Applications","","3.0","Lecture","29184R","048","6:40-9:20pm","Monday","8","0","0","","OHE114"
"","Reliability of Space Systems","","3.0","Lecture","29185D","034","TBA","Friday","20","0","0","","DEN@Viterbi"
"","Reliability of Space Systems","","3.0","Lecture","29186R","048","TBA","Friday","10","0","0","","OFFICE"
"","Space Cryogenic Systems and Applications","","3.0","Lecture","29187D","034","6:40-9:20pm","Monday","20","0","0","","DEN@Viterbi"
"ASTE-690","Directed Research","","1.0-4.0 units, max 8","Lecture","29190D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-694a","Thesis","","2.0 units","Lecture","29191D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-694b","Thesis","P","2.0 units","Lecture","29192D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-694z","Thesis","P","0.0 units","Lecture","29193D","048","TBA","TBA","8","0","0","","OFFICE"
"ASTE-790","Research","","1.0-12.0 units","Lecture","29194D","048","TBA","TBA","35","0","0","","OFFICE"
"ASTE-794a","Doctoral Dissertation","","2.0 units","Lecture","29195D","048","TBA","TBA","12","0","0","","OFFICE"
"ASTE-794b","Doctoral Dissertation","P","2.0 units","Lecture","29196D","048","TBA","TBA","12","0","0","","OFFICE"
"ASTE-794c","Doctoral Dissertation","","2.0 units","Lecture","29197D","048","TBA","TBA","12","0","0","","OFFICE"
"ASTE-794d","Doctoral Dissertation","P","2.0 units","Lecture","29198D","048","TBA","TBA","12","0","0","","OFFICE"
"ASTE-794z","Doctoral Dissertation","P","0.0 units","Lecture","29199D","048","TBA","TBA","12","0","0","","OFFICE"
