"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BAEP-423","Management of Small Businesses","","4.0 units","Lecture","14376R","001","2:00-3:50pm","Tue, Thu","60","0","0","Marianne Szymanski","SOS B46"
"BAEP-450","Fundamentals of Entrepreneurship","","4.0 units","Lecture","14377R","001","6:00-7:50pm","Tue, Thu","60","2","0","Albert Napoli","VPD105"
"BAEP-451","The Management of New Enterprises","","4.0 units","Lecture","14378R","001","10:00-11:50am","Tue, Thu","42","1","0","Elissa Grossman","BRI5"
"","","","","Lecture","14380R","001","2:00-3:50pm","Mon, Wed","30","0","0","P Amini","HOH304"
"","","","","Lecture","14381R","001","10:00-1:50pm","Friday","45","0","0","Patrick Henry","HOH1"
"","","","","Lecture","14382R","001","4:00-5:50pm","Tue, Thu","42","0","0","Albert Napoli","VPD106"
"BAEP-452","Feasibility Analysis","P","4.0 units","Lecture","14384R","001","2:00-3:50pm","Tue, Thu","50","0","0","Paul Orlando","HOH1"
"","","","","Lecture","14386R","001","12:00-1:50pm","Tue, Thu","42","0","0","Scott Yamano","BRI5"
"BAEP-453","Venture Management","PC","4.0 units","Lecture","14388R","001","2:00-3:50pm","Tue, Thu","32","0","0","Michael Napoliello","HOH422"
"BAEP-454","Venture Initiation: Launching and Scaling Your Startup","P","4.0 units","Lecture","14389R","001","4:00-5:50pm","Mon, Wed","40","0","0","Thomas Knapp","VKC260"
"BAEP-460","Seminar in Entrepreneurship","","2.0 units, max 4"
"","Entrepreneurship for the Solution of Technological Challenge","","2.0","Lecture","14387R","001","11:00-1:00pm","Tuesday","10","0","0","Gene Miller, Jon Lasch</a>",""
"","Building the Entrepreneurial Organization","","2.0","Lecture","14390D","431","4:00-7:20pm","Tuesday","17","0","0","Paul Orfalea","OFFICE"
"","Building the Entrepreneurial Organization","","2.0","Lecture","14391D","442","4:00-7:20pm","Tuesday","16","0","0","Paul Orfalea","OFFICE"
"","Entertainment Entrepreneurship","","2.0","Lecture","14400R","001","6:00-7:50pm","Tuesday","24","0","0","Michael Napoliello","VPD107"
"BAEP-465","Digital Playbook for Entrepreneurs: Creating a Tech Startup","","2.0 units","Lecture","14397R","001","2:00-3:50pm","Wednesday","40","0","0","Anthony Borquez","HOH301"
"","","","","Lecture","14423R","001","4:00-5:50pm","Wednesday","27","0","0","Anthony Borquez","SOS B37"
"BAEP-470","The Entrepreneurial Mindset- Taking the Leap","","2.0 units","Lecture","14394R","001","6:00-7:50pm","Wednesday","263","4","0","David Belasco","SAL101"
"BAEP-471","Social Innovation Design Lab","C","4.0 units","Lecture","14403D","001","12:00-1:50pm","Mon, Wed","21","0","0","Abby Fifer Mandell","THH106"
"BAEP-480","Entrepreneurial Family Business","C","4.0 units","Lecture","14396R","001","2:00-3:50pm","Tue, Thu","36","0","0","Albert Napoli","HOH304"
"BAEP-491","Introduction to Social Entrepreneurship","","4.0 units","Lecture","14424R","001","10:00-11:50am","Tue, Thu","60","0","0","","HOH1"
"BAEP-495","Practicum in Business Issues (Internship)","","1.0 unit","Lecture","14385D","001","TBA","TBA","10","0","0","","OFFICE"
"BAEP-496","The Digital Startup Launchpad","P","2.0 units","Lecture","14398R","001","7:00-8:50pm","Wednesday","30","0","0","Paul Orlando","VKC210"
"BAEP-549","The Entrepreneurial Journey","MC","2.0 units","Lecture","14426R","406","TBA","TBA","52","29","0","","OFFICE"
"BAEP-551","Introduction to New Ventures","MC","3.0 units","Lecture","14405R","033","3:30-4:50pm","Mon, Wed","60","0","0","Greg Autry","JKP212"
"BAEP-553","Cases in New Venture Management","MC","1.5-3.0 units","Lecture","14407D","033","6:30-9:30pm","Tuesday","70","0","0","Jeremy Dann","JKP212"
"BAEP-554","Venture Initiation","P","3.0 units","Lecture","14408D","033","6:30-9:30pm","Wednesday","44","0","0","Thomas Knapp","JKP112"
"BAEP-557","Technology Commercialization","MC","3.0 units","Lecture","14410D","033","6:30-9:30pm","Wednesday","40","0","0","Kathleen Allen","JKP202"
"BAEP-558","The Entrepreneurial Advisor: Problem Solving for Early-Stage Companies","MC","1.5-3.0 units","Lecture","14411D","033","6:30-9:30pm","Tuesday","24","0","0","Kathleen Allen","BRI5"
"BAEP-559","Investing in New Ventures","MC","3.0 units","Lecture","14412D","033","6:30-9:30pm","Monday","64","0","0","Ivan Nikkhoo","JKP212"
"BAEP-560","Acquiring Your Own Business or Opportunity","","3.0 units","Lecture","14414D","033","6:30-9:30pm","Monday","54","0","0","","JKP204"
"BAEP-561","Entrepreneurship in Innovative Industries: Life Sciences","","1.5 units","Lecture","14415D","415","6:30-9:20pm","Thursday","30","0","0","Molly Schmid","HOH421"
"BAEP-564","Investing in Impact Ventures","MC","3.0 units","Lecture","14413D","033","6:30-9:30pm","Thursday","62","0","0","Fran Seegull","JKP210"
"BAEP-590","Directed Research","","1.0-12.0 units","Lecture","14416D","033","TBA","TBA","10","0","0","","OFFICE"
"BAEP-591","Social Entrepreneurship","MC","2.0-3.0 units","Lecture","14418D","033","6:30-9:30pm","Tuesday","65","0","0","Adlai Wertman","HOH1"
"BAEP-592","Field Research in Business Entrepreneurship","C","0.5-4.0 units, max 12","Lecture","14421D","033","TBA","TBA","5","0","0","","OFFICE"
"BAEP-593","Independent Research in Business Entrepreneurship","C","0.5-4.0 units, max 12","Lecture","14422D","033","TBA","TBA","5","0","0","","OFFICE"
"","","","","Lecture","14449D","033","TBA","TBA","21","0","0","Adlai Wertman","OFFICE"
"BAEP-595","Internship in Business Entrepreneurship","MC","0.5-2.0 units, max 9","Lecture","14419D","033","TBA","TBA","20","0","0","","OFFICE"
"BAEP-597","Consulting Project in Business Entrepreneurship","C","0.5-5.0 units, max 12","Lecture","14420D","033","TBA","TBA","30","0","0","","OFFICE"
"BAEP-599","Special Topics","MC","1.5-3.0 units, max 9"
"","Entrepreneurship in eCommerce","","1.5","Lecture","14425D","033","5:00-6:20pm","Monday","40","0","0","Ivan Nikkhoo","JKP212"
