"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BIOC-502","Biochemistry Seminar","","1.0 units, max 12","Lecture","40353D","046","5:00-7:00pm","Wednesday","14","0","0","","MCH156"
"BIOC-504","Molecular Biology of Cancer","","4.0 units","Lecture","40654D","046","3:00-4:50pm","Mon, Wed","40","0","0","",""
"BIOC-536","Molecular Biology of Cellular Communication in the Nervous System","","2.0 units","Lecture","40355D","046","4:00-5:30pm","Wednesday","20","0","0","Zoltan Tokes","NRT3508"
"BIOC-543","Human Molecular Genetics","","4.0 units","Lecture","40358D","001","2:00-4:00pm","Wed, Fri","50","12","0","Hooman Allayee, Ruchi Bajpai, Paula Cannon, Peggy Farnham, Joseph Hacia, Peter Jones, Pragna Patel","CSC250"
"BIOC-549","Protein Chemistry -- Structure and Function","C","4.0 units","Lecture","40656D","046","1:00-2:50pm","Tue, Thu","40","1","0","Tobias Ulmer, Roger Duncan, Michael Stallcup, Enrique Cadenas, Francis Markland, Julio Camarero Palao, Steve Swenson, Peter Danenberg, Ian Haworth, Janet Oldak, Ralf Langen, Lucio Comai, Judd Rice, Ansgar Siemer, Jeannie Chen, Robert Farley, Curtis Okamoto, Mark Frey, Jian Xu, Pinghui Feng, Baruch Frenkel, Ebrahim Zandi, Axel Schonthal","MCH256"
"BIOC-551","Procaryotic Molecular Genetics","","4.0 units","Lecture","40743D","046","9:00-11:00am","Mon, Wed","50","0","0","Stanley Tahara",""
"BIOC-573","Optimal Research Presentations by Ph.D. Students","M","1.0 units, max 12","Lecture","40365D","046","12:00-1:00pm","Friday","100","1","0","Young-Kwon Hong","MCH156"
"BIOC-574","Systems Physiology and Disease II","MC","4.0 units","Lecture","40664D","046","9:00-10:50am","Wed, Fri","18","0","0","Harvey Kaslow","TBA"
"BIOC-590","Directed Research","","1.0-10.0 units","Lecture","40368D","046","TBA","TBA","25","0","0","","OFFICE"
"BIOC-594a","Master's Thesis","C","2.0 units","Lecture","40371D","046","TBA","TBA","10","0","0","","OFFICE"
"BIOC-594b","Master's Thesis","PC","2.0 units","Lecture","40374D","046","TBA","TBA","18","0","0","Zoltan Tokes","OFFICE"
"BIOC-594z","Master's Thesis","PC","0.0 units","Lecture","40377D","046","TBA","TBA","10","0","0","Zoltan Tokes","OFFICE"
"BIOC-790","Research","C","1.0-12.0 units","Lecture","40380D","046","TBA","TBA","95","0","0","","OFFICE"
"BIOC-794a","Doctoral Dissertation","C","2.0 units","Lecture","40383D","046","TBA","TBA","25","0","0","","OFFICE"
"BIOC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40386D","046","TBA","TBA","25","0","0","","OFFICE"
"BIOC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40389D","046","TBA","TBA","25","0","0","","OFFICE"
"BIOC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40392D","046","TBA","TBA","25","1","0","","OFFICE"
"BIOC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40395D","046","TBA","TBA","40","2","0","","OFFICE"
