"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BKN-550","Neurobehavioral Basis of Movement","","4.0 units","Lecture","12400R","012","5:00-7:00pm","Tue, Thu","15","2","0","","CHP233A"
"BKN-552","Physiological Basis of Voluntary Movement","","4.0 units","Lecture","12404R","012","7:30-10:30am","Monday","15","3","0","","TBA"
"BKN-557L","Functional Neuroanatomy with Lab Dissection","","3.0 units","Lecture-Lab","12441D","012","1:00-2:50pm","Mon, Wed","10","0","0","","CHP221"
"BKN-559","Readings in Biokinesiology","","1.0-4.0 units, max 8","Lecture","12406D","012","TBA","TBA","15","0","0","","OFFICE"
"BKN-573a","Advanced Dissection Anatomy","","2.0 units","Lecture","12418D","012","TBA","TBA","6","0","0","","OFFICE"
"BKN-573b","Advanced Dissection Anatomy","P","2.0 units","Lecture","12420D","012","TBA","TBA","2","0","0","","OFFICE"
"BKN-575","Principles of Musculoskeletal Imaging","","2.0 units","Lecture","12440R","012","TBA","TBA","20","0","0","","TBA"
"BKN-590","Directed Research","","1.0-12.0 units","Lecture","12432D","012","TBA","TBA","15","0","0","","OFFICE"
"BKN-593","Behavioral Basis of Motor Control and Learning","","3.0 units","Lecture","12437R","012","TBA","TBA","15","0","0","","TBA"
"BKN-617","Modeling the Motor System: An Introduction","","2.0 units","Lecture","12446R","012","TBA","TBA","6","0","0","","TBA"
"BKN-618L","Modeling the Motor System: Laboratory","","1.0 unit","Lecture-Lab","12448R","012","TBA","TBA","6","0","0","","TBA"
"BKN-672","Advanced Independent Study in Biokinesiology","MC","1.0-4.0 units, max 8","Lecture","12454D","012","TBA","TBA","10","0","0","","OFFICE"
"BKN-790","Research","","1.0-12.0 units","Lecture","12456D","012","TBA","TBA","15","0","0","","OFFICE"
"BKN-794a","Doctoral Dissertation","","2.0 units","Lecture","12460R","012","TBA","TBA","5","0","0","","OFFICE"
"BKN-794b","Doctoral Dissertation","P","2.0 units","Lecture","12462R","012","TBA","TBA","5","0","0","","OFFICE"
"BKN-794c","Doctoral Dissertation","P","2.0 units","Lecture","12464R","012","TBA","TBA","5","0","0","","OFFICE"
"BKN-794d","Doctoral Dissertation","P","2.0 units","Lecture","12466R","012","TBA","TBA","5","0","0","","OFFICE"
"BKN-794z","Doctoral Dissertation","P","0.0 units","Lecture","12468R","012","TBA","TBA","5","0","0","","OFFICE"
