"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BME-201","Biomedical Engineering Practice","","2.0 units","Lecture","29202D","001","12:00-1:50pm","Wednesday","37","0","0","Stan Yamashiro","KAP163"
"BME-210","Biomedical Computer Simulation Methods","P","3.0 units","Lecture","29200D","001","2:00-3:20pm","Mon, Wed","28","0","0","David D'Argenio","GFS207"
"","","","","Lecture","29201D","001","2:00-3:20pm","Mon, Wed","28","0","0","Brittany Kay","KAP140"
"BME-302L","Medical Electronics","P","4.0 units","Lecture","29205D","001","9:30-10:50am","Tue, Thu","48","10","0","Jean-Michel Maarek","GFS101"
"","","","","Lab","29210D","001","9:00-11:50am","Monday","16","4","0","Jean-Michel Maarek","DRB351"
"","","","","Lab","29215D","001","3:30-6:20pm","Monday","16","6","0","Jean-Michel Maarek","DRB351"
"BME-402","Control and Communication in the Nervous System","P","3.0 units","Lecture","29225D","001","11:00-12:20pm","Tue, Thu","72","24","0","Bartlett Mel","MHP106"
"BME-405L","Senior Projects: Measurements and Instrumentation","P","4.0 units","Lecture","29231D","001","2:00-3:20pm","Tue, Thu","36","17","0","Jean-Michel Maarek","ZHS163"
"","","","","Lab","29236D","001","4:00-6:50pm","Tuesday","16","15","0","Jean-Michel Maarek","DRB351"
"","","","","Lab","29241D","001","4:00-6:50pm","Thursday","20","2","0","Jean-Michel Maarek","DRB351"
"BME-410","Introduction to Biomaterials and Tissue Engineering","P","3.0 units","Lecture","29243D","001","2:00-3:20pm","Mon, Wed","60","14","0","Megan McCain","GFS101"
"BME-412","Fundamentals of Craniofacial and Dental Technology","","3.0 units","Lecture","22932R","001","2:00-4:50pm","Tuesday","35","0","0","","TBA"
"BME-414","Rehabilitation Engineering","","3.0 units","Lecture-Discussion","29245D","001","12:30-1:50pm","Tue, Thu","32","1","0","Brittany Kay","VKC157"
"BME-416","Development and Regulation of Medical Products","C","3.0 units","Lecture","29250D","014","2:00-4:50pm","Friday","40","0","0","Jerry Loeb","DEN@Viterbi"
"","","","","Lecture","29255D","001","2:00-4:50pm","Friday","57","3","0","","OHE122"
"BME-453","Engineering Biomedical Innovations","","3.0 units","Lecture","29266D","001","10:00-12:50pm","Friday","12","0","0","Tuan Hoang, George Tolomiczenko","DRB146"
"BME-489","Biochemical Engineering","P","3.0 units","Lecture","29434D","001","6:00-8:40pm","Wednesday","40","1","0","Pin Wang","VHE217"
"BME-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29260D","001","TBA","TBA","30","0","0","Ellis Meng","OFFICE"
"BME-501","Advanced Topics in Biomedical Systems","","4.0 units","Lecture","29265D","034","11:00-12:20pm","Mon, Wed","20","0","0","Brittany Kay","DEN@Viterbi"
"","","","","Lecture","29270D","048","11:00-12:20pm","Mon, Wed","55","2","0","Brittany Kay","OHE136"
"BME-505bL","Laboratory Projects in Biomedical Engineering","P","4.0 units","Lecture-Lab","29275D","048","TBA","TBA","28","2","0","Brent Liu","OFFICE"
"BME-513","Signal and Systems Analysis","","3.0 units","Lecture","29286D","034","2:00-3:20pm","Mon, Wed","35","2","0","Jesse Yen","DEN@Viterbi"
"","","","","Lecture","29290D","048","2:00-3:20pm","Mon, Wed","45","2","0","Jesse Yen","OHE132"
"BME-525","Advanced Biomedical Imaging","PC","3.0 units","Lecture","29295D","034","11:00-12:20pm","Tue, Thu","20","0","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29300D","048","11:00-12:20pm","Tue, Thu","30","1","0","Brent Liu","OHE120"
"BME-528","Medical Diagnostics, Therapeutics and Informatics Applications","P","3.0 units","Lecture","29305D","034","9:00-11:50am","Friday","10","0","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29310D","048","9:00-11:50am","Friday","20","0","0","Brent Liu","OHE100C"
"BME-533","Seminar in Bioengineering","","1.0 units, max 3","Lecture","29315D","034","12:30-1:50pm","Monday","70","1","0","","DEN@Viterbi"
"","","","","Lecture","29320D","048","12:30-1:50pm","Monday","93","8","0","","OHE122"
"BME-535","Ultrasonic Imaging","","3.0 units","Lecture","29325D","034","11:00-12:20pm","Mon, Wed","10","0","0","K Shung","DEN@Viterbi"
"","","","","Lecture","29330D","048","11:00-12:20pm","Mon, Wed","30","0","0","K Shung","OHE120"
"BME-552","Neural Implant Engineering","","3.0 units","Lecture","29340D","048","2:00-4:50pm","Thursday","25","3","0","James Weiland, Ted Berger","KAP164"
"BME-566b","Topics in Health, Technology and Engineering","PM","2.0 units","Lecture","29274D","048","3:30-5:20pm","Monday","30","0","0","George Tolomiczenko, Terence Sanger","DRB146"
"BME-566d","Topics in Health, Technology and Engineering","PM","2.0 units","Lecture","29276D","048","TBA","TBA","20","0","0","George Tolomiczenko, Terence Sanger","OFFICE"
