"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUAD-100x","Foundations of Finance and Accounting","","2.0 units","Lecture","14470D","928","4:00-5:50pm","Mon, Wed","160","0","0","Shiing-Wu Wang","SAL101"
"BUAD-102","Global Leadership Seminar","PMC","2.0 units","Lecture","14474D","001","10:00-11:50am","Friday","95","0","0","Carl Voigt","ZHS159"
"BUAD-104","Learning About International Commerce","M","2.0 units","Lecture","14479D","113","12:00-1:50pm","Friday","48","0","0","Julia Plotts","HOH303"
"","","","","Lecture","14480D","113","12:00-1:50pm","Friday","36","0","0","Jolanta Aritz","BRI8"
"","","","","Lecture","14482D","113","10:00-11:50am","Friday","40","0","0","Murat Bayiz","HOH304"
"","","","","Lecture","14484D","113","10:00-11:50am","Friday","42","0","0","Gerald Giaquinta","ACC310"
"","","","","Lecture","14488D","113","12:00-1:50pm","Friday","36","0","0","Johanna Tolan","BRI5"
"","","","","Lecture","14500D","894","10:00-11:50am","Friday","40","0","0","Thomas Knapp","BRI5"
"","","","","Lecture","14501D","894","12:00-1:50pm","Friday","40","0","0","Ruben Davila","HOH422"
"","","","","Lecture","14502D","894","12:00-1:50pm","Friday","30","0","0","Ashok Srinivasan","HOH306"
"","","","","Lecture","14503D","894","12:00-1:50pm","Friday","36","0","0","Michael Coombs","ACC205"
"","","","","Lecture","14504D","570","TBA","TBA","40","0","0","Joseph Nunes","OFFICE"
"BUAD-200x","Economic Foundations for Business","","2.0 units","Lecture","14485R","001","8:00-9:50am","Monday","39","0","0","Duke Bristow","HOH303"
"","","","","Lecture","14487R","001","8:00-9:50am","Wednesday","39","0","0","Duke Bristow","HOH303"
"BUAD-201x","Introduction to Business for Non-Majors","","4.0 units","Lecture","14486R","001","6:00-9:50pm","Monday","40","0","0","P Amini","VHE217"
"","","","","Lecture","14489R","001","5:00-8:20pm","Tuesday","35","0","0","Lien Denoo","VKC260"
"BUAD-206b","Transfer International Experience","PM","1.0 units, max 2","Lecture","14551D","297","10:00-11:50am","Friday","30","0","0","Arif Ansari","TBA"
"BUAD-215x","Foundations of Business Finance","P","4.0 units","Lecture","14495R","001","8:00-9:50am","Mon, Wed","73","1","0","Lloyd Levitin","HOH1"
"","","","","Lecture","14497R","001","8:00-9:50am","Tue, Thu","73","0","0","Lingwen Huang","HOH2"
"BUAD-252","Choosing and Planning a Future Career in Business","","2.0 units","Lecture","14589D","001","6:00-7:50pm","Monday","48","0","0","Kirk Snyder","GFS101"
"","","","","Lecture","14591D","001","6:00-7:50pm","Wednesday","48","0","0","Kirk Snyder","GFS101"
"BUAD-285a","Accounting Fundamentals, Financial and Managerial Accounting","","4.0 units","Lecture","14510R","001","8:00-9:50am","Mon, Wed","44","0","0","Smrity Randhawa","HOH304"
"","","","","Lecture","14511R","001","8:00-9:50am","Tue, Thu","44","0","0","Zivia Wilson Sweeney","HOH421"
"","","","","Lecture","14512R","001","10:00-11:50am","Mon, Wed","45","0","0","Smrity Randhawa","HOH304"
"","","","","Lecture","14513R","001","10:00-11:50am","Tue, Thu","44","0","0","Zivia Wilson Sweeney","HOH421"
"","","","","Lecture","14515R","001","2:00-3:50pm","Mon, Wed","45","1","0","Smrity Randhawa","ACC303"
"","","","","Lecture","14517R","001","12:00-1:50pm","Tue, Thu","41","0","0","Zivia Wilson Sweeney","HOH421"
"","","","","Lecture","14518R","001","4:00-5:50pm","Mon, Wed","36","0","0","Ruben Davila","ACC205"
"","","","","Lecture","14519R","001","6:00-7:50pm","Mon, Wed","39","0","0","Ruben Davila","ACC310"
"BUAD-285b","Accounting Fundamentals, Financial and Managerial Accounting","","2.0 units","Lecture","14520R","431","8:00-9:50am","Mon, Wed","40","0","0","Merle Hopkins","ACC310"
