"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUCO-252","The Art of Case Analysis and Presentation","","2.0 units","Lecture","15155R","001","10:00-11:50am","Friday","28","0","0","Yolanda Kirk","HOH306"
"BUCO-333m","Communication in the Working World -- Managing Diversity and Conflict","","4.0 units","Lecture","15196R","001","10:00-11:50am","Tue, Thu","28","0","0","Naomi Warren","HOH306"
"BUCO-445","Building Oral Communication Expertise","","4.0 units","Lecture","15170R","001","4:00-5:50pm","Mon, Wed","28","0","0","Kirk Snyder","HOH306"
"BUCO-450","Communication for Organizations: Exploring Creativity","","2.0 units","Lecture","15198R","001","2:00-3:50pm","Thursday","28","0","0","Ellen-Linnea Dipprey","HOH306"
"BUCO-458","Managing Communication and New Media","","4.0 units","Lecture","15221R","001","2:00-3:50pm","Tue, Thu","28","0","0","Lee Cerling","BRI202"
"BUCO-460","International Business Communication","","4.0 units","Lecture","15230R","001","12:00-1:50pm","Tue, Thu","28","0","0","Sharoni Little","HOH302"
"BUCO-485","Business Communication Management for Nonprofits","","4.0 units","Lecture","15227R","001","12:00-1:50pm","Tue, Thu","28","0","0","James Owens","HOH306"
"BUCO-503","Advanced Managerial Communication","MC","1.5-3.0 units","Lecture","15156D","411","6:30-9:30pm","Wednesday","25","0","0","Peter Cardon","HOH301"
"","","","","Lecture","15169D","415","11:00-12:20pm","Mon, Wed","25","1","0","Stephen Byars","JKP102"
"BUCO-590","Directed Research","","1.0-12.0 units","Lecture","15240D","033","TBA","TBA","5","0","0","","OFFICE"
"BUCO-593","Independent Research in Management Communication","C","0.5-4.0 units, max 12","Lecture","15203D","033","TBA","TBA","10","0","0","","OFFICE"
"BUCO-597","Consulting Project in Management Communication","C","0.5-5.0 units, max 12","Lecture","15245D","033","TBA","TBA","20","0","0","","OFFICE"
"BUCO-599","Special Topics","M","1.0-3.0 units, max 9"
"","Leading with Virtual Communication","","1.5","Lecture","15164D","411","11:00-12:20pm","Mon, Wed","25","0","0","Peter Cardon","JKP102"
"BUCO-633","Writing a Journal Article for Publication","C","2.0 units, max 4","Lecture","15185R","036","9:30-10:50am","Wednesday","10","0","0","Lee Cerling","ACC312"
"BUCO-636","Communication for Doctoral Students: Tutorial","PMC","1.0 units, max 4","Lecture","15258D","036","TBA","TBA","5","0","0","Lee Cerling","OFFICE"
