"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CBY-574","Statistical Methods in Bioexperimentation","","3.0 units","Lecture","22301D","432","TBA","TBA","25","0","0","Glenn Sameshima","TBA"
"CBY-576","Biochemical Aspects of Periodontal Disease","","3.0 units","Lecture","22303D","432","TBA","TBA","25","0","0","Homa Zadeh","TBA"
"CBY-585","Systematic Research Writing","","3.0 units","Lecture","22309D","432","TBA","TBA","25","0","0","Michael Schneir","TBA"
"CBY-586x","Scientific Writing Practicum","P","3.0 units","Lecture","22310D","432","TBA","TBA","25","0","0","Michael Schneir","TBA"
"CBY-590","Directed Research","","1.0-12.0 units","Lecture","22320D","432","TBA","TBA","35","0","0","Michael Paine","TBA"
"CBY-594a","Master's Thesis","C","2.0 units","Lecture","22321D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-594b","Master's Thesis","PC","2.0 units","Lecture","22322D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-594z","Master's Thesis","PC","0.0 units","Lecture","22323D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-671","Epistemology and Ethos of Bioscience","","2.0 units","Lecture","22308D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-790","Research","","1.0-12.0 units","Lecture","22324D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-794a","Doctoral Dissertation","C","2.0 units","Lecture","22325D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-794b","Doctoral Dissertation","PC","2.0 units","Lecture","22326D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-794c","Doctoral Dissertation","PC","2.0 units","Lecture","22327D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-794d","Doctoral Dissertation","PC","2.0 units","Lecture","22328D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
"CBY-794z","Doctoral Dissertation","PC","0.0 units","Lecture","22329D","432","TBA","TBA","25","0","0","Michael Paine","TBA"
