"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CE-108","Introduction to Computer Methods in Civil Engineering","","2.0 units","Lecture","29605R","001","4:00-4:50pm","Tue, Thu","36","0","0","Hung Wong","RTH115"
"","","","","Lecture","29609R","001","11:00-11:50am","Tue, Thu","36","0","0","Hung Wong","RTH109"
"","","","","Lab","29604R","001","12:00-1:50pm","Tuesday","36","0","0","","SAL127"
"","","","","Lab","29606R","001","10:00-11:50am","Tuesday","36","0","0","","SAL127"
"CE-205","Statics","P","2.0 units","Lecture","29607R","001","1:00-1:50pm","Tue, Thu","28","0","0","Amy Rechenmacher","KAP145"
"","","","","Discussion","29608R","001","2:00-2:50pm","Tuesday","28","0","0","","KAP145"
"CE-207","Introduction to Design of Structural Systems","P","2.0 units","Lecture","29610R","001","5:00-7:20pm","Monday","66","0","0","Navid Nastar","THH208"
"","","","","Lab","29611R","001","5:00-6:20pm","Wednesday","36","0","0","","SAL127"
"","","","","Lab","29612R","001","2:00-3:20pm","Tuesday","30","0","0","",""
"CE-225","Mechanics of Deformable Bodies","P","3.0 units","Lecture","29619R","001","9:00-9:50am","MWF","58","0","0","Vincent Lee","KAP156"
"","","","","Discussion","29621R","001","10:00-10:50am","Friday","25","0","0","","KAP166"
"","","","","Discussion","29622R","001","4:00-4:50pm","Wednesday","27","0","0","","KAP167"
"CE-235","Dynamics","P","3.0 units","Lecture","29626R","001","11:00-11:50am","MWF","65","0","0","Amy Rechenmacher","SSL150"
"","","","","Discussion","29627R","001","1:00-1:50pm","Wednesday","34","0","0","","KAP166"
"","","","","Discussion","29701R","001","10:00-10:50am","Thursday","35","0","0","","KAP164"
"CE-402","Computer Methods in Engineering","P","3.0 units","Lecture","29638R","001","2:00-3:15pm","Mon, Wed","45","6","0","Sami Masri","KAP146"
"","","","","Discussion","29643R","001","1:00-1:50pm","Tuesday","45","6","0","","WPH B28"
"CE-451","Water Resources Engineering","P","3.0 units","Lecture","29649R","001","10:00-11:40am","Mon, Wed","50","3","0","Jj Lee","KAP144"
"","","","","Discussion","29650R","001","1:00-1:50pm","Wednesday","50","3","0","","KAP140"
"CE-457","Reinforced Concrete Design","P","3.0 units","Lecture","29652R","001","9:30-10:50am","Tue, Thu","50","2","0","Hung Wong","THH116"
"CE-458","Theory of Structures II","P","3.0 units","Lecture","29655R","001","5:00-6:20pm","Mon, Wed","25","1","0","","KAP167"
"","","","","Lab","29656R","001","12:30-1:50pm","Monday","30","1","0","",""
"CE-460","Construction Engineering","","3.0 units","Lecture","29662R","001","6:30-9:10pm","Monday","40","9","0","Henry Koffman","KAP144"
"CE-462","Construction Methods and Equipment","","3.0 units","Lecture","29665R","001","3:30-6:10pm","Tuesday","45","0","0","Henry Koffman","WPH B28"
"CE-463L","Water Chemistry and Analysis","P","3.0 units","Lecture","29668R","001","6:30-8:40pm","Thursday","24","0","0","Massoud Pirbazari","KAP134"
"","","","","Discussion","29792R","001","5:00-6:20pm","Tuesday","24","0","0","","KAP134"
"","","","","Lab","29669R","001","1:00-3:00pm","Thursday","8","0","0","","PCE308"
"","","","","Lab","29670R","001","1:00-3:00pm","Tuesday","8","0","0","","PCE308"
"","","","","Lab","29791R","001","1:00-3:00pm","Wednesday","8","0","0","","PCE308"
"CE-465","Water Supply and Sewerage System Design","P","3.0 units","Lecture","29618R","001","6:30-9:10pm","Tuesday","37","1","0","Chun-Ching Wang","KAP140"
"CE-466","Design of Free-Surface Hydraulic Systems","P","3.0 units","Lecture","29674R","001","6:30-9:10pm","Wednesday","28","0","0","Jj Lee","KAP166"
"CE-467L","Geotechnical Engineering","P","4.0 units","Lecture","29675R","001","11:00-12:20pm","Tue, Thu","56","1","0","Amy Rechenmacher","GFS118"
"","","","","Lab","29671R","001","12:30-2:20pm","Tuesday","12","0","0","","KAP B40"
"","","","","Lab","29673R","001","3:30-5:20pm","Thursday","12","0","0","","KAP B40"
"","","","","Lab","29820R","001","9:00-10:50am","Wednesday","9","0","0","","KAP B40"
"","","","","Lab","29876R","001","1:00-2:50pm","Wednesday","10","1","0","","KAP B40"
"","","","","Lab","29877R","001","10:00-11:50am","Friday","10","0","0","","KAP B40"
"CE-480","Structural Systems Design","P","3.0 units","Lecture","29677R","001","2:00-3:15pm","Tue, Thu","40","6","0","Gregg Brandow","KAP163"
"CE-482","Foundation Design","P","3.0 units","Lecture","29676R","001","6:30-9:10pm","Thursday","35","0","0","","KAP148"
"CE-485","Wastewater Treatment Design","P","3.0 units","Lecture","29681R","001","6:30-9:10pm","Monday","28","1","0","Roger Stephenson","KAP147"
"CE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29684D","001","TBA","TBA","15","0","0","Erik Johnson","OFFICE"
"CE-501","Functions of the Constructor","","3.0 units","Lecture","29787R","048","3:30-6:10pm","Wednesday","48","7","0","David Ashley","KAP156"
"CE-502","Construction Accounting and Finance","","3.0 units","Lecture","29788R","048","3:30-6:10pm","Monday","48","6","0","Ed Reynolds","KAP156"
"CE-503","Microbiology for Environmental Engineers","","3.0 units","Lecture","29789R","048","6:30-9:10pm","Wednesday","30","1","0","Adam Smith","KAP148"
"CE-520a","Ocean and Coastal Engineering","P","3.0 units","Lecture","29709R","048","2:00-3:20pm","Wed, Fri","25","1","0","Costas Synolakis","KAP167"
"CE-539","Advanced Steel Structures","","3.0 units","Lecture","29721R","048","3:30-4:50pm","Tue, Thu","50","20","0","Gregg Brandow","OHE100D"
"","","","","Lecture","29722D","034","3:30-4:50pm","Tue, Thu","10","0","0","Gregg Brandow","DEN@Viterbi"
"CE-541b","Dynamics of Structures","P","3.0 units","Lecture","29801R","048","6:30-9:10pm","Monday","15","0","0","Sami Masri","KAP137"
"CE-542","Theory of Plates","P","3.0 units","Lecture","29763R","048","6:40-9:20pm","Tuesday","20","3","0","Abdel-Salam Niazy","OHE100C"
"","","","","Lecture","29780D","034","6:40-9:20pm","Tuesday","10","0","0","Abdel-Salam Niazy","DEN@Viterbi"
"CE-547","Earthquake Engineering: Response of Structures","","3.0 units","Lecture","29761R","048","3:30-6:10pm","Wednesday","24","5","0","Mihailo Trifunac","KAP137"
"CE-556","Project Controls-Budgeting and Estimating","","3.0 units","Lecture","29601R","048","6:30-9:10pm","Wednesday","35","11","0","Scotty Galloway","KAP147"
"CE-557","Advanced Building Estimating","","3.0 units","Lecture","29739R","048","6:40-9:20pm","Tuesday","25","4","0","John Cowles","RTH115"
"","","","","Lecture","29740D","034","6:40-9:20pm","Tuesday","10","0","0","John Cowles","DEN@Viterbi"
"CE-559","Strategic Planning in Construction Engineering","","3.0 units","Lecture","29744R","048","6:30-9:10pm","Tuesday","25","0","0","David Crain","KAP113"
"CE-566","Project Controls - Planning and Scheduling","","3.0 units","Lecture","29613D","034","6:40-9:20pm","Monday","10","1","0","","DEN@Viterbi"
"","","","","Lecture","29614R","048","6:40-9:20pm","Monday","25","5","0","","RTH115"
"CE-583","Design of Transportation Facilities","","3.0 units","Lecture","29816R","048","5:00-7:40pm","Friday","25","3","0","Amir Elsharief","KAP113"
"CE-588","Railroad Engineering","","3.0 units","Lecture","29802R","048","6:30-9:10pm","Tuesday","15","2","0","Jacqueline Patterson","KAP134"
"CE-590","Directed Research","","1.0-12.0 units","Lecture","29769D","048","TBA","TBA","20","0","0","Erik Johnson","OFFICE"
"CE-599","Special Topics","","2.0-4.0 units, max 9"
"","Environmental Fluid Mechanics","","3.0","Lecture","29651R","048","3:30-6:10pm","Wednesday","25","0","0","Felipe De Barros","VHE214"
"","Project Risk Management","","3.0","Lecture","29765R","048","3:30-6:10pm","Thursday","25","1","0","David Ashley","KAP138"
"CE-633","Urban Transportation Planning and Management","","4.0 units","Lecture","51272R","001","6:00-9:20pm","Monday","25","11","0","Sandipan Bhattacharjee","VKC210"
"CE-790","Research","","1.0-12.0 units","Lecture","29770D","048","TBA","TBA","32","0","0","Erik Johnson","OFFICE"
"CE-794a","Doctoral Dissertation","C","2.0 units","Lecture","29775D","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"CE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","29776R","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"CE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","29777R","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"CE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","29778R","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"CE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","29779D","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
