"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHEM-050x","General Chemistry Tutorial","","2.0 units","Lecture","17200D","001","12:30-1:50pm","Thursday","30","0","0","","SGM226"
"CHEM-051x","General Chemistry Tutorial","P","2.0 units","Lecture","17202D","001","3:30-4:50pm","Tuesday","35","0","0","Jessica Parr","SGM226"
"CHEM-102","The Molecular World","","4.0 units","Lecture","17204R","001","10:00-10:50am","MWF","36","0","0","Andrey Vilesov","SGM226"
"","","","","Discussion","17206R","001","3:30-4:50pm","Thursday","36","0","0","","SGM226"
"CHEM-103Lxg","General Chemistry for the Environment and Life","","4.0 units","Lecture","17208R","001","12:00-12:50pm","MWF","72","1","0","Rebecca Broyer","SLH102"
"","","","","Lab","17210R","001","9:00-11:50am","Monday","18","0","0","","SGM117"
"","","","","Lab","17212R","001","9:00-11:50am","Thursday","18","0","0","","SGM117"
"","","","","Lab","17214R","001","3:00-5:50pm","Monday","18","0","0","","SGM117"
"","","","","Lab","17216R","001","3:00-5:50pm","Thursday","18","1","0","","SGM117"
"CHEM-105aLg","General Chemistry","P","4.0 units","Lecture","17218R","001","9:00-9:50am","MWF","200","0","0","Thomas Bertolini","SGM124"
"","","","","Quiz","17220R","001","3:30-4:50pm","Tuesday","200","0","0","","SGM123"
"","","","","Lab","17222R","001","9:30-12:20pm","Thursday","6","0","0","","SGM136C/D"
"","","","","Lab","17224R","001","9:30-12:20pm","Thursday","6","0","0","","SGM136C/D"
"","","","","Lab","17226R","001","11:00-1:50pm","Thursday","6","0","0","","SGM133A/B"
"","","","","Lab","17228R","001","11:00-1:50pm","Thursday","6","0","0","","SGM133A/B"
"","","","","Lab","17230R","001","11:00-1:50pm","Thursday","6","0","0","","SGM136A/B"
"","","","","Lab","17232R","001","11:00-1:50pm","Thursday","6","0","0","","SGM136A/B"
"","","","","Lab","17234R","001","12:30-3:20pm","Thursday","6","0","0","","SGM136C/D"
"","","","","Lab","17236R","001","12:30-3:20pm","Thursday","6","0","0","","SGM136C/D"
"","","","","Lab","17238R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM133A/B"
"","","","","Lab","17240R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM133A/B"
"","","","","Lab","17242R","001","2:00-4:50pm","Thursday","6","0","0","","SGM133A/B"
"","","","","Lab","17244R","001","2:00-4:50pm","Thursday","6","0","0","","SGM133A/B"
"","","","","Lab","17246R","001","2:00-4:50pm","Thursday","6","0","0","","SGM136A/B"
"","","","","Lab","17248R","001","2:00-4:50pm","Thursday","6","0","0","","SGM136A/B"
"","","","","Lab","17250R","001","4:00-6:50pm","Wednesday","6","0","0","","SGM133A/B"
"","","","","Lab","17252R","001","4:00-6:50pm","Wednesday","6","0","0","","SGM133A/B"
"CHEM-105bL","General Chemistry","P","4.0 units","Lecture","17256R","001","9:00-9:50am","MWF","200","0","0","Rebecca Broyer","SGM123"
"","","","","Lecture","17258R","001","10:00-10:50am","MWF","200","0","0","Mark Thompson","SGM123"
"","","","","Lecture","17260R","001","11:00-11:50am","MWF","200","0","0","Jessica Parr","SGM123"
"","","","","Quiz","17262R","001","3:30-4:50pm","Thursday","600","0","0","","SGM123"
"","","","","Lab","17268R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17270R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17272R","001","11:00-1:50pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17274R","001","11:00-1:50pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17276R","001","12:00-2:50pm","Wednesday","6","0","0","","SGM136C/D"
"","","","","Lab","17278R","001","12:00-2:50pm","Wednesday","6","0","0","","SGM136C/D"
"","","","","Lab","17280R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17282R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17284R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17286R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17288R","001","1:00-3:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17290R","001","1:00-3:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17292R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17294R","001","1:00-3:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17296R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM136A/B"
"","","","","Lab","17298R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM136A/B"
"","","","","Lab","17300R","001","2:00-4:50pm","Monday","6","0","0","","SGM136C/D"
"","","","","Lab","17302R","001","2:00-4:50pm","Monday","6","0","0","","SGM136C/D"
"","","","","Lab","17304R","001","2:00-4:50pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17306R","001","2:00-4:50pm","Tuesday","6","0","0","","SGM136C/D"
"","","","","Lab","17308R","001","3:00-5:50pm","Wednesday","6","0","0","","SGM136C/D"
"","","","","Lab","17310R","001","3:00-5:50pm","Wednesday","6","0","0","","SGM136C/D"
"","","","","Lab","17312R","001","3:30-6:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17314R","001","3:30-6:20pm","Tuesday","6","0","0","","SGM133A/B"
"","","","","Lab","17316R","001","3:30-6:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17318R","001","3:30-6:20pm","Tuesday","6","0","0","","SGM136A/B"
"","","","","Lab","17320R","001","4:00-6:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17322R","001","4:00-6:50pm","Monday","6","0","0","","SGM133A/B"
"","","","","Lab","17324R","001","4:00-6:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17326R","001","4:00-6:50pm","Monday","6","0","0","","SGM136A/B"
"","","","","Lab","17328R","001","4:00-6:50pm","Wednesday","6","0","0","","SGM136A/B"
"","","","","Lab","17330R","001","4:00-6:50pm","Wednesday","6","0","0","","SGM136A/B"
"","","","","Lab","17332D","001","TBA","Monday","14","0","0","","OFFICE"
"CHEM-115bL","Advanced General Chemistry","P","4.0 units","Lecture-Discussion","17334D","001","9:00-9:50am","MWF","75","0","0","Jessica Parr, Anna Krylov","SGM101"
"","","","","Quiz","17336R","001","3:30-4:50pm","Thursday","75","0","0","","SGM101"
"","","","","Lab","17338R","001","9:00-11:50am","Tuesday","12","0","0","","SGM117"
"","","","","Lab","17340R","001","12:30-3:20pm","Tuesday","12","0","0","","SGM117"
"","","","","Lab","17342R","001","12:30-3:20pm","Wednesday","12","0","0","","SGM117"
"","","","","Lab","17344R","001","4:00-6:50pm","Tuesday","12","0","0","","SGM117"
"","","","","Lab","17346R","001","4:00-6:50pm","Wednesday","12","0","0","","SGM117"
"CHEM-205Lxg","Chemical Forensics: The Science, and Its Impact","","4.0 units","Lecture","17348R","001","12:00-12:50pm","MWF","150","1","0","Thomas Bertolini, Jessica Parr</a>","SGM124"
"","","","","Lab","17350R","001","12:00-1:50pm","Tuesday","15","0","0","","SGM307"
"","","","","Lab","17352R","001","12:00-1:50pm","Thursday","15","0","0","","SGM307"
"","","","","Lab","17354R","001","2:00-3:50pm","Tuesday","15","0","0","","SGM307"
"","","","","Lab","17356R","001","2:00-3:50pm","Wednesday","15","0","0","","SGM307"
"","","","","Lab","17358R","001","2:00-3:50pm","Thursday","15","0","0","","SGM307"
"","","","","Lab","17360R","001","2:00-3:50pm","Friday","15","0","0","","SGM307"
"","","","","Lab","17362R","001","4:00-5:50pm","Tuesday","15","0","0","","SGM307"
"","","","","Lab","17364R","001","4:00-5:50pm","Wednesday","15","0","0","","SGM307"
"","","","","Lab","17366R","001","4:00-5:50pm","Thursday","15","1","0","","SGM307"
"CHEM-251x","Organic Chemistry Tutorial B","P","2.0 units","Lecture","17367D","001","3:30-4:50pm","Monday","40","0","0","Rebecca Broyer","KAP145"
"CHEM-290aL","Special Laboratory","","1.0 unit","Lecture-Lab","17368D","001","TBA","TBA","10","0","0","","OFFICE"
"CHEM-290bL","Special Laboratory","P","1.0 unit","Lecture-Lab","17370D","001","TBA","TBA","10","0","0","","OFFICE"
"CHEM-290cL","Special Laboratory","P","1.0 unit","Lecture-Lab","17372D","001","TBA","TBA","10","0","0","","OFFICE"
"CHEM-290dL","Special Laboratory","P","1.0 unit","Lecture-Lab","17374D","001","TBA","TBA","10","0","0","","OFFICE"
"CHEM-292","Supervised Research","","2.0 units, max 4","Lecture","17376D","001","TBA","TBA","5","0","0","","OFFICE"
"CHEM-294","Undergraduate Research Seminar","","1.0 units, max 4","Lecture","17378R","001","4:30-5:50pm","Thursday","20","0","0","Ralf Haiges","GFS113"
"CHEM-300L","Analytical Chemistry","P","4.0 units","Lecture-Discussion","17380R","001","10:00-10:50am","MWF","60","0","0","William Schroeder","SSL150"
"","","","","Lab","17382R","001","9:00-12:50pm","Thursday","15","0","0","","SGM142"
"","","","","Lab","17384R","001","1:00-4:50pm","Tuesday","15","0","0","","SGM142"
"","","","","Lab","17386R","001","2:00-5:50pm","Monday","15","0","0","","SGM142"
"","","","","Lab","17388R","001","2:00-5:50pm","Thursday","15","0","0","","SGM142"
"CHEM-322aL","Organic Chemistry","P","4.0 units","Lecture","17390R","001","11:00-11:50am","MWF","200","0","0","Thomas Bertolini, Rebecca Broyer","SGM124"
"","","","","Discussion","17392R","001","12:00-12:50pm","Thursday","200","0","0","","SGM124"
"","","","","Discussion","17394R","001","1:00-1:50pm","Thursday","200","0","0","","SGM124"
"","","","","Quiz","17396R","001","3:30-4:50pm","Monday","200","0","0","","SGM124"
"","","","","Lab","17400R","001","11:00-1:50pm","Tuesday","6","0","0","","SGM204"
"","","","","Lab","17402R","001","11:00-1:50pm","Tuesday","6","0","0","","SGM204"
"","","","","Lab","17404R","001","11:00-1:50pm","Tuesday","6","0","0","","SGM204"
"","","","","Lab","17406R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM209"
"","","","","Lab","17408R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM209"
"","","","","Lab","17410R","001","12:30-3:20pm","Tuesday","6","0","0","","SGM209"
"","","","","Lab","17412R","001","2:00-4:50pm","Tuesday","6","0","0","","SGM204"
"","","","","Lab","17414R","001","2:00-4:50pm","Tuesday","6","0","0","","SGM204"
"","","","","Lab","17416R","001","2:00-4:50pm","Tuesday","6","0","0","","SGM204"
"","","","","Lab","17418R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM209"
"","","","","Lab","17420R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM209"
"","","","","Lab","17422R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM209"
"","","","","Lab","17424R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM204"
"","","","","Lab","17426R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM204"
"","","","","Lab","17428R","001","1:00-3:50pm","Wednesday","6","0","0","","SGM204"
"CHEM-322bL","Organic Chemistry","P","4.0 units","Lecture","17430R","001","10:00-10:50am","MWF","200","1","0","Thieo Hogen Esch","SGM124"
"","","","","Lecture","17432R","001","1:00-1:50pm","MWF","200","0","0","Valery Fokin","SGM124"
"","","","","Discussion","17434R","001","12:00-12:50pm","Tuesday","200","0","0","","SGM124"
"","","","","Discussion","17436R","001","1:00-1:50pm","Tuesday","200","1","0","","SGM124"
"","","","","Quiz","17438R","001","3:30-4:50pm","Wednesday","200","1","0","","SGM124"
"","","","","Lab","17444R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM209"
"","","","","Lab","17446R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM209"
"","","","","Lab","17450R","001","9:30-12:20pm","Thursday","6","0","0","","SGM209"
"","","","","Lab","17452R","001","9:30-12:20pm","Thursday","6","0","0","","SGM209"
"","","","","Lab","17454R","001","9:30-12:20pm","Thursday","6","0","0","","SGM209"
"","","","","Lab","17456R","001","10:00-12:50pm","Monday","6","0","0","","SGM204"
"","","","","Lab","17464R","001","10:00-12:50pm","Thursday","6","0","0","","SGM204"
"","","","","Lab","17466R","001","11:00-1:50pm","Monday","6","1","0","","SGM209"
"","","","","Lab","17468R","001","11:00-1:50pm","Monday","6","0","0","","SGM209"
"","","","","Lab","17470R","001","12:00-2:50pm","Monday","6","0","0","","SGM204"
"","","","","Lab","17472R","001","12:30-3:20pm","Thursday","6","0","0","","SGM209"
"","","","","Lab","17474R","001","12:30-3:20pm","Thursday","6","0","0","","SGM209"
"","","","","Lab","17476R","001","12:30-3:20pm","Monday","6","0","0","","SGM209"
"","","","","Lab","17478R","001","1:00-3:50pm","Monday","6","0","0","","SGM204"
"","","","","Lab","17480D","001","1:00-3:50pm","Thursday","6","0","0","","SGM204"
"","","","","Lab","17482D","001","1:00-3:50pm","Thursday","6","0","0","","SGM204"
"","","","","Lab","17484D","001","1:00-3:50pm","Thursday","6","0","0","","SGM204"
"","","","","Lab","17486D","001","2:00-4:50pm","Monday","6","0","0","","SGM209"
"","","","","Lab","17487D","001","2:00-4:50pm","Monday","6","0","0","","SGM209"
"","","","","Lab","17488D","001","2:00-4:50pm","Monday","6","0","0","","SGM209"
"CHEM-325bL","Organic Chemistry","P","4.0 units","Lecture","17490D","001","10:00-10:50am","MWF","15","0","0","Thieo Hogen Esch","SGM124"
"","","","","Lecture","17492R","001","1:00-1:50pm","MWF","15","0","0","Valery Fokin","SGM124"
"","","","","Discussion","17494R","001","12:00-12:50pm","Tuesday","15","0","0","","SGM124"
"","","","","Discussion","17496R","001","1:00-1:50pm","Tuesday","15","0","0","","SGM124"
"","","","","Quiz","17498R","001","3:30-4:50pm","Wednesday","15","0","0","","SGM124"
"","","","","Lab","17500R","001","2:00-4:50pm","Monday","6","0","0","","SGM204"
"","","","","Lab","17502R","001","9:30-12:20pm","Tuesday","6","0","0","","SGM209"
"CHEM-332L","Physical Chemical Measurements","","4.0 units","Lecture-Discussion","17506R","001","9:00-9:50am","Tuesday","15","0","0","Susumu Takahashi","SGM226"
"","","","","Lab","17508R","001","10:00-11:50am","Tuesday","15","0","0","",""
"CHEM-423L","Advanced Laboratory Techniques in Organic and Inorganic Chemistry","P","4.0 units","Lecture","17516R","001","2:00-3:20pm","Thursday","12","0","0","Nicos Petasis","SGM226"
"","","","","Discussion","17518R","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lab","17520R","001","3:30-7:20pm","Thursday","15","0","0","","SGM209C, SGM209C"
"CHEM-430b","Physical Chemistry","P","4.0 units","Lecture","17522R","001","11:00-11:50am","MWF","50","1","0","Vadim Cherezov","SGM601"
"","","","","Discussion","17524R","001","1:00-2:50pm","Friday","25","0","0","","VKC154"
"","","","","Discussion","17526R","001","1:00-2:50pm","Friday","25","1","0","","VKC155"
"CHEM-453","Advanced Inorganic Chemistry","P","4.0 units","Lecture","17528R","001","10:00-10:50am","MWF","30","0","0","Mark Thompson, Smaranda Marinescu","GFS229"
"","","","","Discussion","17530R","001","12:00-12:50pm","Friday","30","0","0","","SGM226"
"CHEM-463","Chemical Nanotechnology Laboratory","P","2.0 units","Lab","17534R","001","2:00-5:50pm","Wednesday","10","0","0","","SGM301"
"CHEM-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","17536R","001","TBA","TBA","25","0","0","Stephen Bradforth","OFFICE"
"CHEM-494x","Advanced Research Experience","P","2.0-4.0 units, max 4","Lecture","17538R","001","TBA","TBA","5","0","0","","OFFICE"
"","","","","Lecture","17540R","001","TBA","TBA","10","0","0","","OFFICE"
"CHEM-516","Synthesis, Reactivity and Mechanism in Inorganic and Organometallic Chemistry","P","4.0 units","Lecture","17542R","001","9:30-10:50am","Tue, Thu","25","0","0","Smaranda Marinescu, Travis Williams</a>","GFS201"
"CHEM-520b","Advanced Chemical Biology","P","2.0 units","Lecture","17545D","001","11:00-12:20pm","Tue, Thu","20","0","0","Matthew Pratt","MRF206"
"CHEM-521","Basic Principles of Physical Methods in Biochemistry","","2.0 units","Lecture","17546R","001","10:00-10:50am","MWF","15","1","0","Peter Qin","GFS201"
"CHEM-524","Inorganic Materials Chemistry","P","2.0 units","Lecture","17547R","001","9:00-10:20am","Mon, Fri","15","1","0","Brent Melot","SSC604"
"CHEM-527","Synthetic Organic Chemistry","","4.0 units","Lecture","17548R","001","11:00-12:20pm","Tue, Thu","20","2","0","Chao Zhang","GFS201"
"CHEM-536","Molecular Dynamics","","2.0-4.0 units","Lecture","17552R","001","2:00-2:50pm","MWF","15","0","0","Curt Wittig","SSC604"
"CHEM-540","Introduction to Statistical Mechanics","","4.0 units","Lecture","17554R","001","9:30-10:50am","Tue, Thu","20","0","0","Chiho Mak","SSC604"
"","","","","Discussion","17556R","001","TBA","TBA","15","0","0","","OFFICE"
"CHEM-550","Special Topics in Chemical Physics","","2.0-4.0 units, max 8","Lecture","17557R","001","4:00-4:50pm","MWF","15","0","0","Alexander Benderskii","GFS201"
"CHEM-565L","Advanced Practical Nuclear Magnetic Resonance Spectroscopy","P","2.0 units","Lecture-Lab","17575R","001","11:00-1:50pm","Friday","20","1","0","Travis Williams","SGM307"
"CHEM-575","Modern Trends in Physical Chemistry","","2.0 units, max 4","Lecture","17560R","001","12:00-12:50pm","Monday","15","0","0","Andrey Vilesov","SGM226, SSC604"
"CHEM-590","Directed Research","","1.0-12.0 units","Lecture","17562R","001","TBA","TBA","10","0","0","","OFFICE"
"CHEM-594a","Master's Thesis","C","2.0 units","Lecture","17566R","001","TBA","TBA","5","0","0","","OFFICE"
"CHEM-594b","Master's Thesis","PC","2.0 units","Lecture","17568R","001","TBA","TBA","5","0","0","","OFFICE"
"CHEM-594z","Master's Thesis","PC","0.0 units","Lecture","17570R","001","TBA","TBA","5","0","0","","OFFICE"
"CHEM-599","Special Topics","","2.0-4.0 units"
"","Electrode Kinetics Theory and Applications","","2.0","Lecture-Discussion","17576R","001","2:00-3:35pm","Mon, Fri","15","2","0","Sri Narayan","OFFICE"
"","Introduction to Functional Inorganic Materials","","2.0","Lecture","17580R","001","9:00-10:20am","Mon, Fri","20","0","0","Brent Melot","SSC604"
"","Introduction to Functional Inorganic Materials","","0.0","Discussion","17581R","001","9:00-9:50am","Wednesday","20","0","0","","SSC604"
"CHEM-625","Chemical Applications of Magnetic Resonance Spectroscopy","","4.0 units","Lecture","17582R","001","9:30-10:50am","Tue, Thu","20","1","0","Surya Prakash","KAP138"
"CHEM-790","Research","","1.0-12.0 units","Lecture","17593D","001","TBA","TBA","100","0","0","","OFFICE"
"CHEM-794a","Doctoral Dissertation","","2.0 units","Lecture","17594D","001","TBA","TBA","50","0","0","","OFFICE"
"CHEM-794b","Doctoral Dissertation","PC","2.0 units","Lecture","17595D","001","TBA","TBA","50","0","0","","OFFICE"
"CHEM-794c","Doctoral Dissertation","PC","2.0 units","Lecture","17596D","001","TBA","TBA","50","0","0","","OFFICE"
"CHEM-794d","Doctoral Dissertation","PC","2.0 units","Lecture","17597D","001","TBA","TBA","50","1","0","","OFFICE"
"CHEM-794z","Doctoral Dissertation","PC","0.0 units","Lecture","17598D","001","TBA","TBA","50","0","0","","OFFICE"
