"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CLAS-150g","Greeks and Legacies","","4.0 units","Lecture","19800R","001","12:30-1:50pm","Tue, Thu","150","0","0","James Collins","THH301"
"","","","","Discussion","19801D","001","8:00-8:50am","Wednesday","25","0","0","","VKC151"
"","","","","Discussion","19802R","001","9:00-9:50am","Wednesday","25","0","0","","VKC157"
"","","","","Discussion","19803R","001","2:00-2:50pm","Wednesday","25","0","0","","SOS B37"
"","","","","Discussion","19804R","001","3:00-3:50pm","Wednesday","25","0","0","","SOS B37"
"","","","","Discussion","19805D","001","2:00-2:50pm","Friday","25","0","0","","VKC158"
"","","","","Discussion","19806R","001","3:00-3:50pm","Friday","25","0","0","","VKC158"
"CLAS-160gp","Ancient Lives","","4.0 units","Lecture","19820R","001","2:00-3:20pm","Tue, Thu","100","0","0","Vincent Farenga","THH301"
"","","","","Discussion","19821R","001","2:00-2:50pm","Monday","25","0","0","","VKC207"
"","","","","Discussion","19822R","001","3:00-3:50pm","Monday","25","0","0","","VKC207"
"","","","","Discussion","19823R","001","8:00-8:50am","Friday","25","0","0","","VKC151"
"","","","","Discussion","19824R","001","9:00-9:50am","Friday","25","0","0","","VKC157"
"CLAS-280gp","Classical Mythology","","4.0 units","Lecture","19810R","001","11:00-12:20pm","Tue, Thu","200","2","0","Thomas Habinek","THH201"
"","","","","Discussion","19811R","001","8:00-8:50am","Monday","25","0","0","","VKC151"
"","","","","Discussion","19812R","001","9:00-9:50am","Monday","25","0","0","","VKC151"
"","","","","Discussion","19813R","001","3:00-3:50pm","Wednesday","25","2","0","","THH B9"
"","","","","Discussion","19814R","001","4:00-4:50pm","Wednesday","25","0","0","","THH B9"
"","","","","Discussion","19815R","001","8:00-8:50am","Friday","25","0","0","","VKC158"
"","","","","Discussion","19816R","001","9:00-9:50am","Friday","25","0","0","","VKC158"
"","","","","Discussion","19817R","001","12:00-12:50pm","Friday","25","0","0","","THH215"
"","","","","Discussion","19818R","001","1:00-1:50pm","Friday","25","0","0","","THH215"
"CLAS-322","Roman Art and Archaeology","","4.0 units","Lecture","11926R","001","11:00-12:20pm","Tue, Thu","30","0","0","Ann Yasin","VKC201"
"CLAS-337gp","Ancient Drama","","4.0 units","Lecture","19828R","001","11:00-11:50am","MWF","30","0","0","Stefano Rebeggiani","THH213"
"CLAS-340","Ethics and Politics in Ancient Rome","","4.0 units","Lecture","19831D","001","2:00-4:50pm","Monday","1","0","0","","VKC105"
"CLAS-348g","Athens in the Age of Democracy and Empire","","4.0 units","Lecture","19833R","001","3:30-4:50pm","Tue, Thu","10","0","0","","THH111"
"CLAS-410a","Research in Classical Studies","M","2.0 units","Lecture","19830R","001","4:00-5:50pm","Monday","15","0","0","Thomas Habinek","VKC107"
"CLAS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","19840D","001","TBA","TBA","7","0","0","William Thalmann","OFFICE"
"CLAS-495x","Honors Research","","4.0 units","Lecture","19841D","001","TBA","TBA","4","0","0","William Thalmann","OFFICE"
"CLAS-499","Special Topics","","2.0-4.0 units, max 8"
"","The Hellenistic World on Stones and Papyri","","4.0","Lecture","19845R","001","11:00-12:20pm","Tue, Thu","15","0","0","Christelle Fischer-Bovet","VKC104"
"CLAS-515","Topics in Classical Scholarship","","4.0 units","Lecture","19843D","001","2:00-4:50pm","Tuesday","12","0","0","Daniel Richter","VKC206"
"CLAS-570","Seminar in Imperial Latin Literature","","4.0 units","Lecture","19846R","001","2:00-4:50pm","Thursday","12","0","0","Anthony Boyle","OFFICE"
"CLAS-575","Seminar in Roman History, Culture, and Society","","4.0 units","Lecture","19847R","001","2:00-4:50pm","Thursday","12","0","0","Claudia Moatti","THH B10"
"CLAS-590","Directed Research","","1.0-12.0 units","Lecture","19855D","001","TBA","TBA","8","0","0","","OFFICE"
"CLAS-594a","Master's Thesis","C","2.0 units","Lecture","19852D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-594b","Master's Thesis","P","2.0 units","Lecture","19853D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-594z","Master's Thesis","P","0.0 units","Lecture","19854D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-790","Research","","1.0-12.0 units","Lecture","19856D","001","TBA","TBA","8","0","0","","OFFICE"
"CLAS-794a","Doctoral Dissertation","C","2.0 units","Lecture","19860D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794b","Doctoral Dissertation","P","2.0 units","Lecture","19861D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794c","Doctoral Dissertation","P","2.0 units","Lecture","19862D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794d","Doctoral Dissertation","P","2.0 units","Lecture","19863D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-794z","Doctoral Dissertation","P","0.0 units","Lecture","19864D","001","TBA","TBA","10","0","0","","OFFICE"
