"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CMGT-500","Managing Communication","","4.0 units","Lecture","21701D","169","TBA","TBA","70","0","0","Kimberlie Stephens, Jane MacOubrie","ONLINE"
"CMGT-501","Communication Management Pro-Seminar","M","4.0 units","Lecture","21702D","001","2:00-4:50pm","Tuesday","45","17","0","Daniela Baroffio, Ben Lee, Brad Shipley, Rebecca Weintraub","ASC204"
"","","","","Lecture","21703D","001","6:30-9:20pm","Tuesday","45","22","0","Daniela Baroffio, Ben Lee, Brad Shipley, Rebecca Weintraub","ASC204"
"","","","","Lecture","21704D","001","2:00-4:50pm","Thursday","45","12","0","Daniela Baroffio, Ben Lee, Brad Shipley, Rebecca Weintraub","ASC204"
"","","","","Lecture","21705D","001","6:30-9:20pm","Thursday","45","4","0","Daniela Baroffio, Ben Lee, Brad Shipley, Rebecca Weintraub","ASC204"
"CMGT-508","Communicating Strategy and Change","","4.0 units","Lecture","21712D","001","5:30-8:20pm","Tuesday","25","12","0","Susan Resnick West","ASC331"
"","","","","Lecture","21713D","169","TBA","TBA","90","0","0","Susan Resnick West, Cynthia Martinez, Jennifer Heckman, Jane MacOubrie","ONLINE"
"CMGT-509","Influential Communication in the Marketplace","","4.0 units","Lecture","21714D","001","3:30-6:20pm","Monday","25","6","0","Kelton Rhoads","ASC328"
"CMGT-510","Communication, Values, Attitudes and Behavior","","4.0 units","Lecture","21715D","001","5:00-7:50pm","Tuesday","15","2","0","Sheila Murphy","KER202"
"","","","","Lecture","21716D","001","6:30-9:20pm","Wednesday","25","7","0","Brad Shipley","ASC331"
"","","","","Lecture","21717D","169","TBA","TBA","90","0","0","Michael Cody, Jessica Neff","OFFICE"
"CMGT-520","Social Roles of Communication Media","","4.0 units","Lecture","21722D","001","6:30-9:20pm","Wednesday","25","12","0","Peter Clarke","ASC328"
"CMGT-530","Social Dynamics of Communication Technologies","","4.0 units","Lecture","21724D","001","5:00-7:50pm","Monday","24","6","0","Dmitri Williams","ANN405"
"CMGT-540","Uses of Communication Research","","4.0 units","Lecture","21735D","169","TBA","TBA","70","0","0","Courtney Pade, Nithya Muthuswamy","ONLINE"
"CMGT-541","Integrated Communication Strategies","","4.0 units","Lecture","21736D","001","6:30-9:20pm","Thursday","25","10","0","Allison Soeller","ASC228"
"","","","","Lecture","21737D","169","TBA","TBA","90","0","0","Andrea Hollingshead, Courtney Pade","ONLINE"
"CMGT-543","Managing Communication in the Entertainment Industry","","4.0 units","Lecture","21739D","001","6:30-9:20pm","Thursday","25","9","0","David Craig","ANN309"
"CMGT-544","Creating Organizational Identity: Meaning Through Messages","","4.0 units","Lecture","21740D","001","6:30-9:20pm","Tuesday","24","13","0","Simon Uwins","ANN210"
"CMGT-547","Distribution of Recordings: Media, Retail and Online Channel","","4.0 units","Lecture","21743D","001","6:30-9:20pm","Wednesday","25","0","0","","ASC228"
"CMGT-549","Case Studies in Digital Entertainment","","4.0 units","Lecture","21745D","001","6:30-9:20pm","Tuesday","25","4","0","","ASC G34"
"CMGT-550","Hollywood 3.0-Entertainment Industry in the Convergence Age","","4.0 units","Lecture","21746D","001","6:30-9:20pm","Tuesday","25","3","0","David Craig","ASC231"
"CMGT-551","Communicating Entertainment Media Identities","","4.0 units","Lecture","21747D","001","6:30-9:20pm","Thursday","25","6","0","Gracelyn Brown","ANN210"
"CMGT-555","Online Marketing Communication Development and Analysis","","4.0 units","Lecture","21751D","001","6:30-9:20pm","Monday","25","10","0","Mayanna Framroze","ASC204"
"CMGT-578","Non-profit Advocacy","","4.0 units","Lecture","21771D","001","6:30-9:20pm","Monday","25","10","0","Gary Wexler","ASC240"
"CMGT-580","Chinese Media and Society","","4.0 units","Lecture","21772D","001","2:00-4:50pm","Thursday","25","0","0","Yu Hong","ANN211"
"CMGT-587","Audience Analysis","","4.0 units","Lecture","21779D","001","5:00-7:50pm","Thursday","25","8","0","Jessica Neff","ANN406"
"CMGT-590","Directed Research","","1.0-12.0 units","Lecture","21781D","001","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","21782D","001","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","21783D","001","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","21784D","001","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","21785D","001","TBA","TBA","25","0","0","","OFFICE"
"","","","","Lecture","21790D","001","TBA","TBA","25","0","0","","OFFICE"
"CMGT-591","Communication Internship","M","1.0-2.0 units, max 3","Lecture","21791D","001","TBA","TBA","25","0","0","Patricia Riley","OFFICE"
"","","","","Lecture","21792D","001","TBA","TBA","25","1","0","Nick Cull","OFFICE"
"","","","","Lecture","21793D","001","TBA","TBA","25","0","0","Karen North","OFFICE"
