"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COLT-102g","On Location: The Place of Literature in Global Cultures","","4.0 units","Lecture","22000R","001","9:30-10:50am","Tue, Thu","49","0","0","Antonia Szabari","THH114"
"","","","","Discussion","22001R","001","9:00-9:50am","Friday","25","0","0","","THH214"
"","","","","Discussion","22002R","001","10:00-10:50am","Friday","25","0","0","","THH214"
"COLT-303","Globalization: Culture, Change, Resistance","","4.0 units","Lecture","22008D","001","12:30-1:50pm","Tue, Thu","20","0","0","Neetu Khanna","THH121"
"COLT-346","Fictions of the First Person","","4.0 units","Lecture","22027R","001","9:30-10:50am","Tue, Thu","18","0","0","Vincent Farenga","VKC204"
"COLT-347","Modern Arab State and Society II: Culture and Literature","","4.0 units","Lecture","41538R","001","2:00-3:20pm","Mon, Wed","20","0","0","Dina Jadallah","SOS B50"
"COLT-348","Modernist Fiction","","4.0 units","Lecture","22028R","001","11:00-12:20pm","Tue, Thu","20","0","0","John Rowe","THH209"
"COLT-374gm","Women Writers in Europe and America","","4.0 units","Lecture","22040R","001","11:00-12:20pm","Tue, Thu","100","2","0","Margaret Rosenthal","THH210"
"","","","","Discussion","22041R","001","9:00-9:50am","Monday","25","0","0","","THH214"
"","","","","Discussion","22042R","001","10:00-10:50am","Monday","25","0","0","","THH214"
"","","","","Discussion","22043R","001","9:00-9:50am","Wednesday","25","0","0","","WPH107"
"","","","","Discussion","22044R","001","10:00-10:50am","Wednesday","25","2","0","","WPH103"
"COLT-375","Latin American Cultural and Literary Theory","","4.0 units","Lecture","22036R","001","2:00-3:20pm","Mon, Wed","20","0","0","Erin Graff Zivin","THH113"
"COLT-382gw","Zen and Taoism in Asian Literature","","4.0 units","Lecture","22050R","001","3:30-4:50pm","Tue, Thu","49","1","0","Dominic Cheung","THH114"
"","","","","Discussion","22051R","001","11:00-11:50am","Friday","25","1","0","","VKC160"
"","","","","Discussion","22052R","001","12:00-12:50pm","Friday","25","0","0","","VKC160"
"COLT-445","Europe and the Writing of Others","","4.0 units","Lecture","22054R","001","2:00-3:20pm","Wed, Fri","20","0","0","Roberto Diaz","VKC207"
"COLT-448","Multilingual Encounters","","4.0 units","Lecture","22055R","001","3:30-4:50pm","Tue, Thu","17","0","0","Veli Yashin","THH108"
"COLT-476","Narrative and the Law","","4.0 units","Lecture","22065R","001","2:00-4:50pm","Monday","12","0","0","Hilary Schor","THH109"
"COLT-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","22070D","001","TBA","TBA","10","0","0","","OFFICE"
"COLT-495","Senior Honors Thesis","","4.0 units","Lecture","22071D","001","TBA","TBA","10","0","0","","TBA"
"COLT-620","Seminar on Literature, Culture, and Thought","","4.0 units, max 12","Lecture","22090D","001","3:00-5:50pm","Thursday","15","0","0","Neetu Khanna","VKC259"
