"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COMM-200","Communication and Social Science","","4.0 units","Lecture","20327R","001","11:00-12:20pm","Tue, Thu","100","0","0","Carmen Lee","ASC G26"
"","","","","Discussion","20328R","001","8:00-8:50am","Friday","25","0","0","","ANN309"
"","","","","Discussion","20329R","001","9:00-9:50am","Friday","25","0","0","","ANN309"
"","","","","Discussion","20330R","001","10:00-10:50am","Friday","25","0","0","","ANN309"
"","","","","Discussion","20331R","001","11:00-11:50am","Friday","25","0","0","","ANN309"
"COMM-201","Rhetoric and the Public Sphere","","4.0 units","Lecture","20340R","001","12:30-1:50pm","Tue, Thu","150","0","0","Gordon Stables","ASC G26"
"","","","","Discussion","20341R","001","8:00-8:50am","Friday","25","0","0","","ANN211"
"","","","","Discussion","20342R","001","9:00-9:50am","Friday","25","0","0","","ANN211"
"","","","","Discussion","20343R","001","10:00-10:50am","Friday","25","0","0","","ANN210"
"","","","","Discussion","20344R","001","8:00-8:50am","Friday","25","0","0","","ANN210"
"","","","","Discussion","20345R","001","9:00-9:50am","Friday","25","0","0","","ANN210"
"","","","","Discussion","20346R","001","10:00-10:50am","Friday","25","0","0","","ANN305"
"COMM-202","Communication and Technology","","4.0 units","Lecture","20353R","001","12:00-1:20pm","Mon, Wed","100","0","0","Mike Ananny","ANN L105A"
"","","","","Discussion","20354R","001","8:00-8:50am","Monday","25","0","0","","ANN211"
"","","","","Discussion","20355R","001","8:00-8:50am","Monday","25","0","0","","ANN309"
"","","","","Discussion","20356R","001","9:00-9:50am","Monday","25","0","0","","ANN211"
"","","","","Discussion","20357R","001","9:00-9:50am","Monday","25","0","0","","ANN309"
"COMM-203","Communication and Mass Media","","4.0 units","Lecture","20366R","001","3:30-4:50pm","Mon, Wed","150","0","0","Carmen Lee","ASC G26"
"","","","","Discussion","20367R","001","8:00-8:50am","Wednesday","25","0","0","","ANN211"
"","","","","Discussion","20368R","001","9:00-9:50am","Wednesday","25","0","0","","ANN211"
"","","","","Discussion","20369R","001","8:00-8:50am","Wednesday","25","0","0","","ANN309"
"","","","","Discussion","20370R","001","9:00-9:50am","Wednesday","25","0","0","","ANN309"
"","","","","Discussion","20371R","001","10:00-10:50am","Wednesday","25","0","0","","ANN309"
"","","","","Discussion","20372R","001","11:00-11:50am","Wednesday","25","0","0","","ANN309"
"COMM-204","Public Speaking","","4.0 units","Lecture","20375R","001","2:00-3:20pm","Mon, Wed","19","1","0","Rook Campbell","ANN406"
"","","","","Lecture","20376R","001","8:00-9:20am","Tue, Thu","19","0","0","","ANN209"
"","","","","Lecture","20377R","001","9:30-10:50am","Tue, Thu","19","0","0","","ANN405"
"","","","","Lecture","20378R","001","10:00-10:50am","MWF","19","0","0","","ANN211"
"","","","","Lecture","20379R","001","11:00-11:50am","MWF","19","0","0","","ANN211"
"","","","","Lecture","20380R","001","11:00-12:20pm","Tue, Thu","19","0","0","","ANN211"
