"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CORE-101g","Symbols and Conceptual Systems: Thematic Option Honors Progr","","4.0 units","Lecture-Discussion","63512D","001","11:00-11:50am","MWF","19","0","0","Joseph Dane","THH121"
"","","","","Lecture","63500D","001","3:30-4:50pm","Mon, Wed","40","0","0","Bruce Zuckerman","VKC152"
"","","","","Discussion","63501D","001","8:00-8:50am","Wednesday","20","0","0","","THH110"
"","","","","Discussion","63502D","001","8:00-8:50am","Friday","20","0","0","","THH110"
"","","","","Lecture","63503D","001","2:00-3:20pm","Tue, Thu","40","0","0","Bruce Smith","VKC101"
"","","","","Discussion","63504D","001","8:00-8:50am","Friday","20","0","0","Naomi Greenwald","THH121"
"","","","","Discussion","63505D","001","9:00-9:50am","Friday","20","0","0","Naomi Greenwald","THH121"
"","","","","Lab","63511R","001","TBA","TBA","150","0","0","","OFFICE"
"CORE-103g","The Process of Change in Science: Thematic Option Honors Pro","","4.0 units","Lecture-Discussion","63516D","001","3:30-4:50pm","Mon, Wed","19","0","0","Jim Haw","THH117"
"","","","","Lecture","63513D","001","12:30-1:50pm","Tue, Thu","40","1","0","Kenneth Nealson","THH118"
"","","","","Discussion","63514D","001","8:00-8:50am","Friday","20","1","0","Bonita Lam","THH211"
"","","","","Discussion","63515D","001","9:00-9:50am","Friday","20","0","0","Bonita Lam","THH211"
"","","","","Lab","63522R","001","5:00-8:00pm","Monday","45","1","0","","VKC156"
"","","","","Lab","63524R","001","TBA","TBA","150","0","0","","OFFICE"
"CORE-104gw","Change and the Future: Thematic Option Honors Program","","4.0 units","Lecture-Discussion","63531D","001","3:30-4:50pm","Tue, Thu","25","0","0","Ange-Marie Hancock","VKC101"
"","","","","Lecture","63525D","001","9:30-10:50am","Tue, Thu","40","0","0","Natania Meeker","LVL16"
"","","","","Discussion","63526D","001","2:00-2:50pm","Wednesday","20","0","0","","THH B10"
"","","","","Discussion","63527D","001","3:00-3:50pm","Wednesday","20","0","0","","THH B10"
"","","","","Lecture","63528D","001","9:30-10:50am","Tue, Thu","40","1","0","Paul Lerner","WPH102"
"","","","","Discussion","63529D","001","11:00-11:50am","Monday","20","0","0","","THH211"
"","","","","Discussion","63530D","001","2:00-2:50pm","Monday","20","1","0","","THH B10"
"","","","","Lab","63535R","001","TBA","TBA","150","1","0","","OFFICE"
"CORE-112","Writing Seminar II: Thematic Option Honors Program","","4.0 units","Lecture","63538D","001","8:30-9:50am","Mon, Wed","14","0","0","Nike Nivar Ortiz","AHF410G"
"","","","","Lecture","63540D","001","10:00-11:20am","Mon, Wed","14","0","0","Christopher Muniz","AHF410G"
"","","","","Lecture","63542D","001","11:30-12:50pm","Mon, Wed","14","0","0","Samantha Carrick","AHF410G"
"","","","","Lecture","63544D","001","1:00-2:20pm","Mon, Wed","14","0","0","Brianna Beehler","AHF410G"
"","","","","Lecture","63546D","001","2:30-3:50pm","Mon, Wed","14","0","0","Diana Arterian","AHF410G"
"","","","","Lecture","63548D","001","6:00-7:20pm","Mon, Wed","14","0","0","Jm Bennett","AHF410G"
"","","","","Lecture","63550D","001","8:30-9:50am","Tue, Thu","14","0","0","Dagmar Van Engen","AHF410G"
"","","","","Lecture","63552D","001","10:00-11:20am","Tue, Thu","14","0","0","Trisha Tucker","AHF410G"
"","","","","Lecture","63554D","001","11:30-12:50pm","Tue, Thu","14","0","0","Trisha Tucker","AHF410G"
"","","","","Lecture","63556D","001","1:00-2:20pm","Tue, Thu","14","0","0","Alison Pearl","AHF410G"
"","","","","Lecture","63558D","001","2:30-3:50pm","Tue, Thu","14","0","0","Ryan McIlvain","AHF410G"
"","","","","Lecture","63560D","001","4:00-5:20pm","Tue, Thu","14","0","0","Amanda Ruud","AHF410G"
"","","","","Lecture","63562D","001","5:30-6:50pm","Tue, Thu","14","0","0","Anthony Abboreno","AHF410G"
"","","","","Lecture","63564D","001","7:00-8:20pm","Tue, Thu","14","0","0","Corinna Schroeder","AHF410G"
"CORE-200","Liberal Arts Reading Salon","","2.0 units","Lecture","63568D","001","4:00-5:50pm","Wednesday","14","0","0","Trisha Tucker","AHF410G"
"","","","","Lecture","63569D","001","2:00-3:50pm","Thursday","40","0","0","Thomas Habinek, Chrysostomos Nikias","VKC156"
"CORE-450","Los Angeles: A Polymathic Inquiry","","2.0-4.0 units, max 4","Lecture","63578D","001","2:00-3:50pm","Wednesday","15","0","0","William Deverell, Karin Huebner","DML241"
"CORE-601","Teaching Analytical Writing through Readings in the Humanities","C","1.0 units, max 4","Lecture","63575D","001","4:00-5:50pm","Monday","12","0","0","Trisha Tucker","AHF410G"
