"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSLC-501","Introduction to Comparative Media Studies","","4.0 units","Lecture","22075D","001","2:00-4:50pm","Wednesday","15","1","0","Panivong Norindr","THH217"
"CSLC-590","Directed Research","","1.0-12.0 units","Lecture","22085D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-600","Professional Development I: Publication","C","2.0 units","Lecture","22087D","001","4:00-5:50pm","Tuesday","15","0","0","","VKC105"
"CSLC-601","Seminar in Comparative Media Studies","","4.0 units, max 12","Lecture","22088D","001","2:00-4:50pm","Monday","15","3","0","Akira Lippit","VKC204"
"CSLC-620","Seminar on Literature, Culture, and Thought","","4.0 units, max 12","Lecture","22090D","001","3:00-5:50pm","Thursday","15","0","0","Neetu Khanna","VKC259"
"CSLC-790","Research","","1.0-12.0 units, max 12","Lecture","22094D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794a","Doctoral Dissertation","","2.0 units","Lecture","22095D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794b","Doctoral Dissertation","P","2.0 units","Lecture","22096D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794c","Doctoral Dissertation","P","2.0 units","Lecture","22097D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794d","Doctoral Dissertation","P","2.0 units","Lecture","22098D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794z","Doctoral Dissertation","P","0.0 units","Lecture","22099D","001","TBA","TBA","12","0","0","","OFFICE"
