"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTAN-102L","Introduction to the Art of Movement","PMC","2.0 units","Lecture","17950D","001","7:00-9:50pm","Thursday","16","0","0","Eric Goldberg, Angie Jones</a>","SCB205, SCB102"
"CTAN-202L","Introduction to 3-D Character Animation","PMC","3.0 units","Lecture","17951D","001","5:00-7:50pm","Wednesday","19","0","0","Angie Jones","SCB102, SCB102"
"CTAN-302L","Expanded Concepts in 2-D/3-D Animation","PMC","3.0 units","Lecture-Lab","17851D","001","1:00-3:50pm","Wednesday","19","0","0","Kathy Smith, Maks Naporowski","SCB102, SCB102"
"CTAN-330","Animation Fundamentals","","2.0 units","Lecture","17854D","001","1:00-3:50pm","Monday","16","0","0","Trixy Wattenbarger","SCB205"
"CTAN-336","Ideation and Pre-Production","MC","2.0 units","Lecture","17852D","001","2:00-4:50pm","Thursday","19","0","0","Christine Panushka","SCB101"
"CTAN-401b","Senior Project","PMC","4.0 units","Lecture-Lab","17853D","001","1:00-3:50pm","Wednesday","20","0","0","Sheila Sofian, Angie Jones, Trixy Wattenbarger","SCB205"
"CTAN-420","Concept Design for Animation","","2.0 units","Lecture","17917D","001","7:00-9:50pm","Thursday","16","3","0","John Mahoney","SCB207"
"CTAN-432","The World of Visual Effects","","2.0 units","Lecture","17856R","001","4:30-7:20pm","Thursday","49","0","0","Craig Barron","SCB104"
"CTAN-436","Writing for Animation","","2.0 units","Lecture","17865D","001","1:00-3:50pm","Monday","15","0","0","Elizabeth Brauer","SCB304"
"CTAN-448","Introduction to Film Graphics - Animation","","4.0 units","Lecture","17868D","001","1:00-3:50pm","Friday","15","0","0","Elisabeth Mann","SCB205"
"CTAN-450a","Animation Theory and Techniques","","2.0 units","Lecture-Lab","17874D","001","1:00-2:50pm","Wednesday","14","0","0","Michael Patterson","RZC117, RZC117"
"CTAN-450c","Animation Theory and Techniques","P","2.0 units","Lecture-Lab","17887D","001","4:00-5:50pm","Wednesday","11","0","0","Everett Lewis","RZC117, RZC117"
"CTAN-452","Introduction to 3-D Computer Animation","","2.0 units, max 4","Lecture-Lab","17892D","001","7:00-10:00pm","Tuesday","15","1","0","Dariush Derakhshani","SCB102, SCB102"
"","","","","Lecture-Lab","17893D","001","9:00-11:50am","Tuesday","15","0","0","Maks Naporowski","SCA356, SCB102"
"","","","","Lecture-Lab","17894D","001","4:00-6:50pm","Monday","15","1","0","Marcel Valcarce","SCB102, SCB102"
"","","","","Lecture-Lab","17895D","001","7:00-9:50pm","Thursday","15","0","0","Dariush Derakhshani","SCB102, SCB102"
"CTAN-460","Character Design Workshop","","2.0 units","Lecture","17909D","001","7:00-9:50pm","Monday","16","1","0","Caroline Hu","SCB207"
"CTAN-462","Visual Effects","","2.0 units","Lecture-Lab","17898D","001","7:00-9:50pm","Monday","15","0","0","Darren Kiner","RZC117, RZC117"
"CTAN-465L","Digital Effects Animation","P","2.0 units","Lecture-Lab","17912D","001","9:00-11:50am","Wednesday","14","0","0","Eric Hanson","SCB102, SCB102"
"CTAN-470","Documentary Animation Production","","2.0 units","Lecture","17911D","001","9:00-11:50am","Thursday","14","4","0","Sheila Sofian","SCB205"
"CTAN-495","Visual Music","C","2.0 units","Lecture","17906D","001","9:00-11:50am","Monday","15","4","0","Michael Patterson","SCB102"
"CTAN-496","Directed Studies","M","2.0 units","Lecture","17908D","001",":-:am","TBA","15","0","0","Tom Sito",", OFFICE"
"CTAN-502L","Experiments in Immersive Design","","2.0 units","Lecture-Lab","17961D","037","9:00-11:50am","Tue, Thu","14","1","0","Eric Hanson","SCB102"
"CTAN-503","Storyboarding for Animation","","2.0 units","Lecture","17920D","037","7:00-9:50pm","Friday","16","4","0","Ramiro Cazaux","SCB207"
"CTAN-505","The Business of Animation","","2.0 units","Lecture","17924D","037","7:00-9:50pm","Monday","16","0","0","","SCB205"
"CTAN-508L","Live Action Integration with Visual Effects","P","2.0 units","Lecture-Lab","17925D","037","7:00-9:50pm","Thursday","15","1","0","Robert Nederhorst","RZC117, RZC117"
"CTAN-522","Animation Department Seminar","","1.0 units, max 6","Lecture","17928D","037","6:00-9:00pm","Wednesday","49","8","0","Elisabeth Mann","SCB104"
"CTAN-536","Storytelling for Animation","M","2.0 units","Lecture","17862D","037","10:00-12:50pm","Wednesday","16","8","0","Elizabeth Brauer","SCB207"
"CTAN-547","Animation Production I","PMC","3.0 units","Lecture-Lab","17946D","037","10:00-12:50pm","Tuesday","17","8","0","Trixy Wattenbarger, Larissa Bank","SCB205, SCB202"
"CTAN-550","Stop Motion Puppet and Set Design","","2.0 units","Lecture","17949D","037","7:00-9:50pm","Tuesday","16","2","0","Musa Brooker","SCB207"
