"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTCS-190g","Introduction to Cinema","","4.0 units","Lecture","18000R","001","2:00-5:50pm","Tuesday","325","0","0","Drew Casper","NCT"
"","","","","Discussion","18010R","001","10:00-10:50am","Tuesday","25","0","0","","SCA203"
"","","","","Discussion","18012D","001","12:00-12:50pm","Tuesday","25","0","0","","SCA310"
"","","","","Discussion","18015R","001","10:00-10:50am","Thursday","25","0","0","","SCI108"
"","","","","Discussion","18017R","001","12:00-12:50pm","Tuesday","25","0","0","","SCA316"
"","","","","Discussion","18020R","001","10:00-10:50am","Friday","25","0","0","",""
"","","","","Discussion","18022R","001","12:00-12:50pm","Wednesday","25","0","0","","SCA316"
"","","","","Discussion","18025R","001","11:00-11:50am","Tuesday","25","0","0","","SCA203"
"","","","","Discussion","18027D","001","12:00-12:50pm","Thursday","25","0","0","","SCA316"
"","","","","Discussion","18030R","001","11:00-11:50am","Thursday","25","0","0","","SCI108"
"","","","","Discussion","18035R","001","12:00-12:50pm","Monday","25","0","0","",""
"","","","","Discussion","18045R","001","1:00-1:50pm","Monday","25","0","0","",""
"","","","","Discussion","18060R","001","6:00-6:50pm","Tuesday","25","0","0","",""
"","","","","Discussion","18130R","001","1:00-1:50pm","Wednesday","25","0","0","",""
"CTCS-191","Introduction to Television and Video","","4.0 units","Lecture","18061R","001","2:00-4:50pm","Wednesday","365","0","0","Nitin Govil","NCT"
"","","","","Discussion","18062R","001","12:00-12:50pm","Monday","25","0","0","","SCA203"
"","","","","Discussion","18063R","001","11:00-11:50am","Monday","25","0","0","","SCA258"
"","","","","Discussion","18064R","001","11:00-11:50am","Thursday","25","0","0","","RZC111"
"","","","","Discussion","18065R","001","12:00-12:50pm","Monday","25","0","0","",""
"","","","","Discussion","18066R","001","5:00-5:50pm","Wednesday","25","0","0","","SCA310"
"","","","","Discussion","18067R","001","12:00-12:50pm","Tuesday","25","0","0","","SCA203"
"","","","","Discussion","18068R","001","5:00-5:50pm","Wednesday","25","0","0","","SCA316"
"","","","","Discussion","18069R","001","12:00-12:50pm","Thursday","25","0","0","","SCA214"
"CTCS-192m","Race, Class, and Gender in American Film","","4.0 units","Lecture","18070R","001","2:00-5:50pm","Thursday","365","0","0","Todd Boyd","NCT"
"CTCS-201","History of the International Cinema II","","4.0 units","Lecture","18075R","001","2:00-5:50pm","Monday","365","0","0","Thomas Kemper","NCT"
"CTCS-392","History of the American Film, 1925-1950","","4.0 units","Lecture","18083R","001","2:00-5:50pm","Monday","45","0","0","",""
"CTCS-394","History of the American Film, 1977-Present","","4.0 units","Lecture","18085R","001","6:00-10:00pm","Tuesday","365","0","0","Drew Casper","NCT"
"CTCS-402","Practicum in Film/Television Criticism","","4.0 units, max 8","Lecture","18090R","001","10:00-1:50pm","Thursday","20","0","0","Ella Taylor","SCA258"
"CTCS-403","Studies in National and Regional Media","","4.0 units"
"","Woody Allen's New York","","4.0","Lecture","18285R","001","2:00-5:50pm","Monday","24","1","0","","SCA310"
"CTCS-406","History of American Television","","4.0 units","Lecture","18080R","001","10:00-1:50pm","Monday","30","0","0","Christine Acham","SCA316"
"CTCS-411","Film, Television and Cultural Studies","","4.0 units, max 8"
"","Film and Buddhism","","4.0","Lecture","18105R","001","9:00-10:50am","Tuesday","20","0","0","William Whittington","SCA216, SCA108"
"CTCS-412","Gender, Sexuality and Media","","4.0 units, max 8"
"","Gender, Sexuality, and Independent Cinema","","4.0","Lecture","18115R","001","6:00-10:00pm","Tuesday","26","0","0","James Boyda","SCI207"
"CTCS-464","Film and/or Television Genres","","4.0 units, max 8"
"","American Film Comedy","","4.0","Lecture","18118R","001","6:00-10:30pm","Wednesday","365","2","0","Drew Casper","NCT"
"","Crime TV","","4.0","Lecture","18120R","001","2:00-5:50pm","Tuesday","97","4","0","Ellen Seiter","SCA108"
"CTCS-466","Theatrical Film Symposium","","4.0 units, max 8","Lecture","18125R","001","7:00-11:00pm","Thursday","356","19","0","Leonard Maltin","NCT"
"CTCS-467","Television Symposium","","4.0 units, max 8","Lecture","18126R","001","7:00-11:00pm","Monday","190","4","0","Howard Rosenberg","SCA108"
"CTCS-469","Film and/or Television Style Analysis","","4.0 units, max 8"
"","Seven Deadly Directors","","4.0","Lecture","18136R","001","9:00-12:50pm","Thursday","200","4","0","Rene Bruckner","NCT"
"","'90s Hollywood: American Cinema at the End of the Century","","4.0","Lecture","18138R","001","1:00-5:50pm","Wednesday","200","2","0","Todd Boyd","SCA108"
"CTCS-473","Film Theories","P","4.0 units","Lecture","18140D","001","6:00-10:00pm","Monday","85","1","0","Jon Wagner","NCT"
"CTCS-494","Advanced Critical Studies Seminar","C","4.0 units"
"","Media Unleashed: Animals in Film and Television","","4.0","Lecture","18146R","001","2:00-5:50pm","Thursday","20","0","0","Courtney White","SCA216"
"CTCS-495","Honors Seminar","M","4.0 units"
"","Your Brain on the Screen","","4.0","Lecture","18152D","001","2:00-5:50pm","Monday","15","1","0","Ellen Seiter","SCA316"
"CTCS-499","Special Topics","","2.0-4.0 units, max 8"
"","Contemporary Animated TV","","4.0","Lecture","18155R","001","2:00-4:50pm","Tuesday","30","2","0","George Carstocea","SCB104, SCB104"
"CTCS-501","History of Global Cinema Before World War II","","2.0 units","Lecture","18160R","037","10:00-1:50pm","Tuesday","30","12","0","Rene Bruckner","SCA110"
"CTCS-503","Survey History of the United States Sound Film","","2.0 units","Lecture","18165R","037","9:00-12:50pm","Wednesday","200","6","0","Drew Casper","NCT"
"CTCS-505","Survey of Interactive Media","","2.0 units","Lecture","18173R","037","2:00-5:50pm","Tuesday","30","16","0","Kiki Benzon","RZC111"
"CTCS-510","Case Studies in National and/or Regional Media","","4.0 units, max 12"
"","New Indie Cinema","","4.0","Lecture","18176D","037","10:00-1:50pm","Monday","20","2","0","Ella Taylor","SCA216"
"CTCS-517","Introductory Concepts in Cultural Studies","","4.0 units","Lecture","18178D","037","2:00-5:50pm","Thursday","24","8","0","","SCA316"
"CTCS-587","Seminar in Television Theory","","4.0 units, max 8","Lecture","18180D","037","10:00-1:50pm","Wednesday","20","16","0","Tara McPherson","SCI207"
"CTCS-673","Topics in Theory","","4.0 units, max 8"
"","(In)Visible Blackness","","4.0","Lecture","18183D","037","2:00-3:50pm","Wednesday","15","2","0","Kara Keeling","SCA216, SCB104"
"CTCS-677","Cultural Theory","","4.0 units"
"","Modernity and History","","4.0","Lecture","18185D","037","10:00-1:50pm","Wednesday","20","3","0","Priya Jaikumar","SCA216"
"CTCS-790","Research","","1.0-12.0 units","Lecture","18205D","037","TBA","TBA","10","0","0","","OFFICE"
"CTCS-791","Historical and Critical Research Methods","","2.0 units, max 4","Lecture-Lab","18210D","037","TBA","TBA","10","0","0","","TBA"
"CTCS-794a","Doctoral Dissertation","","2.0 units","Lecture","18215D","037","TBA","TBA","15","0","0","","OFFICE"
"CTCS-794b","Doctoral Dissertation","P","2.0 units","Lecture","18220D","037","TBA","TBA","15","0","0","","OFFICE"
"CTCS-794c","Doctoral Dissertation","P","2.0 units","Lecture","18225D","037","TBA","TBA","15","0","0","","OFFICE"
"CTCS-794d","Doctoral Dissertation","P","2.0 units","Lecture","18230D","037","TBA","TBA","15","0","0","","OFFICE"
