"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTIN-101","Fundamentals of Procedural Media","","2.0 units","Lecture","18364D","001","10:00-12:50pm","Thursday","32","0","0","Margaret Moser","SCI L113"
"CTIN-190","Introduction to Interactive Entertainment","","4.0 units","Lecture","18352D","001","2:00-4:50pm","Tuesday","60","0","0","Jeffrey Watson","SCI108"
"CTIN-404L","Usability Testing for Games","","2.0 units","Lecture-Lab","18394D","001","6:00-7:50pm","Monday","20","0","0","Heather Desurvire","SCI L114"
"CTIN-444","Audio Expression","","2.0 units","Lecture","18376D","001","11:00-1:50pm","Tuesday","16","0","0","Chanel-France Summers","SCI L114"
"CTIN-458","Business and Management of Games","","2.0 units","Lecture","18366D","001","6:00-8:50pm","Monday","64","0","0","Robert Nashak","SCI108"
"CTIN-459L","Game Industry Workshop","P","4.0 units","Lecture-Lab","18353D","001","4:00-5:50pm","Tue, Thu","16","0","0","","SCI L113"
"CTIN-464","Game Studies Seminar","","2.0 units, max 4","Lecture","18370D","001","4:00-5:50pm","Monday","12","0","0","Kiki Benzon","SCI207"
"CTIN-479","Documentary and Activist Games","","2.0 units","Lecture","18404D","001","2:00-4:50pm","Thursday","20","0","0","Jeffrey Watson","SCI207"
"CTIN-483","Introduction to Game Development","","4.0 units","Lecture-Lab","18354D","001","10:00-11:50am","Monday","20","0","0","Margaret Moser","SCA356, SCA356"
"CTIN-484L","Intermediate Game Development","P","2.0 units","Lecture-Lab","18357D","001","1:00-2:50pm","Monday","20","0","0","Peter Brinson","SCI L113"
"","","","","Lecture-Lab","18406D","001","10:00-11:50am","Monday","20","0","0","Peter Brinson","SCI L113"
"CTIN-485L","Advanced Game Development","P","2.0 units","Lecture-Lab","18374D","001","6:00-8:50pm","Wednesday","16","0","0","","SCI L113"
"CTIN-486","Alternative Control Workshop","","2.0 units","Lecture-Lab","18410D","001","11:00-1:20pm","Friday","16","0","0","","SCI L114"
"CTIN-488","Game Design Workshop","","4.0 units","Lecture","18358D","001","12:00-1:50pm","Monday","80","0","0","Jane Pinckard","SCI108"
"","","","","Lab","18359D","001","10:00-11:50am","Tuesday","17","0","0","","SCI L106"
"","","","","Lab","18360D","001","4:00-5:50pm","Thursday","16","0","0","","SCI L106"
"","","","","Lab","18391D","001","11:00-12:50pm","Friday","16","0","0","","SCI L106"
"","","","","Lab","18392D","001","4:00-5:50pm","Friday","16","0","0","","SCI L106"
"CTIN-489","Intermediate Game Design Workshop","P","2.0 units","Lecture","18363D","001","1:00-2:50pm","Wednesday","20","0","0","Richard Lemarchand","SCI L113"
"","","","","Lecture","18405D","001","10:00-11:50am","Wednesday","20","0","0","Jesse Vigil","SCI L113"
"CTIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","18407D","001","TBA","TBA","10","0","0","Tracy Fullerton","OFFICE"
"CTIN-492L","Experimental Game Topics","","4.0 units, max 8","Lecture-Lab","18369D","001","3:00-4:50pm","Tue, Thu","18","0","0","Bonnie Ruberg","SCI L114"
"CTIN-493L","Advanced Game Project II","P","2.0 units, max 4","Lecture-Lab","18373D","001","2:00-5:20pm","Thursday","30","0","0","Danny Bilson, Richard Lemarchand, Chanel-France Summers, Dennis Wixon, Jesse Vigil</a>","SCI108"
"CTIN-497","Interactive Media Startup","","1.0 units, max 3","Lecture","18421D","001","11:00-1:50pm","Thursday","20","0","0","Jordan Weisman","SCI207"
"CTIN-499","Special Topics","","2.0-4.0 units, max 8"
"","Digital Media Workshop","","4.0","Lecture","18380D","001","3:00-5:50pm","Monday","16","0","0","Peter Brinson","SCI L113, SCI L113"
"","Level Design Workshop","","2.0","Lecture","18412D","001","1:00-3:50pm","Thursday","20","0","0","Scott Rogers",""
"CTIN-503","Interactive Entertainment, Science, and Healthcare","C","2.0 units","Lecture","18411D","037","4:00-5:50pm","Tuesday","12","0","0","Marientina Gotsis","SCI207"
"CTIN-510","Research Methods for Innovation, Engagement and Assessment","","2.0 units","Lecture","18388D","037","11:00-12:50pm","Friday","12","0","0","Dennis Wixon","SCI207"
"CTIN-511","Interactive Media Seminar","","1.0 units, max 4","Lecture","18372D","037","4:00-5:50pm","Wednesday","30","0","0","Sam Roberts, Richard Lemarchand</a>","SCI108"
"CTIN-542","Interactive Design and Production II","PM","4.0 units","Lecture-Lab","18382D","037","1:00-3:50pm","Wednesday","12","0","0","Mark Bolas","SCI L114"
"CTIN-544","Experiments in Interactivity II","PM","2.0 units","Lecture-Lab","18381D","037","5:30-8:20pm","Tuesday","16","0","0","Margaret Moser","SCI L114"
"CTIN-548","Preparing the Interactive Project","PM","2.0 units","Lecture","18386D","037","10:00-11:50am","Wednesday","12","0","0","Steven Anderson","SCI L114"
"CTIN-590","Directed Research","","1.0-12.0 units","Lecture","18402D","037","TBA","TBA","10","0","0","Tracy Fullerton","OFFICE"
"CTIN-594b","Master's Thesis","PM","2.0 units","Lecture","18361D","037","11:00-2:50pm","Thursday","16","1","0","Dennis Wixon, Jane Pinckard","SCI306"
"CTIN-599","Special Topics","","2.0-4.0 units, max 8"
"","Game Engines and Expression","","2.0","Lecture","18355D","037","TBA","TBA","8","0","0","Margaret Moser","OFFICE"
