"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTWR-206b","Writing the Screenplay","PM","4.0 units","Lecture","19156D","001","1:00-3:50pm","Friday","7","0","0","Janet Batchler","SCA362"
"","","","","Lecture","19157D","001","1:00-3:50pm","Friday","8","0","0","Deborah Baron","SCB101"
"","","","","Lecture","19316D","001","1:00-3:50pm","Friday","8","0","0","David Brind","SCA361"
"","","","","Lecture","19352D","001","1:00-3:50pm","Friday","8","0","0","Robert Ramsey","SCA345"
"CTWR-250","Breaking the Story","","2.0 units","Lecture","19358D","001","10:00-12:50pm","Wednesday","12","0","0","David Howard","SCA342"
"","","","","Lecture","19360D","001","10:00-12:50pm","Wednesday","12","0","0","Mark Shepherd","SCA214"
"","","","","Lecture","19422D","001","1:00-3:50pm","Wednesday","15","0","0","Donald Bohlinger","SCA342"
"","","","","Lecture","19423D","001","10:00-12:50pm","Tuesday","15","0","0","Ian Shorr","SCB101"
"CTWR-314","Writing To Be Performed","PM","2.0 units","Lecture","19167D","001","4:00-6:50pm","Tuesday","14","0","0","Wendy Phillips","SCA214"
"","","","","Lecture","19350D","001","10:00-12:50pm","Thursday","14","0","0","Wendy Phillips","RZC STG A"
"CTWR-321","Introduction to Hour-Long Television Writing","P","2.0 units","Lecture","19306D","001","4:00-6:50pm","Thursday","12","0","0","Maria Escobedo","SCA362"
"","","","","Lecture","19353D","001","10:00-12:50pm","Friday","8","0","0","Kevin Arkadie","SCA363"
"","","","","Lecture","19362D","001","10:00-12:50pm","Friday","8","0","0","David Balkan","SCA259"
"","","","","Lecture","19364D","001","10:00-12:50pm","Friday","8","0","0","Deborah Seibel","SCA258"
"","","","","Lecture","19412D","001","10:00-12:50pm","Thursday","12","0","0","Sonja Warfield","SCA342"
"","","","","Lecture","19414D","001","1:00-3:50pm","Wednesday","12","0","0","Julie Sayres","SCI209"
"CTWR-410L","Character Development and Storytelling for Games","","4.0 units","Lecture-Lab","19168D","001","7:00-10:00pm","Thursday","16","0","0","Danny Bilson","SCI207"
"CTWR-411","Television Script Analysis","","2.0 units","Lecture","19205R","001","1:00-3:50pm","Monday","150","2","0","Pamela Douglas","SCI106"
"CTWR-412","Introduction to Screenwriting","","2.0 units","Lecture","19169R","001","4:00-6:50pm","Wednesday","12","0","0","Martin Daniel","SCB304"
"","","","","Lecture","19173R","001","7:00-10:00pm","Tuesday","12","1","0","Vincent Robert","SCA255"
"","","","","Lecture","19177R","001","10:00-12:50pm","Monday","12","0","0","Frank Mc Adams","SCA310"
"","","","","Lecture","19199R","001","1:00-3:50pm","Monday","12","0","0","Peter Exline","SCA342"
"","","","","Lecture","19351R","001","4:00-6:50pm","Wednesday","12","1","0","Deborah Seibel","SCA214"
