"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DANC-103","Conditioning for Dancers","","2.0 units, max 4","Lecture","22353R","001","9:30-10:50am","Mon, Wed","25","0","0","Margo Apostolos","AHF B20"
"DANC-105","Dance Science: Analysis of Dance Movement","P","4.0 units","Lecture","22356D","001","4:00-5:40pm","Tue, Thu","35","0","0","Margo Apostolos","PED207"
"DANC-107","World Perspective on Dance Performance","","2.0 units, max 4","Lecture","22358R","001","4:00-5:40pm","Monday","25","0","0","Saleemah Knight","THH121"
"DANC-110","Dance Technique I","M","3.0 units, max 12","Lecture","22360D","001","8:00-11:50am","TuThF","35","0","0","Jodie Gates, Patrick Corbin, D Grimes, Thomas McManus, Jackie Kopcsak","PED207, PED207"
"DANC-120","Repertory and Performance I","M","2.0 units, max 4","Lecture","22362D","001","2:00-4:50pm","MWF","35","0","0","Thomas McManus","PED207"
"DANC-131","Improvisation and Composition II: Introduction","PM","2.0 units","Lecture","22367D","001","2:00-3:20pm","Tue, Thu","35","0","0","Thomas McManus","PED207"
"DANC-181a","Modern Dance","","2.0 units","Lecture","22370R","001","11:00-12:20pm","Tue, Thu","25","0","0","Angel Papadakis","AHF B20"
"DANC-183a","Ballet","","2.0 units","Lecture","22390R","001","12:30-1:50pm","Tue, Thu","25","0","0","Angel Papadakis","AHF B20"
"DANC-183b","Ballet","P","2.0 units","Lecture","22395R","001","11:00-12:20pm","Mon, Wed","25","0","0","Jackie Kopcsak","AHF B20"
"DANC-184a","Jazz Dance","","2.0 units","Lecture","22410R","001","9:30-10:50am","Tue, Thu","25","1","0","Saleemah Knight","AHF B20"
"DANC-184b","Jazz Dance","P","2.0 units","Lecture","22415R","001","2:00-3:20pm","Mon, Wed","25","0","0","Saleemah Knight","AHF B20"
"DANC-185","Hip-Hop Dance","","2.0 units, max 4","Lecture","22423R","001","12:00-1:50pm","Friday","25","0","0","E Durden","AHF B20"
"","","","","Lecture","22424R","001","3:30-4:50pm","Tue, Thu","25","1","0","E Durden","AHF B20"
"","","","","Lecture","22429R","001","5:00-6:20pm","Mon, Wed","50","0","0","D Grimes","MHP101"
"","","","","Lecture","22425R","001","10:00-11:50am","Friday","25","1","0","E Durden","AHF B20"
"","","","","Lecture","22426R","001","2:00-3:20pm","Mon, Wed","25","0","0","E Durden","AHF B20"
"DANC-188a","International Style Ballroom Dance","","2.0 units","Lecture","22434R","001","5:00-6:20pm","Tue, Thu","50","0","0","Jesus Fuentes","MHP101"
"","","","","Lecture","22430R","001","6:30-7:50pm","Mon, Wed","50","0","0","Jesus Fuentes","MHP101"
"","","","","Lecture","22431R","001","2:00-4:50pm","Friday","25","0","0","Jesus Fuentes","AHF B20"
"","","","","Lecture","22432R","001","6:30-7:50pm","Tue, Thu","50","0","0","Jesus Fuentes","MHP101"
"","","","","Lecture","22433R","001","8:00-9:20pm","Tue, Thu","50","0","0","Jesus Fuentes","MHP101"
"DANC-188b","International Style Ballroom Dance","P","2.0 units","Lecture","22440R","001","8:00-9:20pm","Mon, Wed","50","1","0","Jesus Fuentes","MHP101"
"DANC-189a","Tap Dance","","2.0 units","Lecture","22450R","001","12:30-1:50pm","Mon, Wed","25","0","0","Patrick Corbin","AHF B20"
"DANC-212g","Dance in Popular Culture","","4.0 units","Lecture","22470R","001","10:00-11:40am","Mon, Wed","35","0","0","Saleemah Knight","VKC256"
"DANC-280g","Introduction to Dance as an Art Form","","4.0 units","Lecture","22490R","001","4:00-5:40pm","Tue, Thu","35","0","0","Jackie Kopcsak","VKC258"
"","","","","Lecture","22491R","001","12:00-1:40pm","Mon, Wed","35","0","0","Margo Apostolos","VKC201"
"DANC-302g","Hip Hop Don't Stop: Exploring Black Vernacular Dance","","4.0 units, max 8","Lecture","22510R","001","2:00-3:40pm","Mon, Wed","35","0","0","D Grimes","VKC258"
"DANC-312g","African American Dance","","4.0 units, max 8","Lecture","22513R","001","10:00-11:40am","Mon, Wed","35","0","0","E Durden","VKC151"
"DANC-362","Pilates Mat Training","","2.0 units, max 4","Lecture","22520R","001","2:00-3:20pm","Tue, Thu","25","0","0","Jackie Kopcsak","AHF B20"
"DANC-363g","Dancing on the Screen","","4.0 units","Lecture","22527R","001","2:00-3:40pm","Tue, Thu","35","0","0","Patrick Corbin","VKC258"
"DANC-490x","Directed Research","C","1.0-12.0 units, max 12","Lecture","22582D","001","TBA","TBA","5","0","0","Jodie Gates","OFFICE"
