"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DHYG-311b","Fundamentals of Clinical Dental Hygiene Practice","P","3.0 units","Lecture","23006D","007",":-:am","TBA","60","1","0","Michaela Nguyen",", OFFICE"
"DHYG-320","Preventive Dental Therapy","","2.0 units","Lecture","23007D","007",":-:am","TBA","60","1","0","M Melrose",", OFFICE"
"DHYG-410c","Clinic: Dental Hygiene","P","2.0-7.0 units","Lecture","23000D","043",":-:am","TBA","50","1","0","Lupe Arevalo",", OFFICE"
"DHYG-414b","Advanced Dental Hygiene","P","2.0 units","Lecture","23001D","043",":-:am","TBA","50","1","0","Joyce Sumi",", OFFICE"
"DHYG-422","Essentials of Dental Hygiene Practice","","1.0 unit","Lecture","23003D","043",":-:am","TBA","50","1","0","M Melrose",", OFFICE"
"DHYG-504","Dental Hygiene Theory and Science II","","3.0 units","Lecture","23024D","394",":-:am","TBA","5","0","0","Pam Hughes",", OFFICE"
"DHYG-505","Dental Hygiene Seminar II","","1.0 unit","Lecture","23025D","394",":-:am","TBA","5","0","0","Pam Hughes",", OFFICE"
"DHYG-506","Research Methodologies and Statistics","","3.0 units","Lecture","23026D","394",":-:am","TBA","5","1","0","Jane Forrest",", OFFICE"
"DHYG-511","Classroom and Clinical Instruction Design","","2.0 units","Lecture","23027D","394",":-:am","TBA","5","0","0","Linda Brookman",", OFFICE"
"DHYG-516b","Community Oral Health","P","2.0 units","Lecture","23048D","043",":-:am","TBA","60","1","0","Pam Hughes",", OFFICE"
