"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DPBL-501b","Dental Problem Based Learning--Human Structure I","PM","3.0 units","Lecture","23212D","006",":-:am","TBA","150","1","0","Mahvash Navazesh, Yang Chai",", OFFICE"
"DPBL-502b","Dental Problem Based Learning -- Human Function I","PM","8.0 units","Lecture","23213D","006",":-:am","TBA","150","1","0","Mahvash Navazesh, Ilan Rotstein",", OFFICE"
"DPBL-503b","Dental Problem Based Learning -- Human Behavior I","PM","2.0 units","Lecture","23214D","006",":-:am","TBA","150","1","0","Mahvash Navazesh, Jane Forrest",", OFFICE"
"DPBL-504b","Dental Problem Based Learning -- Human Clinical Dentistry I","PM","4.0 units","Lecture","23215D","006",":-:am","TBA","150","1","0","Mahvash Navazesh, Michael Mulvehill, Casey Chen",", OFFICE"
"DPBL-511b","Dental Problem Based Learning -- Human Structure II","P","2.0 units","Lecture","23208D","039",":-:am","TBA","150","1","0","Mahvash Navazesh, Yang Chai",", OFFICE"
"DPBL-512b","Dental Problem Based Learning -- Human Function II","P","5.0 units","Lecture","23209D","039",":-:am","TBA","150","1","0","Mahvash Navazesh, Ilan Rotstein",", OFFICE"
"DPBL-513b","Dental Problem Based Learning -- Human Behavior II","P","3.0 units","Lecture","23210D","039",":-:am","TBA","150","1","0","Mahvash Navazesh, Jane Forrest",", OFFICE"
"DPBL-514b","Dental Problem Based Learning -- Human Clinical Dentistry II","P","7.0 units","Lecture","23211D","039",":-:am","TBA","150","1","0","Mahvash Navazesh, Michael Mulvehill, Casey Chen",", OFFICE"
"DPBL-521b","Dental Problem Based Learning -- Human Structure III","P","1.0 unit","Lecture","23220D","008",":-:am","TBA","50","1","0","Mahvash Navazesh, Yang Chai",", OFFICE"
"","","","","Lecture","23204D","040",":-:am","TBA","150","1","0","Mahvash Navazesh, Yang Chai",", OFFICE"
"DPBL-522b","Dental Problem Based Learning -- Human Function III","P","1.0 unit","Lecture","23205D","040",":-:am","TBA","150","1","0","Mahvash Navazesh, Ilan Rotstein",", OFFICE"
"","","","","Lecture","23221D","008",":-:am","TBA","50","1","0","Mahvash Navazesh, Ilan Rotstein",", OFFICE"
"DPBL-523b","Dental Problem Based Learning -- Human Behavior III","P","1.0 unit","Lecture","23206D","040",":-:am","TBA","150","1","0","Mahvash Navazesh, Jane Forrest",", OFFICE"
"","","","","Lecture","23222D","008",":-:am","TBA","50","1","0","Mahvash Navazesh, Jane Forrest",", OFFICE"
"DPBL-524b","Dental Problem Based Learning -- Human Clinical Dentistry III","P","14.0 units","Lecture","23207D","040",":-:am","TBA","150","1","0","Mahvash Navazesh, Michael Mulvehill, Casey Chen",", OFFICE"
"","","","","Lecture","23223D","008",":-:am","TBA","50","1","0","Mahvash Navazesh, Michael Mulvehill, Casey Chen",", OFFICE"
"DPBL-531b","Dental Problem Based Learning -- Human Structure IV","P","1.0 unit","Lecture","23200D","041",":-:am","TBA","150","1","0","Mahvash Navazesh, Yang Chai",", OFFICE"
"","","","","Lecture","23216D","042",":-:am","TBA","50","1","0","Mahvash Navazesh, Yang Chai",", OFFICE"
"DPBL-532b","Dental Problem Based Learning -- Human Function IV","P","1.0 unit","Lecture","23201D","041",":-:am","TBA","150","1","0","Mahvash Navazesh, Ilan Rotstein",", OFFICE"
"","","","","Lecture","23217D","042","TBA","TBA","50","1","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"DPBL-533b","Dental Problem Based Learning -- Human Behavior IV","P","1.0 unit","Lecture","23202D","041",":-:am","TBA","150","1","0","Mahvash Navazesh, Jane Forrest",", OFFICE"
"","","","","Lecture","23218D","042",":-:am","TBA","50","1","0","Mahvash Navazesh, Jane Forrest",", OFFICE"
"DPBL-534b","Dental Problem Based Learning -- Human Clinical Dentistry IV","P","13.0 units","Lecture","23203D","041","TBA","TBA","150","1","0","Mahvash Navazesh, Michael Mulvehill, Casey Chen","OFFICE"
"","","","","Lecture","23219D","042",":-:am","TBA","50","1","0","Mahvash Navazesh, Michael Mulvehill, Casey Chen",", OFFICE"
