"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSO-401","Business Information Systems -- Spreadsheet Applications","","2.0 units","Lecture","16212R","001","10:00-12:00pm","Friday","30","0","0","Francis Pereira","BRI202A"
"","","","","Lecture","16213R","001","12:00-1:50pm","Friday","30","0","0","Francis Pereira","BRI202A"
"","","","","Lecture","16214R","001","4:00-5:50pm","Monday","30","0","0","Francis Pereira","BRI202A"
"","","","","Lecture","16215R","001","4:00-5:50pm","Wednesday","30","1","0","Francis Pereira","BRI202A"
"","","","","Lecture","16216R","001","6:00-7:50pm","Monday","30","0","0","Francis Pereira","BRI202A"
"","","","","Lecture","16217R","001","6:00-7:50pm","Wednesday","30","1","0","Francis Pereira","BRI202A"
"DSO-424","Business Forecasting","P","4.0 units","Lecture","16218R","001","2:00-3:50pm","Tue, Thu","30","1","0","Robertas Gabrys","BRI202A"
"DSO-431","Foundations of Digital Business Innovation","","4.0 units","Lecture","16225R","001","2:00-3:50pm","Mon, Wed","35","1","0","Ann Majchrzak","HOH415"
"DSO-433","Business Process Design","","4.0 units","Lecture","16227R","001","10:00-11:50am","Mon, Wed","35","2","0","Ann Majchrzak","HOH415"
"DSO-462","Managing a Small Business on the Internet","","2.0 units","Lecture","16235R","001","4:00-5:50pm","Tuesday","35","0","0","Richard Selby","HOH415"
"","","","","Lecture","16236R","001","6:00-7:50pm","Tuesday","35","1","0","Richard Selby","HOH421"
"DSO-483","Operations Consulting","P","4.0 units","Lecture","16240R","001","12:00-1:50pm","Mon, Wed","36","1","0","Murat Bayiz","HOH304"
"DSO-510","Business Analytics","M","3.0 units","Lecture","16302D","033","6:30-9:30pm","Monday","30","0","0","Richard Selby","ACC205"
"","","","","Lecture","16304D","033","6:30-9:30pm","Thursday","30","0","0","Richard Selby","ACC236"
"DSO-516","Probability and Data Modeling","MC","1.5 units","Lecture","16305D","411","11:00-12:20pm","Mon, Wed","45","0","0","Amy Ward","JKP112"
"","","","","Lecture","16306D","411","12:30-1:50pm","Mon, Wed","45","0","0","Amy Ward","JKP112"
"DSO-522","Applied Time Series Analysis for Forecasting","MC","1.5-3.0 units","Lecture","16270D","411","6:30-9:30pm","Thursday","45","0","0","Robertas Gabrys","JKP212"
"DSO-528","Data Warehousing, Business Intelligence, and Data Mining","MC","1.5-3.0 units","Lecture","16272D","033","9:00-11:50am","Saturday","45","0","0","Arif Ansari","JKP112"
"","","","","Lecture","16274D","415","6:30-9:30pm","Thursday","35","0","0","Arif Ansari","JKP212"
"DSO-530","Applied Modern Statistical Learning Methods","M","3.0 units","Lecture","16275D","033","12:30-1:50pm","Tue, Thu","35","0","0","Robertas Gabrys","JKP104"
"DSO-534","Discrete-Event Simulation for Process Management","P","1.5 units","Lecture","16307D","415","11:00-12:20pm","Mon, Wed","45","0","0","Amy Ward","JKP112"
"DSO-536","Monte Carlo Simulation and Decision Models","PC","1.5 units","Lecture","16308D","415","12:30-1:50pm","Mon, Wed","45","0","0","Amy Ward","JKP112"
"DSO-545","Statistical Computing and Data Visualization","M","3.0 units","Lecture","16278D","033","9:30-10:50am","Tue, Thu","35","0","0","Abbass Sharif","JKP112"
"DSO-547","Designing Spreadsheet-Based Business Models","MC","3.0 units","Lecture","16280D","033","11:00-12:20pm","Tue, Thu","45","0","0","Omeed Selbe","JKP104"
"","","","","Lecture","16282D","033","6:30-9:30pm","Tuesday","45","0","0","Omeed Selbe","OCC"
"DSO-549","Application of Lean Six Sigma","MC","3.0 units","Lecture","16284D","372","3:00-6:00pm","Monday","37","0","0","Nick Vyas","ONLINE"
"","","","","Lecture","16285D","033","3:00-6:00pm","Monday","31","0","0","Nick Vyas","BRI202"
"DSO-570","The Analytics Edge: Data, Models, and Effective Decisions","M","3.0 units","Lecture","16298D","033","12:30-1:50pm","Tue, Thu","50","0","0","Paat Rusmevichientong","JKP102"
"","","","","Lecture","16301D","033","5:00-6:20pm","Tue, Thu","50","0","0","Paat Rusmevichientong","JKP202"
"DSO-580","Project Management","M","3.0 units","Lecture","16283D","372","7:00-8:30pm","Monday","30","0","0","Murat Bayiz","ONLINE"
"","","","","Lecture","16286D","033","6:30-9:30pm","Wednesday","45","0","0","Murat Bayiz","JKP102"
"DSO-581","Supply Chain Management","M","3.0 units","Lecture","16232D","372","TBA","TBA","37","0","0","Tathagata Dasgupta","ONLINE"
"","","","","Lecture","16288D","033","2:00-3:20pm","Tue, Thu","13","0","0","Greys Sosic","JKP210"
"DSO-582","Service Management: Economics and Operations","MC","3.0 units","Lecture","16289D","033","2:00-3:20pm","Mon, Wed","45","0","0","Ramandeep Randhawa","JKP212"
"DSO-583","Operations Consulting","MC","3.0 units","Lecture","16292D","033","2:00-3:20pm","Mon, Wed","36","0","0","Murat Bayiz","JKP210"
"DSO-586","Global Healthcare Operations Management","MC","3.0 units","Lecture","16330D","033","6:30-9:30pm","Wednesday","25","0","0","Sriram Dasu","HOH422"
"DSO-590","Directed Research","C","1.0-5.0 units, max 12","Lecture","16294D","033","TBA","TBA","20","0","0","Yehuda Bassok","OFFICE"
"DSO-592","Field Research in Data Sciences or Operations","C","0.5-4.0 units, max 12","Lecture","16310D","033","TBA","TBA","20","0","0","Yehuda Bassok","OFFICE"
"DSO-593","Independent Research in Data Sciences or Operations","C","0.5-4.0 units, max 12","Lecture","16311D","033","TBA","TBA","20","0","0","Yehuda Bassok","OFFICE"
