"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSR-574","Stem Cell and Developmental Biology Seminar Series","","1.0 units, max 10","Lecture","40127D","046","12:00-12:50pm","Friday","60","5","0","Min Yu","BCC101"
"DSR-580","Clinical Perspective of Regenerative Medicine","","1.0 units, max 4","Lecture","40128D","046","1:00-3:00pm","Monday","25","0","0","","OFFICE"
"DSR-610","Current Topics in Regenerative Medicine","C","1.0 units, max 12","Lecture","40129D","046","4:00-4:50pm","Tuesday","25","0","0","","BCC101"
"","","","","Lecture","40136D","046","3:00-3:50pm","Tuesday","50","5","0","","BCC101"
"DSR-790","Research","C","1.0-12.0 units","Lecture","40140D","046","TBA","TBA","30","0","0","","TBA"
"DSR-794a","Doctoral Dissertation","C","2.0 units","Lecture","40145D","046","TBA","TBA","30","0","0","","TBA"
"DSR-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40146D","046","TBA","TBA","30","0","0","","TBA"
"DSR-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40147D","046","TBA","TBA","30","0","0","","TBA"
"DSR-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40148D","046","TBA","TBA","30","0","0","","TBA"
"DSR-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40149D","046","TBA","TBA","30","0","0","","TBA"
