"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EALC-101x","Conversational Chinese and Intercultural Communication","","2.0 units","Lecture","25601R","001","4:00-5:50pm","Tuesday","12","0","0","Chia-Fen Wu","WPH202"
"","","","","Lecture","25602R","001","4:00-5:50pm","Thursday","12","0","0","Chia-Fen Wu","WPH204"
"EALC-102","Language, Art and Culture: Calligraphy","","2.0 units","Lecture","25300R","001","2:00-3:50pm","Monday","12","0","0","Hsiao-Yun Liao","SOS B52"
"","","","","Lecture","25301R","001","12:00-1:50pm","Friday","12","0","0","Hsiao-Yun Liao","WPH104"
"","","","","Lecture","25482R","001","2:00-3:50pm","Tuesday","12","0","0","Hsiao-Yun Liao","WPH400"
"","","","","Lecture","25696R","001","2:00-3:50pm","Wednesday","12","0","0","John Chang","SOS B51"
"","","","","Lecture","25698R","001","2:00-3:50pm","Thursday","12","0","0","John Chang","WPH104"
"EALC-103a","Online Chinese I","","2.0 units","Lecture","25691R","001","1:00-1:50pm","Tue, Thu","12","0","0","Xiang Jian","VKC208"
"","","","","Lecture","25693R","001","2:00-2:50pm","Tue, Thu","12","0","0","Xiang Jian","WPH200"
"EALC-103b","Online Chinese I","P","2.0 units","Lecture","25695R","001","10:00-11:50am","Friday","12","0","0","John Chang","VKC103"
"EALC-104","Chinese I","","4.0 units","Lecture","25303D","001","10:00-10:50am","MTuWTh","18","0","0","Ping Yang","VKC259"
"","","","","Lecture","25306D","001","11:00-11:50am","MTuWTh","18","0","0","Hsiao-Yun Liao","VKC160"
"EALC-106","Chinese II","P","4.0 units","Lecture","25308R","001","12:00-12:50pm","MTuWTh","18","0","0","Hsiao-Yun Liao","VKC111"
"","","","","Lecture","25311R","001","10:00-10:50am","MTuWTh","18","0","0","Tin-Yu Tseng","VKC160"
"","","","","Lecture","25312R","001","9:00-9:50am","MTuWTh","18","0","0","Tin-Yu Tseng","VKC160"
"EALC-108","Reading and Writing Chinese","","4.0 units","Lecture","25314R","001","4:00-5:50pm","Tue, Thu","18","0","0","Xianxian Fang","VKC209"
"EALC-110gp","East Asian Humanities: The Great Tradition","","4.0 units","Lecture","25315R","001","11:00-11:50am","MWF","100","0","0","Geraldine Fiss","THH102"
"","","","","Discussion","25316R","001","8:00-8:50am","Monday","25","0","0","","THH108"
"","","","","Discussion","25317R","001","9:00-9:50am","Monday","25","0","0","","THH108"
"","","","","Discussion","25318R","001","8:00-8:50am","Wednesday","25","0","0","","THH108"
"","","","","Discussion","25319R","001","9:00-9:50am","Wednesday","25","0","0","","THH108"
"EALC-115","Korean I","","4.0 units","Lecture","25322D","001","10:00-10:50am","MTuWTh","19","0","0","Hyunjung Ahn","VKC202"
"","","","","Lecture","25472D","001","9:00-9:50am","MTuWTh","15","0","0","Hyunjung Ahn","VKC202"
"EALC-117","Korean II","P","4.0 units","Lecture","25323R","001","9:00-9:50am","MTuWTh","18","1","0","Hee Ju","VKC259"
"","","","","Lecture","25324R","001","11:00-11:50am","MTuWTh","19","0","0","Won Na","VKC202"
"EALC-120","Japanese I","","4.0 units","Lecture","25325D","001","1:00-1:50pm","MTuWTh","18","0","0","Masako Tamanaha","VKC160"
"","","","","Lecture","25326D","001","9:00-9:50am","MTuWTh","18","0","0","Mayumi Ikeda","VKC206"
"","","","","Lecture","25327D","001","12:00-12:50pm","MTuWTh","18","0","0","Mayumi Ikeda","VKC160"
"EALC-121","Extensive Reading in Japanese I","P","2.0 units, max 4","Lecture","25394R","001","3:00-3:50pm","Tue, Thu","12","0","0","Yuka Kumagai","THH217"
