"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ECON-203g","Principles of Microeconomics","","4.0 units","Lecture","26000R","001","3:30-4:45pm","Tue, Thu","100","0","0","Rahul Giri","THH102"
"","","","","Discussion","26004R","001","11:00-11:50am","Friday","25","0","0","","VKC201"
"","","","","Discussion","26006R","001","12:00-12:50pm","Friday","25","0","0","","VKC201"
"","","","","Discussion","26010R","001","6:00-6:50pm","Monday","25","0","0","","THH110"
"","","","","Discussion","26012R","001","6:00-6:50pm","Wednesday","25","0","0","","THH110"
"","","","","Lecture","26001R","001","2:00-3:15pm","Tue, Thu","100","0","0","Lodovico Pizzati","THH102"
"","","","","Discussion","26014R","001","10:00-10:50am","Friday","25","0","0","","THH B10"
"","","","","Discussion","26016R","001","11:00-11:50am","Friday","25","0","0","","THH B10"
"","","","","Discussion","26024R","001","6:00-6:50pm","Tuesday","25","0","0","","THH110"
"","","","","Discussion","26026R","001","6:00-6:50pm","Thursday","25","0","0","","THH110"
"ECON-205g","Principles of Macroeconomics","","4.0 units","Lecture","26044R","001","2:00-3:15pm","Mon, Wed","100","0","0","Rahul Giri","SLH100"
"","","","","Discussion","26050R","001","12:00-12:50pm","Friday","25","0","0","","THH B10"
"","","","","Discussion","26052R","001","1:00-1:50pm","Friday","25","0","0","","THH B10"
"","","","","Discussion","26054R","001","6:00-6:50pm","Monday","25","0","0","","THH112"
"","","","","Discussion","26056R","001","6:00-6:50pm","Wednesday","25","0","0","","THH112"
"","","","","Lecture","26062R","001","12:30-1:45pm","Tue, Thu","49","0","0","Rubina Verma","GFS207"
"","","","","Discussion","26074R","001","11:00-11:50am","Friday","24","0","0","","THH108"
"","","","","Discussion","26080R","001","6:00-6:50pm","Tuesday","25","0","0","","GFS107"
"ECON-303","Intermediate Microeconomic Theory","P","4.0 units","Lecture","26082D","001","2:00-3:50pm","Mon, Wed","49","0","0","Ergin Bayrak","KAP144"
"","","","","Lecture","26083R","001","2:00-3:50pm","Tue, Thu","49","0","0","Ladan Masoudie","LVL16"
"","","","","Lecture","26084R","001","2:00-3:50pm","Mon, Wed","49","0","0","Giorgio Coricelli","THH116"
"","","","","Lecture","26085R","001","4:00-5:50pm","Tue, Thu","39","0","0","Ergin Bayrak","KAP148"
"ECON-305","Intermediate Macroeconomic Theory","P","4.0 units","Lecture","26087R","001","2:00-3:50pm","Tue, Thu","49","0","0","Rubina Verma","KAP156"
"","","","","Lecture","26088R","001","10:00-11:50am","Tue, Thu","49","0","0","Ladan Masoudie","KAP146"
"","","","","Lecture","26089D","001","4:00-5:50pm","Mon, Wed","49","0","0","Mark Moore","VPD116"
"","","","","Lecture","26090R","001","8:00-9:50am","Mon, Wed","49","0","0","Lodovico Pizzati","KAP146"
"","","","","Lecture","26092R","001","12:00-1:50pm","Tue, Thu","49","0","0","Caroline Betts","MHP B7B"
"ECON-317","Introduction to Statistics for Economists","P","4.0 units","Lecture","26093R","001","12:00-1:50pm","Tue, Thu","49","0","0","Ali Shahnawaz","KAP156"
"","","","","Lecture","26094R","001","2:00-3:50pm","Tue, Thu","45","0","0","Manochehr Rashidian","KAP158"
"","","","","Lecture","26096R","001","10:00-11:50am","Tue, Thu","49","0","0","Manochehr Rashidian","KAP156"
"ECON-318","Introduction to Econometrics","P","4.0 units","Lecture","26097R","001","4:00-5:50pm","Tue, Thu","49","0","0","","GFS116"
"","","","","Lecture","26101R","001","4:00-5:50pm","Mon, Wed","49","0","0","Manochehr Rashidian","WPH B28"
"","","","","Lecture","26103R","001","2:00-3:50pm","Tue, Thu","49","0","0","Ratika Narag","KAP144"
"","","","","Lecture","26105R","001","2:00-3:50pm","Tue, Thu","49","0","0","","GFS207"
"ECON-340","Economics of Less Developed Countries","P","4.0 units","Lecture","26106R","001","2:00-3:50pm","Tue, Thu","68","0","0","John Strauss","MHP105"
"ECON-348g","Current Problems of the American Economy","P","4.0 units","Lecture","26114R","001","2:00-3:50pm","Mon, Wed","50","0","0","Mark Moore","THH114"
"","","","","Discussion","26115R","001","10:00-10:50am","Friday","25","0","0","","VKC111"
"","","","","Discussion","26117R","001","11:00-11:50am","Friday","25","0","0","","VKC111"
"ECON-351x","Microeconomics for Business","P","4.0 units","Lecture","26345R","001","6:00-7:50pm","Tue, Thu","40","0","0","Rahsan Akbulut","MHP105"
"","","","","Lecture","26346R","001","4:00-5:50pm","Tue, Thu","40","0","0","Rahsan Akbulut","SOS B46"
"","","","","Lecture","26348R","001","8:00-9:50am","Tue, Thu","40","0","0","","HOH EDI"
"","","","","Lecture","26349R","001","6:00-7:50pm","Mon, Wed","40","0","0","","SLH100"
"","","","","Lecture","26350R","001","6:00-7:50pm","Tue, Thu","40","0","0","Daniel Simundza","ZHS252"
"","","","","Lecture","26351R","001","10:00-11:50am","Tue, Thu","40","0","0","Odilon Camara","HOH EDI"
"","","","","Lecture","26353R","001","4:00-5:50pm","Mon, Wed","40","0","0","Rahsan Akbulut","MHP105"
"","","","","Lecture","26354R","001","2:00-3:50pm","Tue, Thu","40","0","0","Odilon Camara","ZHS352"
"","","","","Lecture","26357R","001","8:00-9:50am","Mon, Wed","40","0","0","","JKP110"
"","","","","Lecture","26358R","001","4:00-5:50pm","Tue, Thu","40","0","0","Daniel Simundza","SLH100"
"ECON-352x","Macroeconomics for Business","","4.0 units","Lecture","26361R","001","12:00-1:50pm","Mon, Wed","40","0","0","Ayse Imrohoroglu","SOS B46"
"","","","","Lecture","26362R","001","12:00-1:50pm","Mon, Wed","40","0","0","Selahattin Imrohoroglu","ZHS159"
"","","","","Lecture","26363R","001","6:00-7:50pm","Tue, Thu","40","0","0","Mohammad Safarzadeh","SOS B46"
"","","","","Lecture","26364R","001","4:00-5:50pm","Mon, Wed","40","0","0","Selahattin Imrohoroglu","WPH B27"
"","","","","Lecture","26365R","001","6:00-7:50pm","Mon, Wed","40","0","0","","MHP106"
"","","","","Lecture","26367R","001","2:00-3:50pm","Mon, Wed","40","0","0","Ayse Imrohoroglu","HOH2"
"","","","","Lecture","26369R","001","2:00-3:50pm","Tue, Thu","40","0","0","Nir Jaimovich","THH208"
"","","","","Lecture","26370R","001","4:00-5:50pm","Tue, Thu","40","0","0","Mohammad Safarzadeh","THH208"
"","","","","Lecture","26371R","001","4:00-5:50pm","Mon, Wed","40","0","0","Fatemeh Nazarian","HOH2"
"","","","","Lecture","26372R","001","6:00-7:50pm","Mon, Wed","40","0","0","Selahattin Imrohoroglu","MHP105"
"ECON-357","Money, Credit, and Banking","P","4.0 units","Lecture","26118R","001","2:00-3:50pm","Mon, Wed","49","0","0","Michael Sproul","VPD116"
"","","","","Lecture","26119R","001","4:00-5:50pm","Tue, Thu","59","0","0","Michael Sproul","THH210"
"ECON-366","Urban Economics","P","4.0 units","Lecture","26122R","001","10:00-11:50am","Tue, Thu","49","0","0","Matthew Kahn","MHP B7B"
"ECON-395","Economic Policy Issues","P","4.0 units","Lecture","26128R","001","4:00-5:50pm","Mon, Wed","53","0","0","Michael Sproul","GFS101"
"ECON-405","Neuroeconomics","P","4.0 units","Lecture","26131R","001","4:00-5:50pm","Tue, Thu","49","1","0","Giorgio Coricelli","MHP105"
"ECON-419","Advanced Econometrics","P","4.0 units","Lecture","26138R","001","4:00-5:50pm","Tue, Thu","49","0","0","Juan Saavedra","KAP144"
"ECON-432","Economics of Happiness","P","4.0 units","Lecture","26142D","001","12:00-1:50pm","Tue, Thu","49","0","0","Richard Easterlin","KAP146"
"ECON-433","Empirical Economics Research","P","4.0 units","Lecture","26143D","001","2:00-3:50pm","Mon, Wed","45","1","0","Hyungsik Moon","VKC102"
"ECON-450","International Trade","P","4.0 units","Lecture","26148R","001","6:00-7:50pm","Tue, Thu","49","1","0","Ali Shahnawaz","KAP144"
"ECON-452","International Finance","P","4.0 units","Lecture","26152R","001","2:00-3:50pm","Tue, Thu","49","1","0","Caroline Betts","GFS118"
"ECON-457","Financial Markets","P","4.0 units","Lecture","26154D","001","4:00-5:50pm","Tue, Thu","49","3","0","Ladan Masoudie","GFS118"
"ECON-471","Economics of Labor Markets and Human Capital","P","4.0 units","Lecture","26156D","001","12:00-1:50pm","Tue, Thu","20","0","0","Donald Yett","KAP164"
"","","","","Lecture","26157R","001","8:00-9:50am","Mon, Wed","49","0","0","Leandro Carvalho","VPD116"
"ECON-472","Economics of Medical Care","P","4.0 units","Lecture","26158D","001","10:00-11:50am","Tue, Thu","20","0","0","Donald Yett","KAP150"
"","","","","Lecture","26159R","001","2:00-3:50pm","Tue, Thu","45","0","0","Silvia Barcellos","VPD106"
"ECON-474","Economic Consulting and Applied Managerial Economics","P","4.0 units","Lecture","26161R","001","12:00-1:50pm","Tue, Thu","49","5","0","Jeffrey Dubin","VPD105"
"","","","","Lecture","26165R","001","2:00-3:50pm","Tue, Thu","49","0","0","Jeffrey Dubin","VPD105"
"ECON-480","Economics of Industrial Organization","P","4.0 units","Lecture","26162R","001","10:00-11:50am","Tue, Thu","49","0","0","Guofu Tan","VPD116"
"ECON-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","26168D","001","TBA","TBA","30","0","0","","OFFICE"
"ECON-495","Honors Thesis","","4.0 units","Lecture","26170D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-500","Microeconomic Analysis and Policy","P","4.0 units","Lecture","26174D","001","12:00-1:50pm","Tue, Thu","49","7","0","Ergin Bayrak","VPD116"
"ECON-501","Macroeconomic Analysis and Policy","P","4.0 units","Lecture","26176D","001","8:00-9:50am","Mon, Wed","48","25","0","Ratika Narag","KAP144"
"ECON-513","Practice of Econometrics","P","4.0 units","Lecture","26186D","001","4:00-5:50pm","Tue, Thu","49","26","0","Marco Angrisani","KAP156"
"ECON-541","Economic Development","P","4.0 units","Lecture","26200D","001","2:00-3:50pm","Tue, Thu","45","3","0","Jeff Nugent","MHP B7B"
"ECON-580","Antitrust Economics and Competition Policy","P","4.0 units","Lecture","26203D","001","2:00-3:50pm","Tue, Thu","40","27","0","Guofu Tan","KAP140"
"ECON-590","Directed Research","","1.0-12.0 units","Lecture","26206D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-594a","Master's Thesis","","2.0 units","Lecture","26208D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-594b","Master's Thesis","P","2.0 units","Lecture","26210D","001","TBA","TBA","10","1","0","","OFFICE"
"ECON-594z","Master's Thesis","P","0.0 units","Lecture","26212D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-599","Special Topics","","2.0-4.0 units, max 8"
"","Environmental Economics","","4.0","Lecture","26214D","001","8:00-9:50am","Mon, Wed","45","1","0","Matthew Kahn","GFS207"
"ECON-603","Microeconomic Theory II","P","4.0 units","Lecture","26218D","001","12:00-1:50pm","Mon, Wed","25","0","0","Michael Magill","KAP319"
"ECON-604","Game Theory","P","4.0 units","Lecture","26220D","001","9:00-11:50am","Thursday","15","0","0","Yilmaz Kocer","KAP319"
"ECON-605","Macroeconomic Theory II","P","4.0 units","Lecture","26222D","001","12:00-1:50pm","Tue, Thu","25","0","0","Joel David","KAP148"
"ECON-609","Econometric Methods","P","4.0 units","Lecture","26184D","001","4:00-5:50pm","Mon, Wed","25","0","0","Hyungsik Moon","KAP159"
"ECON-612","Econometric Theory","P","4.0 units","Lecture","26232D","001","2:00-4:50pm","Wednesday","25","0","0","","MRF229"
"ECON-613","Economic and Financial Time Series I","P","4.0 units","Lecture","26234D","001","9:00-11:50am","Monday","25","0","0","Hashem Pesaran","KAP319"
"ECON-616","Experimental Economics","P","4.0 units","Lecture","26240D","001","1:00-3:50pm","Monday","25","0","0","Isabelle Brocas","KAP335"
"ECON-620bL","Experimental Methods","P","2.0 units","Lecture-Lab","26249D","001","10:30-11:50am","Thursday","20","2","0","Juan Carrillo","KAP335"
"ECON-642","Poverty, Human Resources and Economic Development","P","4.0 units","Lecture","26250D","001","8:00-9:50am","Tue, Thu","25","1","0","John Strauss","KAP164"
"ECON-688","Empirical Industrial Organization","P","4.0 units","Lecture","26278D","001","2:00-4:50pm","Tuesday","25","0","0","Yu-Wei Hsieh","KAP164"
"ECON-690","Seminar in Economic Theory","","2.0 units, max 8","Lecture","26280D","001","4:00-5:30pm","Monday","15","1","0","Juan Carrillo","KAP319"
"ECON-691","Seminar in Econometrics","","2.0 units, max 8","Lecture","26282D","001","3:30-5:00pm","Friday","15","0","0","Yu-Wei Hsieh","KAP319"
"ECON-692","Seminar in Economic Development","","2.0 units, max 8","Lecture","26284D","001","4:00-5:30pm","Wednesday","22","1","0","Jeff Nugent","KAP319"
"ECON-694","Seminar in Dynamic Economics","","2.0 units, max 8","Lecture","26288D","001","2:00-3:30pm","Thursday","15","0","0","Robert Dekle","KAP319"
"ECON-696","Empirical Microeconomics Seminar","MC","2.0 units, max 8","Lecture","26291D","001","2:00-3:20pm","Monday","30","0","0","Titus Galama, Leandro Carvalho","VPD110"
"ECON-790","Research","","1.0-12.0 units","Lecture","26296D","001","TBA","TBA","20","0","0","","OFFICE"
"ECON-794a","Doctoral Dissertation","","2.0 units","Lecture","26298D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-794b","Doctoral Dissertation","P","2.0 units","Lecture","26300D","001","TBA","TBA","11","0","0","","OFFICE"
"ECON-794c","Doctoral Dissertation","P","2.0 units","Lecture","26302D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-794d","Doctoral Dissertation","P","2.0 units","Lecture","26304D","001","TBA","TBA","10","0","0","","OFFICE"
"ECON-794z","Doctoral Dissertation","P","0.0 units","Lecture","26306D","001","TBA","TBA","10","0","0","","OFFICE"
