"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDHP-503","Curriculum, Teaching, and Learning in Higher, Adult, and Professional Education","","3.0 units","Lecture","26731D","001","7:00-9:40pm","Tuesday","25","20","0","Michelle Castellanos","WPH205"
"EDHP-551","Applied Educational Ethnography","","3.0 units","Lecture","26735D","001","4:00-6:40pm","Wednesday","20","10","0","Susan Harris","WPH101"
"EDHP-552","The Politics of Difference","","3.0 units","Lecture","26727D","001","7:00-9:40pm","Tuesday","25","23","0","Mark Pearson","VKC151"
"","","","","Lecture","26728D","001","4:00-6:40pm","Tuesday","25","25","0","Nooshin Valizadeh","VKC151"
"","","","","Lecture","26742D","001","4:15-6:55pm","Wednesday","28","26","0","John Slaughter","WPH B26"
"EDHP-565","Intervention Strategies in College Student Development","","3.0 units","Lecture","26737D","001","7:00-9:40pm","Monday","25","21","0","Kristina Alvarado","WPH B26"
"EDHP-580","The Community College","","3.0 units","Lecture","26744D","001","4:15-6:55pm","Tuesday","25","17","0","Ryan Cornner","WPH206"
"EDHP-587","Fieldwork in Higher, Adult and Professional Education","","1.0-8.0 units, max 8","Lecture","26734D","001","7:00-8:40pm","Thursday","20","20","0","Viannda Hawkins","WPH B30"
"","","","","Lecture","26746D","001","7:00-8:40pm","Thursday","20","4","0","Sheila Banuelos","WPH202"
"","","","","Lecture","26758D","001","7:00-8:40pm","Thursday","20","0","0","","WPH201"
"EDHP-593b","Master's Seminar","P","2.0 units","Lecture","26747D","001","4:15-6:55pm","Thursday","23","14","0","Sheila Banuelos","WPH106"
"EDHP-594b","Master's Thesis","PC","2.0 units","Lecture","26748D","001","TBA","TBA","10","3","0","Kristan Venegas","OFFICE"
"EDHP-594z","Master's Thesis","PC","0.0 units","Lecture","26739D","001","TBA","TBA","3","1","0","","OFFICE"
"EDHP-657","Management of Student Services in Higher Education","","3.0 units","Lecture","26729D","001","4:00-6:40pm","Monday","25","17","0","","WPH206"
"","","","","Lecture","26730D","001","4:00-6:40pm","Thursday","25","22","0","","WPH206"
"EDHP-679","Legal Issues in the Administration of Higher Education","P","3.0 units","Lecture","26725D","001","4:00-6:40pm","Wednesday","25","25","0","Shafiqa Ahmadi","VKC111"
"","","","","Lecture","26726D","001","7:00-9:40pm","Wednesday","25","24","0","Shafiqa Ahmadi","WPH B26"
