"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDUC-392","Undergraduate Research Methods","","2.0 units","Lecture","10433D","001","12:30-1:50pm","Tuesday","30","0","0","George Sanchez","GFS221"
"EDUC-411","Foundation of TESOL","","4.0 units","Lecture","27307R","001","2:00-5:20pm","Thursday","15","0","0","Uju Anya","SOS B38"
"EDUC-412","Instructional Methods in TESOL","","4.0 units","Lecture","27306R","001","10:00-11:50am","Mon, Wed","15","0","0","Emmy Min","SOS B38"
"EDUC-421","Global Issues: Impact on Educational Outcomes","","4.0 units","Lecture","27309R","001","2:00-5:20pm","Wednesday","15","0","0","Paula Carbone","SOS B38"
"EDUC-426","Educational Inquiry","","4.0 units","Lecture","27308R","001","12:00-1:50pm","Tue, Thu","15","0","0","Jenifer Crawford","SOS B38"
"EDUC-427","Vectors that Influence Early Childhood Development","","4.0 units","Lecture","27310R","001","8:00-9:50am","Tue, Thu","15","0","0","Sandra Kaplan","SOS B38"
"EDUC-428","The Effects of Curriculum and Institution on Early Childhood","","4.0 units","Lecture","27311R","001","10:00-11:50am","Tue, Thu","15","0","0","Raymond Gallagher","SOS B38"
"EDUC-515","Theories of Marriage, and Family Therapy","P","3.0 units","Lecture","26700D","001","4:15-6:55pm","Monday","23","23","0","Mary Andres","WPH B30"
"","","","","Lecture","26701D","001","7:00-9:40pm","Monday","23","21","0","Linda Hoffman","WPH B30"
"EDUC-522","Challenges in Urban Education: Accountability","M","3.0 units","Lecture","26552D","328","3:30-5:30pm","Tuesday","15","0","0","","ONLINE"
"","","","","Lecture","26553D","328","5:30-7:30pm","Wednesday","15","0","0","","ONLINE"
"","","","","Lecture","26554D","328","7:30-9:30pm","Thursday","15","0","0","","ONLINE"
"","","","","Lecture","26555D","328","7:00-9:00am","Saturday","15","0","0","","ONLINE"
"EDUC-523","Challenges in Urban Education: Diversity","M","3.0 units","Lecture","26500D","001","7:10-9:50pm","Wednesday","25","0","0","Sylvia Rousseau","WPH403"
"","","","","Lecture","26502D","001","4:00-6:40pm","Tuesday","24","0","0","Pedro Garcia","WPH102"
"","","","","Lecture","26556D","328","3:30-5:30pm","Tuesday","16","0","0","Darline Robles","ONLINE"
"","","","","Lecture","26557D","328","5:30-7:30pm","Wednesday","16","0","0","Mark Pearson","ONLINE"
"","","","","Lecture","26558D","328","7:30-9:30pm","Thursday","16","0","0","Sylvia Rousseau","ONLINE"
"","","","","Lecture","26559D","328","7:00-9:00am","Saturday","16","0","0","Darline Robles","ONLINE"
"","","","","Lecture","26584D","306","TBA","TBA","17","0","0","Darnell Cole","OFFICE"
"","","","","Lecture","26589D","323","6:00-9:00pm","Friday","25","0","0","Shafiqa Ahmadi",""
"","","","","Lecture","26597D","355","6:00-9:00pm","Friday","25","0","0","Pedro Garcia","WPH403, WPH403"
"EDUC-524","Challenges in Urban Education: Leadership","M","3.0 units","Lecture","26560D","328","7:00-9:00pm","Tuesday","16","0","0","Darline Robles","ONLINE"
"","","","","Lecture","26561D","328","4:30-6:30pm","Thursday","16","0","0","Ronni Ephraim","ONLINE"
"","","","","Lecture","26562D","328","5:30-7:30pm","Friday","16","0","0","","ONLINE"
"","","","","Lecture","26563D","328","9:30-11:30am","Saturday","16","0","0","Maria Ott","ONLINE"
"","","","","Lecture","26588D","322","6:00-9:00pm","Friday","25","0","0","Rudy Castruita",""
"","","","","Lecture","26592D","322","6:00-9:00pm","Friday","25","0","0","Rudy Castruita","TBA, TBA"
"EDUC-525","Challenges in Urban Education: Learning","M","3.0 units","Lecture","26503D","839","TBA","TBA","25","0","0","Kenneth Yates","TBA"
"","","","","Lecture","26504D","001","7:10-9:50pm","Tuesday","26","0","0","","WPH403"
"","","","","Lecture","26505D","001","4:00-6:40pm","Thursday","24","0","0","","WPH205"
"","","","","Lecture","26590D","001","7:10-9:50pm","Thursday","23","0","0","","WPH403"
"","","","","Lecture","26595D","365","6:00-9:00pm","Friday","12","0","0","Brandon Martinez","OFFICE, OFFICE"
"EDUC-532","Inquiry Methods I","M","3.0 units","Lecture","26508D","001","7:10-9:50pm","Tuesday","22","0","0","Ruth Chung","WPH101"
"","","","","Lecture","26509D","001","7:10-9:50pm","Thursday","24","0","0","Briana Hinga","WPH107"
"","","","","Lecture","26510D","001","4:00-6:40pm","Wednesday","25","0","0","Artineh Samkian","WPH403"
"","","","","Lecture","26512D","001","4:00-6:40pm","Tuesday","26","0","0","Briana Hinga","WPH403"
"","","","","Lecture","26564D","328","5:30-7:30pm","Wednesday","15","0","0","","ONLINE"
"","","","","Lecture","26565D","328","7:00-9:00am","Saturday","15","2","0","","ONLINE"
"","","","","Lecture","26566D","328","7:30-9:30pm","Thursday","15","0","0","","ONLINE"
"","","","","Lecture","26567D","328","3:30-5:30pm","Tuesday","15","0","0","Artineh Samkian","ONLINE"
"","","","","Lecture","26585D","307","TBA","TBA","17","0","0","Artineh Samkian","OFFICE"
"","","","","Lecture","26591D","001","4:00-6:40pm","Thursday","23","0","0","","WPH403"
