"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENE-426","Particulate Air Pollutants: Properties/Behavior/Measurement","P","3.0 units","Lecture","31406R","001","3:30-6:10pm","Thursday","25","0","0","Constantinos Sioutas","WPH B30"
"ENE-428","Air Pollution Fundamentals","P","3.0 units","Lecture","31405R","001","12:30-1:50pm","Tue, Thu","25","1","0","","KAP158"
"ENE-463L","Water Chemistry and Analysis","P","3.0 units","Lecture","29668R","001","6:30-8:40pm","Thursday","24","0","0","Massoud Pirbazari","KAP134"
"","","","","Discussion","29792R","001","5:00-6:20pm","Tuesday","24","0","0","","KAP134"
"","","","","Lab","29669R","001","1:00-3:00pm","Thursday","8","0","0","","PCE308"
"","","","","Lab","29670R","001","1:00-3:00pm","Tuesday","8","0","0","","PCE308"
"","","","","Lab","29791R","001","1:00-3:00pm","Wednesday","8","0","0","","PCE308"
"ENE-465","Water Supply and Sewerage System Design","P","3.0 units","Lecture","29618R","001","6:30-9:10pm","Tuesday","37","1","0","Chun-Ching Wang","KAP140"
"ENE-502","Environmental and Regulatory Compliance","C","3.0 units","Lecture","31412R","048","9:00-11:50am","Friday","28","4","0","Geraldine Knatz",""
"","","","","Lecture","31413D","034","9:00-11:50am","Friday","10","3","0","","DEN@Viterbi"
"ENE-503","Microbiology for Environmental Engineers","","3.0 units","Lecture","29789R","048","6:30-9:10pm","Wednesday","30","1","0","Adam Smith","KAP148"
"ENE-510","Water Quality Management and Practice","","3.0 units","Lecture","31418R","048","6:30-9:10pm","Tuesday","15","5","0","Massoud Pirbazari","KAP137"
"ENE-535","Air Pollution Management: Exposure, Health Effects and Risk","","3.0 units","Lecture","31415R","048","3:30-6:10pm","Wednesday","25","7","0","Constantinos Sioutas","VKC252"
"ENE-590","Directed Research","","1.0-12.0 units","Lecture","31445D","048","TBA","TBA","35","0","0","Erik Johnson","OFFICE"
"ENE-790","Research","","1.0-12.0 units","Lecture","31448D","048","TBA","TBA","40","0","0","Erik Johnson","OFFICE"
"ENE-794a","Doctoral Dissertation","C","2.0 units","Lecture","31449D","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"ENE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","31450R","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"ENE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","31451R","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"ENE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","31452R","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
"ENE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","31453D","048","TBA","TBA","30","0","0","Erik Johnson","OFFICE"
