"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGL-105x","Creative Writing for Non-Majors","","4.0 units, max 8","Lecture","32821R","001","2:00-4:20pm","Wednesday","12","0","0","","THH107"
"","","","","Lecture","32822R","001","2:00-4:20pm","Wednesday","12","0","0","","THH109"
"","","","","Lecture","32823R","001","2:00-4:20pm","Thursday","12","0","0","Marianne Wiggins","VKC104"
"","","","","Lecture","32855R","001","2:00-4:20pm","Friday","12","0","0","","THH107"
"ENGL-230g","Shakespeare and His Times","","4.0 units","Lecture","32607R","001","11:00-12:20pm","Tue, Thu","5","1","0","Rebecca Lemon","THH301"
"","","","","Discussion","32890R","001","12:30-1:20pm","Tuesday","25","0","0","","VKC258"
"","","","","Discussion","32892R","001","5:00-5:50pm","Tuesday","25","0","0","Kerry Ingram","THH214"
"","","","","Discussion","32893R","001","3:30-4:20pm","Thursday","25","0","0","Kerry Ingram","VKC158"
"","","","","Discussion","32894R","001","5:00-5:50pm","Thursday","25","1","0","Alexander Young","THH214"
"","","","","Discussion","32895R","001","10:00-10:50am","Friday","25","0","0","","THH B9"
"","","","","Discussion","32896R","001","12:00-12:50pm","Friday","25","0","0","","THH B9"
"ENGL-250gmw","The African Diaspora","","4.0 units","Lecture","10372R","001","12:30-1:50pm","Tue, Thu","7","1","0","","SGM101"
"","","","","Discussion","10373R","001","10:00-10:50am","Friday","24","0","0","","VKC258"
"","","","","Discussion","10375R","001","11:00-11:50am","Friday","25","0","0","","VKC258"
"","","","","Discussion","10376R","001","12:00-12:50pm","Wednesday","25","1","0","","THH B10"
"","","","","Discussion","10377D","001","12:00-12:50pm","Monday","25","0","0","","THH B10"
"","","","","Discussion","10378D","001","1:00-1:50pm","Monday","25","0","0","","THH B10"
"","","","","Discussion","10380R","001","1:00-1:50pm","Wednesday","25","0","0","","THH B10"
"ENGL-261","English Literature to 1800","","4.0 units","Lecture","32603R","001","9:00-9:50am","MWF","19","0","0","Joseph Dane","THH203"
"","","","","Lecture","32604R","001","9:30-10:50am","Tue, Thu","19","0","0","Emily Anderson","THH211"
"","","","","Lecture","32609R","001","12:30-1:50pm","Tue, Thu","19","0","0","Thea Tomaini","THH203"
"ENGL-262","English Literature since 1800","","4.0 units","Lecture","32617R","001","9:00-9:50am","MWF","19","0","0","","THH209"
"","","","","Lecture","32621R","001","12:00-12:50pm","MWF","19","0","0","Richard Berg","THH213"
"","","","","Lecture","32622R","001","11:00-12:20pm","Tue, Thu","19","0","0","Christopher Freeman","VKC158"
"ENGL-263","American Literature","","4.0 units","Lecture","32631R","001","9:00-9:50am","MWF","19","0","0","Thomas Gustafson","THH207"
"","","","","Lecture","32632R","001","9:30-10:50am","Tue, Thu","19","0","0","Karen Tongson","THH207"
"","","","","Lecture","32634R","001","11:00-11:50am","MWF","19","0","0","Elda Roman","THH207"
"ENGL-299g","Introduction to the Genre of Poetry","","4.0 units","Lecture","32644R","001","12:30-1:50pm","Tue, Thu","5","0","0","Susan McCabe","THH201"
"","","","","Discussion","32881R","001","9:00-9:50am","Wednesday","25","0","0","","VKC256"
"","","","","Discussion","32883R","001","11:00-11:50am","Wednesday","25","0","0","","VKC157"
"","","","","Discussion","32885R","001","9:00-9:50am","Thursday","25","0","0","","SOS B48"
"","","","","Discussion","32886R","001","11:00-11:50am","Thursday","25","0","0","","SOS B48"
"","","","","Discussion","32887R","001","9:00-9:50am","Friday","25","0","0","","VKC256"
"","","","","Discussion","32889R","001","11:00-11:50am","Friday","25","0","0","","VKC157"
"ENGL-302","Writing Narrative","","4.0 units","Lecture","32852D","001","2:00-4:20pm","Wednesday","12","0","0","Susan Segal","THH203"
"","","","","Lecture","32868D","001","2:00-4:20pm","Friday","12","0","0","M Lord","THH109"
"ENGL-303","Introduction to Fiction Writing","","4.0 units","Lecture","32647D","001","5:00-7:20pm","Wednesday","12","1","0","Susan Segal","THH203"
"","","","","Lecture","32652D","001","4:30-6:50pm","Monday","12","0","0","Susan Segal","THH111"
"","","","","Lecture","32653D","001","2:00-4:20pm","Friday","12","0","0","Kerry Ingram","THH105"
"ENGL-304","Introduction to Poetry Writing","","4.0 units","Lecture","32655D","001","2:00-4:20pm","Monday","12","0","0","Molly Bendall","THH203"
"","","","","Lecture","32657D","001","2:00-4:20pm","Tuesday","12","0","0","Anna Journey","THH203"
"","","","","Lecture","32663D","001","2:00-4:20pm","Friday","12","0","0","Molly Bendall","THH203"
"ENGL-305","Introduction to Nonfiction Writing","","4.0 units","Lecture","32830D","001","2:00-4:20pm","Monday","12","0","0","Geoffrey Dyer","THH111"
"ENGL-350g","Literature of California","","4.0 units","Lecture","32685D","001","10:00-10:50am","MWF","19","0","0","Richard Berg","THH203"
"ENGL-376g","Comics and Graphic Novels","","4.0 units","Lecture","32666D","001","12:30-1:50pm","Tue, Thu","19","0","0","Dana Johnson","THH209"
"ENGL-392","Visual and Popular Culture","","4.0 units","Lecture","32667R","001","12:30-1:50pm","Tue, Thu","19","0","0","Alice Gambrell","THH205"
"ENGL-405","Fiction Writing","P","4.0 units, max 8","Lecture","32675R","001","4:30-6:50pm","Monday","12","0","0","Marianne Wiggins","THH105"
"","","","","Lecture","32677R","001","4:30-6:50pm","Tuesday","12","0","0","Percival Everett","THH203"
"ENGL-406","Poetry Writing","P","4.0 units, max 8","Lecture","32691R","001","4:30-6:50pm","Thursday","12","0","0","Carol Muske-Dukes","THH105"
"","","","","Lecture","32695R","001","2:00-4:20pm","Monday","12","0","0","Anna Journey","THH105"
"ENGL-407","Advanced Fiction Writing","P","4.0 units, max 8","Lecture","32844D","001","4:30-6:50pm","Thursday","12","0","0","Dana Johnson","THH203"
"ENGL-408","Advanced Poetry Writing","P","4.0 units, max 8","Lecture","32847D","001","4:30-6:50pm","Tuesday","12","0","0","Carol Muske-Dukes","THH105"
"ENGL-422","English Literature of the 17th Century","P","4.0 units","Lecture","32711R","001","2:00-3:20pm","Tue, Thu","19","0","0","Rebecca Lemon","THH211"
"ENGL-424","English Literature of the Romantic Age (1800-1832)","P","4.0 units","Lecture","32713R","001","10:00-10:50am","MWF","19","0","0","","THH113"
"ENGL-426","Modern English Literature (1890-1945)","P","4.0 units","Lecture","32715R","001","11:00-11:50am","MWF","19","0","0","Anthony Kemp","THH203"
"ENGL-430","Shakespeare","","4.0 units","Lecture","32716R","001","9:30-10:50am","Tue, Thu","19","1","0","Bruce Smith","THH203"
"ENGL-442","American Literature, 1920 to the Present","","4.0 units","Lecture","32720R","001","1:00-1:50pm","MWF","19","0","0","Anthony Kemp","THH121"
"ENGL-449m","Asian American Literature","","4.0 units","Lecture","10438R","001","11:00-12:20pm","Tue, Thu","30","0","0","","VKC261"
"ENGL-451","Periods and Genres in American Literature","","4.0 units, max 8","Lecture","32731R","001","5:00-6:20pm","Mon, Wed","19","0","0","David Roman","THH207"
"ENGL-461","English Drama to 1800","","4.0 units","Lecture","32736R","001","12:00-12:50pm","MWF","19","0","0","Lawrence Green","THH203"
"ENGL-466","The 19th Century English Novel","","4.0 units","Lecture","32740R","001","1:00-1:50pm","MWF","19","0","0","Joseph Boone","THH203"
"ENGL-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","32757D","001","TBA","TBA","25","0","0","","OFFICE"
"ENGL-491","Senior Seminar in Literary Studies","","4.0 units","Lecture","32759D","001","2:00-4:20pm","Tuesday","12","0","0","Geoffrey Dyer","THH105"
"","","","","Lecture","32761D","001","2:00-4:20pm","Thursday","12","0","0","John Rowe","THH203"
"","","","","Lecture","32858D","001","2:00-4:20pm","Monday","12","0","0","David St John","VKC111"
"ENGL-496","Senior Honors Thesis","P","4.0 units","Lecture","32764D","001","2:00-4:20pm","Wednesday","12","0","0","Lawrence Green","THH105"
"ENGL-499","Special Topics","","2.0-4.0 units, max 8"
"","Narrative Studies Capstone","","4.0","Lecture","32770D","001","9:30-10:50am","Tue, Thu","19","0","0","Christopher Freeman","VKC252"
"","Imitatio- The Lost Poetic Genre of Imitation","","2.0","Lecture","32791R","001","11:00-12:20pm","Thursday","19","0","0","Thea Tomaini","THH203"
"","Wasteland, Apocalypse, and Dystopia in Contemporary Poetry","","2.0","Lecture","32898R","001","11:00-12:20pm","Tuesday","19","0","0","Molly Bendall","THH203"
"ENGL-510","Medieval English Literatures and Cultures","","4.0 units, max 12","Lecture","32778D","001","2:00-4:20pm","Thursday","12","0","0","David Rollo","THH105"
"ENGL-590","Directed Research","","1.0-12.0 units","Lecture","32787D","001","TBA","TBA","25","0","0","","OFFICE"
"ENGL-592","Contemporary British and American Literatures and Cultures","","4.0 units, max 12","Lecture","32789D","001","4:30-6:50pm","Tuesday","12","0","0","Leo Braudy","WPH201"
"ENGL-599","Special Topics","","2.0-4.0 units, max 8"
"","History of the Book and Material Bibliography","","4.0","Lecture","32793D","001","2:00-4:50pm","Monday","12","0","0","Joseph Dane","SOS B51"
"ENGL-620","Literature and Interdisciplinary Studies","","4.0 units, max 12","Lecture","32769D","001","2:00-4:20pm","Tuesday","12","0","0","David St John","MUS102B"
"ENGL-630","Studies in Gender","","4.0 units, max 12","Lecture","32797D","001","4:30-6:50pm","Monday","12","0","0","Tania Modleski","THH203"
"ENGL-695","Graduate Fiction Form and Theory","","4.0 units, max 12","Lecture","32802D","001","4:30-6:50pm","Monday","12","0","0","Percival Everett","WPH400"
"ENGL-696","Graduate Poetry Writing Workshop","","4.0 units, max 12","Lecture","32835D","001","4:30-6:50pm","Tuesday","12","0","0","Susan McCabe","THH217"
"ENGL-698","Graduate Poetry Form and Theory","","4.0 units, max 12","Lecture","32837D","001","5:00-7:20pm","Wednesday","12","0","0","Mark Irwin","THH105"
"ENGL-700x","Theories and Practices of Professional Development I","","2.0 units","Lecture","32806D","001","8:00-8:50am","MWF","12","0","0","Joseph Boone","THH105"
"ENGL-790","Research","","1.0-12.0 units","Lecture","32808D","001","TBA","TBA","30","0","0","","OFFICE"
"ENGL-794a","Doctoral Dissertation","C","2.0 units","Lecture","32810D","001","TBA","TBA","30","0","0","","OFFICE"
"ENGL-794b","Doctoral Dissertation","PC","2.0 units","Lecture","32811D","001","TBA","TBA","30","0","0","","OFFICE"
"ENGL-794c","Doctoral Dissertation","PC","2.0 units","Lecture","32812D","001","TBA","TBA","30","0","0","","OFFICE"
"ENGL-794d","Doctoral Dissertation","PC","2.0 units","Lecture","32813D","001","TBA","TBA","30","0","0","","OFFICE"
"ENGL-794z","Doctoral Dissertation","PC","0.0 units","Lecture","32814D","001","TBA","TBA","35","0","0","","OFFICE"
