"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGR-100a","Engineering Honors Colloquium","","1.0 unit","Lecture","28501D","001","1:00-1:50pm","Friday","45","0","0","","SGM101"
"ENGR-100b","Engineering Honors Colloquium","P","1.0 unit","Lecture","28502D","001","1:00-1:50pm","Friday","55","0","0","","SGM101"
"ENGR-100c","Engineering Honors Colloquium","P","1.0 unit","Lecture","28503D","001","1:00-1:50pm","Friday","30","0","0","","SGM101"
"ENGR-100d","Engineering Honors Colloquium","P","1.0 unit","Lecture","28504D","001","1:00-1:50pm","Friday","32","0","0","","SGM101"
"ENGR-301","Technology Entrepreneurship","","3.0 units","Lecture","14640R","001","6:00-8:50pm","Monday","42","3","0","Greg Autry","BRI5"
"","","","","Lecture","14642R","001","6:00-8:50pm","Wednesday","40","1","0","Greg Autry","VPD106"
"","","","","Lecture","14643R","001","6:00-8:50pm","Tuesday","40","0","0","Justin Miller","HOH301"
"ENGR-395ax","Cooperative Education Work Experience","","1.0-2.0 units, max 5","Lecture","28521D","001","5:00-6:50pm","MTuWTh","30","0","0","","OFFICE"
"ENGR-395bx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28522D","001","5:00-8:00pm","MTuWTh","30","0","0","","SGM101"
"ENGR-395cx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28523D","001","5:00-8:00pm","MTuWTh","30","0","0","","SGM101"
"ENGR-395dx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28524D","001","5:00-8:00pm","MTuWTh","40","0","0","","SGM101"
"ENGR-401x","Communicating Science and Engineering to Children","MC","3.0 units, max 6","Lecture","28576D","001","6:00-9:00pm","Tuesday","20","0","0","","KAP158"
"ENGR-490x","Directed Research","","2.0-8.0 units, max 8","Lecture","28546D","001","TBA","TBA","15","0","0","","OFFICE"
"ENGR-493x","Dean's Seminar in Entrepreneurship","MC","2.0 units","Lecture","28528D","001","11:00-12:50pm","Tuesday","10","0","0","","DRB102"
"ENGR-502x","Writing Skills for Engineering Ph.D. Students","","2.0 units, max 4","Lecture","28555D","900","3:30-5:20pm","Tue, Thu","15","0","0","",""
"","","","","Lecture","28556D","901","3:30-5:20pm","Tue, Thu","15","0","0","",""
"ENGR-555","Invention and Technology Development","","3.0 units","Lecture","31555D","048","6:30-9:10pm","Thursday","35","5","0","Berok Khoshnevis","KAP147"
"ENGR-596","Internship in Engineering","MC","1.0 units, max 3","Lecture","28560D","048","TBA","TBA","325","1","0","","OFFICE"
"","","","","Lecture","28569D","048","TBA","TBA","30","0","0","","OFFICE"
