"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENST-100g","Introduction to Environmental Studies","","4.0 units","Lecture","33000R","001","9:30-10:50am","Tue, Thu","30","0","0","Lisa Collins","WPH205"
"","","","","Lecture","33001R","001","8:00-9:00am","MWF","30","0","0","Monalisa Chatterjee","WPH203"
"ENST-150xg","Environmental Issues in Society","","4.0 units","Lecture","33005R","001","10:00-10:50am","MWF","100","0","0","Ekaterina Svyatets, David Ginsburg</a>","SGM101"
"","","","","Discussion","33006R","001","3:00-3:50pm","Monday","25","0","0","Monalisa Chatterjee","VKC109"
"","","","","Discussion","33007R","001","12:00-12:50pm","Tuesday","25","0","0","Monalisa Chatterjee","WPH106"
"","","","","Discussion","33008R","001","3:00-3:50pm","Wednesday","25","0","0","Monalisa Chatterjee","THH110"
"","","","","Discussion","33009R","001","12:00-12:50pm","Thursday","25","0","0","Monalisa Chatterjee","WPH106"
"ENST-270","Introduction to Environmental Law and Politics","P","4.0 units","Lecture","51950R","001","7:00-9:50pm","Wednesday","40","0","0","Darry Sragow","THH212"
"ENST-298aL","Introduction to Scientific Diving","","2.0 units","Lecture","33013D","001","2:00-2:50pm","Friday","13","0","0","David Ginsburg","WPH101"
"","","","","Lecture","33015D","001","2:00-2:50pm","Friday","13","0","0","","WPH104"
"","","","","Lab","33014D","001","3:00-4:50pm","Friday","13","0","0","David Ginsburg","WPH101"
"","","","","Lab","33016D","001","3:00-4:50pm","Friday","13","0","0","","WPH101"
"ENST-320b","Water and Soil Sustainability: Energy and Air Sustainability","P","4.0 units","Lecture","33021R","001","11:00-12:20pm","Tue, Thu","40","0","0","Lisa Collins","WPH207"
"ENST-323","Politics of Global Environment","","4.0 units","Lecture","37813R","001","2:00-2:50pm","MWF","28","1","0","Shannon Gibson","THH208"
"","","","","Lecture","37814R","001","2:00-2:50pm","MWF","20","0","0","Shannon Gibson","THH208"
"ENST-347","Environmental Law","","4.0 units","Lecture","51985R","001","5:00-7:50pm","Tuesday","35","0","0","Jefferey Sellers","VKC150"
"ENST-352","Conservation Biology","","4.0 units","Lecture","13352R","001","9:00-2:50pm","MTuWThF","20","0","0","Suzanne Edmands, Karla Heidelberg</a>","CATALINA"
"ENST-360","Environmental Disasters","","4.0 units","Lecture","35693R","001","9:00-9:50am","MWF","35","0","0","Rod Mc Kenzie","SOS B37"
"ENST-370","Marine and Coastal Environmental Policy","","4.0 units","Lecture","33024D","001","12:30-1:50pm","Tue, Thu","30","0","0","","ZHS360"
"ENST-387","Economics for Natural Resources and the Environment","","4.0 units","Lecture","33026R","001","9:00-9:50am","MWF","40","0","0","Ekaterina Svyatets","WPH207"
"ENST-396","Directed Governmental and Political Leadership Internship","","2.0-8.0 units, max 8","Lecture","52040D","001","TBA","TBA","75","0","0","Arthur Auerbach","VKC263"
"","","","","Lecture","52045D","001","TBA","TBA","30","0","0","Arthur Auerbach","VKC263"
"","","","","Lecture","52048D","429","TBA","TBA","15","0","0","Arthur Auerbach","OFFICE"
"ENST-422","Ecological Security and Global Politics","","4.0 units","Lecture","37927D","001","5:00-7:50pm","Tuesday","19","0","0","Jonathan Markowitz","VKC206"
"ENST-427","The Global Environment","PM","4.0 units","Lecture","13427R","001","2:00-3:20pm","Mon, Wed","31","0","0","Sergio Sanudo-Wilhelmy","ZHS360"
"ENST-442","Global Climate Change: Policy and Society","P","4.0 units","Lecture","33034R","001","2:00-3:20pm","Mon, Wed","30","0","0","Yael Wolinsky-Nahmias","WPH203"
"ENST-466","Business and Environmental Sustainability","","4.0 units","Lecture","16678R","001","2:00-3:50pm","Mon, Wed","32","2","0","Paul Adler","VKC205"
"ENST-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","33045D","001","TBA","TBA","10","0","0","Karla Heidelberg","TBA"
"ENST-495","Senior Seminar in Environmental Studies","","4.0 units","Lecture","33050D","001","8:00-6:00pm","Friday","20","0","0","Lisa Collins, Jill Sohm",""
"ENST-499","Special Topics","","2.0-4.0 units, max 8"
"","Directed Environmental Policy and Science Internship","","2.0","Lecture","33054D","001","3:30-6:20pm","Monday","12","0","0","Yael Wolinsky-Nahmias","WPH104"
"","Science, Health and the Environment","","4.0","Lecture","33055D","001","1:00-1:50pm","MWF","20","0","0","Jill Sohm, Monalisa Chatterjee","WPH202"
"","Directed Environmental Policy and Science Internship","","4.0","Lecture","33057D","001","3:30-6:20pm","Monday","12","0","0","Yael Wolinsky-Nahmias","WPH104"
"ENST-520","Environmental Law and Policy","","4.0 units","Lecture","33071D","001","1:00-1:50pm","MWF","10","0","0","Ekaterina Svyatets","WPH200"
"ENST-530","Environmental Risk Analysis","","4.0 units","Lecture","33073D","001","12:00-12:50pm","MWF","10","1","0","Monalisa Chatterjee, David Ginsburg</a>","WPH200"
"ENST-590","Directed Research","","1.0-12.0 units","Lecture","33079D","001","TBA","TBA","10","0","0","David Ginsburg","OFFICE"
