"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FA-140x","A Cultural Guide to Los Angeles","","2.0 units","Lecture-Discussion","33287R","001","1:00-3:50pm","Friday","32","0","0","","VKC201"
"FA-208ax","Three-Dimensional Art Workshop","","2.0 units"
"","Ceramics Workshop","","2.0","Lecture-Lab","33254R","001","12:00-1:50pm","Tuesday","20","0","0","","WAH107"
"FA-208bx","Three-Dimensional Art Workshop","P","2.0 units"
"","Ceramics Workshop","","2.0","Lecture-Lab","33250R","001","12:00-1:50pm","Tuesday","4","0","0","","WAH107"
"FA-418","Independent Studies in Studio Arts","","1.0-4.0 units","Lecture-Lab","33291D","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lecture-Lab","33292D","001","TBA","TBA","15","0","0","China Adams","OFFICE"
"","","","","Lecture-Lab","33293D","001","TBA","TBA","15","0","0","Robert Alderette","OFFICE"
"","","","","Lecture-Lab","33294D","001","TBA","TBA","15","0","0","Jeffrey Cain","OFFICE"
"","","","","Lecture-Lab","33295D","001","TBA","TBA","16","0","0","Stephen Child","OFFICE"
"","","","","Lecture-Lab","33296D","001","TBA","TBA","15","0","0","Caroline Clerc","OFFICE"
"","","","","Lecture-Lab","33297D","001","TBA","TBA","15","0","0","Shannon Ebner","OFFICE"
"","","","","Lecture-Lab","33298D","001","TBA","TBA","15","0","0","Jud Fine","OFFICE"
"","","","","Lecture-Lab","33300D","001","TBA","TBA","15","0","0","Alice Fung","OFFICE"
"","","","","Lecture-Lab","33301D","001","TBA","TBA","15","0","0","Sherin Guirguis","OFFICE"
"","","","","Lecture-Lab","33302D","001","TBA","TBA","16","0","0","Amelia Jones","OFFICE"
"","","","","Lecture-Lab","33303D","001","TBA","TBA","15","0","0","Karen Koblitz","OFFICE"
"","","","","Lecture-Lab","33304D","001","TBA","TBA","15","0","0","Margaret Lazzari","OFFICE"
"","","","","Lecture-Lab","33305D","001","TBA","TBA","15","0","0","Haven Lin-Kirk","OFFICE"
"","","","","Lecture-Lab","33306D","001","TBA","TBA","15","0","0","Ann Page","OFFICE"
"","","","","Lecture-Lab","33315D","001","TBA","TBA","15","0","0","Julia Paull","OFFICE"
"","","","","Lecture-Lab","33316D","001","TBA","TBA","15","0","0","Erin Silver","OFFICE"
"","","","","Lecture-Lab","33317D","001","TBA","TBA","15","0","0","Rochelle Steiner","OFFICE"
"","","","","Lecture-Lab","33362D","001","TBA","TBA","15","0","0","Osvaldo Trujillo","OFFICE"
"","","","","Lecture-Lab","33363D","001","TBA","TBA","15","0","0","Noura Wedell","OFFICE"
"","","","","Lecture-Lab","33364D","001","TBA","TBA","15","0","0","Ruth Weisberg","OFFICE"
"","","","","Lecture-Lab","33365D","001","TBA","TBA","15","0","0","Jennifer Greisz West","OFFICE"
"","","","","Lecture-Lab","33392D","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lecture-Lab","33288D","001","TBA","TBA","15","0","0","Charles White","OFFICE"
"FA-419","Professional Internship in the Arts","MC","2.0 units","Lecture","33290D","001","TBA","TBA","32","0","0","Penelope Jones","OFFICE"
"FA-499","Special Topics","","2.0-4.0 units"
"","Performance for the Camera","","2.0","Lecture-Lab","33330R","001","12:00-1:50pm","Tuesday","15","0","0","","WAH102B"
"FA-515","Visiting Artist Forum","","1.0 units, max 6","Lecture","33309D","001","12:00-1:50pm","Wednesday","25","0","0","","IFT141"
"FA-550","Seminar: Contemporary Issues","","1.0 unit","Lecture-Lab","33308D","001","6:00-9:50pm","Tuesday","18","0","0","","OFFICE"
