"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FADN-102","Design Fundamentals","","4.0 units","Lecture-Lab","33260D","001","9:00-11:50am","Tue, Thu","20","0","0","","HAR117"
"","","","","Lecture-Lab","33261D","001","2:00-4:50pm","Mon, Wed","20","0","0","China Adams","HAR117"
"","","","","Lecture-Lab","33262D","001","2:00-4:50pm","Tue, Thu","20","0","0","","HAR117"
"","","","","Lecture-Lab","33265D","001","9:00-11:50am","Mon, Wed","20","0","0","Alice Fung","HAR117"
"","","","","Lecture-Lab","33410D","001","6:00-8:50pm","Mon, Wed","20","0","0","China Adams","WAH105"
"FADN-202","Design II","P","4.0 units","Lecture-Lab","33263D","001","9:00-11:50am","Tue, Thu","20","0","0","Osvaldo Trujillo","WAH105"
"","","","","Lecture-Lab","33264D","001","2:00-4:50pm","Tue, Thu","20","0","0","Ewa Wojciak","WAH105"
"","","","","Lecture-Lab","33270D","001","9:00-11:50am","Mon, Wed","20","0","0","Ewa Wojciak","WAH105"
"","","","","Lecture-Lab","33411D","001","6:00-8:50pm","Tue, Thu","20","0","0","Osvaldo Trujillo","WAH105"
"FADN-203","Digital Tools for Design","","2.0 units","Lecture-Lab","33266D","001","6:00-7:20pm","Tue, Thu","15","0","0","","HAR220"
"","","","","Lecture-Lab","33267D","001","2:00-4:50pm","Friday","15","0","0","","HAR220"
"","","","","Lecture-Lab","33324D","001","6:00-7:20pm","Mon, Wed","15","0","0","","HAR220"
"","","","","Lecture-Lab","33334D","001","9:00-11:50am","Friday","15","0","0","Stephen Child","HAR220"
"","","","","Lecture-Lab","33340D","001","6:00-8:50pm","Thursday","15","0","0","","HAR211"
"","","","","Lecture-Lab","33413D","001","12:00-1:20pm","Mon, Wed","15","0","0","","HAR220"
"","","","","Lecture-Lab","33414D","001","12:00-1:20pm","Tue, Thu","18","0","0","Stephen Child","HAR112D"
"","","","","Lecture-Lab","33424D","001","12:00-1:20pm","Tue, Thu","15","0","0","Osvaldo Trujillo","HAR220"
"FADN-230","3D Design: Materials and Tools","P","4.0 units","Lecture-Lab","33331R","001","2:00-4:50pm","Mon, Wed","20","0","0","Alice Fung","HAR112D"
"FADN-302","Design III","P","4.0 units","Lecture-Lab","33268R","001","2:00-4:50pm","Mon, Wed","20","0","0","","WAH105"
"","","","","Lecture-Lab","33269R","001","6:00-8:50pm","Tue, Thu","20","0","0","Stephen Child","HAR112D"
"","","","","Lecture-Lab","33415R","001","9:00-11:50am","Tue, Thu","20","0","0","Stephen Child","WAH105"
"FADN-303","Web Design","P","2.0 units","Lecture-Lab","33329D","001","6:00-7:20pm","Mon, Wed","15","0","0","","WAH6"
"","","","","Lecture-Lab","33332D","001","12:00-1:20pm","Tue, Thu","18","0","0","Jeffrey Cain","WAH105"
"","","","","Lecture-Lab","33341D","001","12:00-1:50pm","Tue, Thu","15","0","0","","WAH6"
"","","","","Lecture-Lab","33351D","001","12:00-1:20pm","Mon, Wed","18","0","0","","WAH105"
"","","","","Lecture-Lab","33327D","001","12:00-1:20pm","Mon, Wed","15","0","0","Jeffrey Cain","WAH6"
"FADN-323g","Design Theory","","4.0 units","Lecture","33259D","001","12:00-1:50pm","Mon, Wed","25","0","0","Sherin Guirguis","HAR117"
"","","","","Lecture","33325D","001","2:00-3:50pm","Mon, Wed","40","0","0","Haven Lin-Kirk","HAR101"
"FADN-330","3D Design: Objects and Space","P","4.0 units","Lecture","33289R","001","9:00-11:50am","Mon, Wed","20","0","0","Jeffrey Cain","HAR112D"
"FADN-332a","Typography","","2.0 units","Lecture-Lab","33214D","001","9:00-11:50am","Friday","20","0","0","","WAH105"
"","","","","Lecture-Lab","33216D","001","2:00-4:50pm","Friday","22","0","0","","WAH105"
"","","","","Lecture-Lab","33345D","001","6:00-8:50pm","Tuesday","20","0","0","","HAR211"
"FADN-332b","Typography","P","2.0 units","Lecture-Lab","33215R","001","2:00-4:50pm","Friday","20","0","0","","HAR117"
"FADN-333","New York Design Study Tour","","2.0 units","Lecture-Lab","33322D","001","12:00-1:20pm","Friday","20","0","0","Jeffrey Cain, Haven Lin-Kirk","WAH105"
"FADN-402","Advanced Design Projects","P","4.0 units, max 12","Lecture-Lab","33409D","001","9:00-11:50am","Tue, Thu","22","0","0","Ewa Wojciak","HAR112D"
"","","","","Lecture-Lab","33417D","001","6:00-8:50pm","Mon, Wed","20","1","0","","HAR112D"
"FADN-432","Special Projects in Design","PC","2.0 units, max 6","Lecture-Lab","33326D","001","9:00-11:50am","Friday","20","0","0","Alice Fung","HAR112D"
