"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FADW-101","Introduction to Drawing: Studio Projects, Methods, Materials","","4.0 units","Lecture-Lab","33201R","001","9:00-11:50am","Tue, Thu","20","0","0","Ann Page","WAH118"
"","","","","Lecture-Lab","33202R","001","2:00-4:50pm","Mon, Wed","20","1","0","","WAH118"
"","","","","Lecture-Lab","33203R","001","2:00-4:50pm","Tue, Thu","20","0","0","Robert Alderette","WAH118"
"","","","","Lecture-Lab","33204R","001","6:00-8:50pm","Tue, Thu","20","0","0","","WAH118"
"","","","","Lecture-Lab","33210R","001","6:00-8:50pm","Mon, Wed","20","0","0","","WAH118"
"FADW-201","Intermediate Drawing","P","4.0 units","Lecture-Lab","33225R","001","9:00-11:50am","Mon, Wed","18","1","0","Margaret Lazzari","WAH102A"
"","","","","Lecture-Lab","33226R","001","2:00-4:50pm","Mon, Wed","18","0","0","Ruth Weisberg","WAH102A"
"FADW-301","Advanced Drawing","P","4.0 units","Lecture-Lab","33209R","001","6:00-8:50pm","Tue, Thu","20","0","0","","WAH102A"
"FADW-321","Anatomical Drawing from Life","P","2.0 units","Lecture-Lab","33208R","001","2:00-4:50pm","Friday","20","0","0","","WAH118"
"FADW-331","Studies in Drawing and Painting","C","4.0 units, max 12","Lecture-Lab","33211D","001","9:00-11:50am","Mon, Wed","17","0","0","Ruth Weisberg","HAR203"
"FADW-401","Topics in Advanced Drawing","P","4.0 units, max 12","Lecture-Lab","33213R","001","6:00-8:50pm","Mon, Wed","16","0","0","","WAH102A"
