"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FAIN-210","Introduction to Digital Photography","","4.0 units","Lecture-Lab","33239R","001","9:00-11:50am","Mon, Wed","15","0","0","Caroline Clerc","HAR220"
"","","","","Lecture-Lab","33240R","001","9:00-11:50am","Tue, Thu","15","0","0","","HAR220"
"","","","","Lecture-Lab","33241R","001","2:00-4:50pm","Tue, Thu","15","0","0","","HAR220"
"","","","","Lecture-Lab","33242R","001","2:00-4:50pm","Mon, Wed","15","0","0","","HAR220"
"FAIN-220","Introduction to Video and Time-based Experimentation","","4.0 units","Lecture-Lab","33243R","001","2:00-4:50pm","Tue, Thu","16","0","0","Jennifer Greisz West","WAH6"
"","","","","Lecture-Lab","33244R","001","9:00-11:50am","Tue, Thu","16","0","0","Jennifer Greisz West","WAH6"
"FAIN-315","Internet Studio: Online Experimentation and Expression","","4.0 units","Lecture-Lab","33247R","001","9:00-11:50am","Mon, Wed","16","0","0","","WAH6"
"FAIN-320","Video Studio","P","4.0 units","Lecture-Lab","33246R","001","6:00-8:50pm","Tue, Thu","15","0","0","","WAH6"
"FAIN-330","Ideas in Intermedia","","4.0 units, max 8"
"","Radical Shift: The online image and its effects on photography, language, and contemporary culture","","4.0","Lecture-Discussion","33248R","001","12:00-1:50pm","Mon, Wed","20","0","0","Charles White","VHE214"
"FAIN-440","Post-Material Studio and Roundtable","","4.0 units, max 8","Lecture-Lab","33249D","001","2:00-4:50pm","Mon, Wed","16","0","0","Charles White","WAH102B"
