"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FASC-106","Sculpture I","","4.0 units","Lecture-Lab","33271R","001","2:00-4:50pm","Tue, Thu","19","0","0","Jud Fine","WAH108"
"","","","","Lecture-Lab","33272R","001","9:00-11:50am","Tue, Thu","18","0","0","","WAH108"
"","","","","Lecture-Lab","33273R","001","6:00-8:50pm","Mon, Wed","18","0","0","","WAH108"
"","","","","Lecture-Lab","33274R","001","9:00-11:50am","Mon, Wed","18","0","0","","WAH108"
"FASC-136","Modeling and Mold Making","","2.0 units","Lecture-Lab","33280R","001","9:00-11:50am","Friday","20","0","0","","WAH108"
"FASC-206","Sculpture II","P","4.0 units","Lecture-Lab","33275R","001","6:00-8:50pm","Tue, Thu","18","0","0","","WAH108"
"FASC-236","Metal","","2.0 units","Lecture-Lab","33278R","001","9:00-11:50am","Friday","24","0","0","","WAH108"
"FASC-246","Construction Techniques","","2.0 units","Lecture-Lab","33279R","001","12:00-2:50pm","Friday","20","0","0","","WAH108"
"FASC-306","Advanced Sculpture","P","4.0 units","Lecture-Lab","33281R","001","2:00-4:50pm","Mon, Wed","10","0","0","Jud Fine","WAH108"
"FASC-406","Topics in Advanced Sculpture","P","4.0 units, max 12","Lecture-Lab","33318R","001","2:00-4:50pm","Mon, Wed","11","1","0","Jud Fine","WAH108"
"FASC-436","Art and Technology","","4.0 units","Lecture-Lab","33328R","001","2:00-4:50pm","Tue, Thu","18","0","0","Ann Page","WAH108"
