"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FBE-391","Real Estate Finance and Investment","PC","4.0 units","Lecture","15310R","001","6:00-7:50pm","Tue, Thu","45","0","0","John Ayoob","HOH303"
"FBE-400x","Introduction to Real Estate Finance and Development","","4.0 units","Lecture","15315R","001","4:00-5:50pm","Mon, Wed","48","0","0","Stephen Silk","ACC201"
"FBE-403","Introduction to the Legal Environment of Business","C","4.0 units","Lecture","15320R","001","10:00-11:50am","Mon, Wed","75","1","0","Kevin Fields","HOH EDI"
"FBE-421","Financial Analysis and Valuation","PC","4.0 units","Lecture","15324R","001","10:00-11:50am","Mon, Wed","70","0","0","Julia Plotts","JKP110"
"","","","","Lecture","15325R","001","4:00-5:50pm","Tue, Thu","70","0","0","Daniel Carvalho","JKP110"
"","","","","Lecture","15326R","001","12:00-1:50pm","Mon, Wed","70","0","0","Julia Plotts","JKP110"
"FBE-427","Real Estate Law","C","4.0 units","Lecture","15330R","001","4:00-5:50pm","Mon, Wed","75","0","0","Kevin Fields","MHP106"
"FBE-429","International Business Law","","4.0 units","Lecture","15335R","001","2:00-3:50pm","Tue, Thu","77","0","0","Kerry Fields","HOH EDI"
"FBE-432","Corporate Financial Strategy","P","4.0 units","Lecture","15341R","001","4:00-5:50pm","Mon, Wed","40","1","0","Arthur Korteweg","HOH301"
"","","","","Lecture","15342R","001","10:00-11:50am","Mon, Wed","40","0","0","Arthur Korteweg","HOH1"
"FBE-435","Applied Finance in Fixed Income Securities","P","4.0 units","Lecture","15345R","001","4:00-5:50pm","Tue, Thu","70","0","0","Stephen Moyer","HOH2"
"FBE-440","Trading and Exchanges","P","4.0 units","Lecture","15358R","001","12:00-1:50pm","Mon, Wed","40","0","0","Larry Harris","HOH301"
"FBE-441","Investments","P","4.0 units","Lecture","15360R","001","2:00-3:50pm","Mon, Wed","70","2","0","David Solomon","JKP112"
"","","","","Lecture","15362R","001","4:00-5:50pm","Mon, Wed","70","0","0","David Solomon","JKP112"
"FBE-443","Introduction to Forecasting and Risk Analysis","P","4.0 units","Lecture","15363R","001","4:00-5:50pm","Tue, Thu","40","0","0","Selahattin Imrohoroglu","HOH305"
"FBE-453b","Advanced Practicum in Investment Management","PMC","4.0 units","Lecture","15365D","001","2:00-5:50pm","Monday","20","0","0","Suh-Pyng Ku, Scott Abrams","BRI203"
"FBE-458","Law, Finance and Ethics","","4.0 units","Lecture","15367R","001","2:00-3:50pm","Mon, Wed","70","0","0","Kevin Fields","JKP110"
"FBE-460","Mergers, Acquisitions and Restructuring","P","4.0 units","Lecture","15472R","001","2:00-3:50pm","Tue, Thu","70","0","0","Lloyd Levitin","HOH2"
"FBE-462","International Trade, Finance and Commercial Policy","PC","4.0 units","Lecture","15374R","001","12:00-1:50pm","Tue, Thu","37","0","0","Vincenzo Quadrini","HOH301"
"FBE-466","Management of Real Estate Development: Feasibility Studies","PC","4.0 units","Lecture","15378R","001","2:00-3:50pm","Mon, Wed","30","0","0","Bob Bridges","WPH205"
"FBE-470","Advanced Real Estate Analysis","PC","4.0 units","Lecture","15380R","001","4:00-5:50pm","Tue, Thu","40","0","0","Bob Bridges","HOH301"
"FBE-515","Deals","","3.0-4.0 units","Lecture","03566D","001","9:30-10:45am","Tue, Thu","20","0","0","Jonathan Barnett, Mark Weinstein</a>","LAW107, LAW107"
"","","","","Lecture","03567R","941","9:30-10:45am","Tue, Thu","20","0","0","Jonathan Barnett, Mark Weinstein</a>","LAW107, LAW107"
"FBE-523","Venture Capital and Private Equity","P","3.0 units","Lecture","15394D","033","6:30-9:30pm","Thursday","52","0","0","Stephen Moyer","JKP112"
"FBE-524","Money and Capital Markets","P","3.0 units","Lecture","15396D","033","12:30-1:50pm","Mon, Wed","54","0","0","Fatemeh Nazarian","JKP102"
"FBE-529","Financial Analysis and Valuation","P","3.0 units","Lecture","15401D","033","12:30-1:50pm","Tue, Thu","78","0","0","Daniel Carvalho","JKP210"
"","","","","Lecture","15402D","033","6:30-9:30pm","Tuesday","77","0","0","","JKP112"
"","","","","Lecture","15403D","033","2:00-3:20pm","Tue, Thu","77","0","0","Daniel Carvalho","JKP110"
"FBE-532","Corporate Financial Strategy","P","3.0 units","Lecture","15408D","033","6:30-9:30pm","Monday","45","0","0","Duke Bristow","HOH304"
"FBE-535","Applied Finance in Fixed Income Securities","P","1.5-3.0 units","Lecture","15417D","033","6:30-9:20pm","Monday","45","0","0","Scott Joslin","ACC303"
"FBE-553b","Applied Portfolio Management","P","3.0 units","Lecture","15424D","033","2:00-4:50pm","Wednesday","16","0","0","Suh-Pyng Ku, Scott Abrams","BRI203"
"FBE-554","Trading and Exchanges","P","3.0 units","Lecture","15425D","033","9:30-10:50am","Mon, Wed","40","0","0","Larry Harris","JKP102"
"","","","","Lecture","15426D","033","6:30-9:30pm","Tuesday","40","0","0","Larry Harris","JKP104"
"FBE-555","Investment Analysis and Portfolio Management","P","3.0 units","Lecture","15429D","033","6:30-9:30pm","Monday","70","0","0","David Solomon","OHE136"
"","","","","Lecture","15431D","036","6:30-9:30pm","Monday","10","0","0","","OHE136"
"FBE-557","Business Law and Ethics","MC","3.0 units","Lecture","15436D","033","11:00-12:20pm","Tue, Thu","77","0","0","Kerry Fields","JKP210"
"FBE-558","Legal Environment of Business and Corporate Governance","M","3.0 units","Lecture","15440D","033","9:30-10:50am","Tue, Thu","78","0","0","Kerry Fields","JKP210"
"FBE-559","Management of Financial Risk","P","3.0 units","Lecture","15443D","033","3:30-4:50pm","Mon, Wed","65","0","0","Scott Joslin","JKP210"
"FBE-560","Mergers and Acquisitions","P","3.0 units","Lecture","15447D","033","3:30-4:50pm","Tue, Thu","52","0","0","Gerard Hoberg","JKP210"
"","","","","Lecture","15448D","033","6:30-9:30pm","Thursday","54","0","0","Gerard Hoberg","JKP104"
"FBE-565","Economics of Urban Land Use: Feasibility Studies","P","3.0 units","Lecture","15463D","033","5:00-6:20pm","Mon, Wed","41","0","0","Bob Bridges","JKP204"
"FBE-571","Introduction to Financial Analysis: Practicum","P","3.0 units","Lecture","15466D","033","5:30-8:30pm","Thursday","35","0","0","James Cunningham","BRI202"
