"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FREN-120","French I","","4.0 units","Lecture","34202D","001","9:00-9:50am","MTuWTh","19","0","0","Jesus Garcia","WPH101"
"","","","","Lecture","34204D","001","11:00-11:50am","MTuWTh","19","0","0","Julia Chamberlin","WPH101"
"","","","","Lecture","34206D","001","1:00-1:50pm","MTuWTh","19","0","0","Julia Chamberlin","WPH101"
"","","","","Lecture","34208D","001","2:00-2:50pm","MTuWTh","1","0","0","",""
"","","","","Lecture","34210D","001","4:00-5:50pm","Tue, Thu","19","0","0","Julie Scasso","VKC107"
"FREN-150","French II","P","4.0 units","Lecture","34214R","001","9:00-9:50am","MTuWTh","19","0","0","Brieuc Gerard","THH110"
"","","","","Lecture","34216R","001","10:00-10:50am","MTuWTh","19","0","0","Paulette Chandler","THH110"
"","","","","Lecture","34218R","001","11:00-11:50am","MTuWTh","19","0","0","Paulette Chandler","THH110"
"","","","","Lecture","34219R","001","12:00-12:50pm","MTuWTh","19","0","0","Anis Brinsi","THH110"
"","","","","Lecture","34220R","001","1:00-1:50pm","MTuWTh","19","0","0","Julie Nack Ngue","THH110"
"","","","","Lecture","34222R","001","2:00-2:50pm","MTuWTh","19","0","0","Julie Nack Ngue","THH110"
"","","","","Lecture","34223R","001","2:00-3:50pm","Tue, Thu","19","0","0","Colin Keaveney","VKC161"
"","","","","Lecture","34224R","001","4:00-5:50pm","Tue, Thu","19","0","0","Leticia Villasenor","THH110"
"FREN-220","French III","P","4.0 units","Lecture","34230R","001","8:00-8:50am","MTuWTh","19","0","0","Paulette Chandler","THH112"
"","","","","Lecture","34231D","001","9:00-9:50am","TuWThF","19","0","0","Guilan Siassi","THH112"
"","","","","Lecture","34233R","001","10:00-10:50am","TuWThF","19","0","0","Guilan Siassi","THH112"
"","","","","Lecture","34235R","001","11:00-11:50am","TuWThF","19","0","0","Nathalie Burle","THH112"
"","","","","Lecture","34237R","001","12:00-12:50pm","TuWThF","19","0","0","Colin Keaveney","THH112"
"","","","","Lecture","34239R","001","1:00-1:50pm","TuWThF","19","0","0","Nathalie Burle","THH112"
"","","","","Lecture","34243R","001","2:00-2:50pm","TuWThF","19","0","0","Nathalie Burle","THH112"
"","","","","Lecture","34244R","001","2:00-3:50pm","Tue, Thu","19","0","0","","WPH101"
"","","","","Lecture","34245R","001","4:00-5:50pm","Tue, Thu","19","0","0","Colin Keaveney","THH112"
"FREN-235x","Intermediate Conversational French","PM","2.0 units","Lecture","34250R","001","2:00-3:50pm","Wednesday","16","0","0","Julia Chamberlin","WPH101"
"FREN-250","French IV","P","4.0 units","Lecture","34253R","001","10:00-11:50am","Tue, Thu","16","0","0","Julie Nack Ngue","VKC110"
"","","","","Lecture","34256D","001","10:00-11:50am","Mon, Wed","1","0","0","",""
"","","","","Lecture","34257R","001","12:00-1:50pm","Wed, Fri","16","0","0","Guilan Siassi","VKC259"
"FREN-300","French Grammar and Composition","P","4.0 units","Lecture","34261R","001","10:00-11:50am","Mon, Wed","16","0","0","Atiyeh Showrai","WPH104"
"","","","","Lecture","34263D","001","9:30-10:50am","Tue, Thu","16","0","0","","WPH104"
"FREN-330","Critical Writing in French","P","4.0 units","Lecture","34268R","001","8:30-9:50am","Wed, Fri","16","0","0","Beatrice Mousli Bennett","VKC104"
"FREN-351","Introduction to Research in French and Francophone Cultures","","4.0 units","Lecture","34270R","001","10:00-11:50am","Wed, Fri","16","0","0","Beatrice Mousli Bennett","VKC204"
"FREN-360","Business and Technical French","","4.0 units","Lecture","34272D","001","11:00-12:20pm","Tue, Thu","16","0","0","Atiyeh Showrai","THH207"
"FREN-392","Seminar in Literary and Cultural Studies","","4.0 units, max 8","Lecture","34275D","001","12:30-1:50pm","Tue, Thu","12","0","0","Alain Borer","WPH400"
"FREN-393","Seminar in French Thought and Theory","","4.0 units","Lecture","34280D","001","12:00-1:50pm","Mon, Wed","10","0","0","Antonia Szabari","WPH204"
"FREN-403","Studies in Colonialism and Postcolonialism","P","4.0 units, max 8","Lecture","34285D","001","2:00-3:20pm","Tue, Thu","12","0","0","Olivia Harrison","WPH603"
"FREN-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34300D","001","TBA","TBA","3","0","0","","OFFICE"
"FREN-501","Early Modernities","","4.0 units","Lecture","34325D","001","2:00-4:50pm","Tuesday","10","2","0","Natania Meeker","WPH104"
"FREN-590","Directed Research","","1.0-12.0 units","Lecture","34350D","001","TBA","TBA","3","0","0","","OFFICE"
"FREN-790","Research","","1.0-12.0 units","Lecture","34390D","001","TBA","TBA","3","0","0","","OFFICE"
"FREN-794a","Doctoral Dissertation","C","2.0 units","Lecture","34395D","001","TBA","TBA","1","0","0","","TBA"
"FREN-794b","Doctoral Dissertation","PC","2.0 units","Lecture","34396D","001","TBA","TBA","1","0","0","","TBA"
"FREN-794c","Doctoral Dissertation","PC","2.0 units","Lecture","34397D","001","TBA","TBA","3","0","0","","OFFICE"
"FREN-794d","Doctoral Dissertation","PC","2.0 units","Lecture","34398D","001","TBA","TBA","1","1","0","Natania Meeker","OFFICE"
"FREN-794z","Doctoral Dissertation","PC","0.0 units","Lecture","34399D","001","TBA","TBA","3","1","0","Natania Meeker, Panivong Norindr","OFFICE"
