"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-125gp","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","8:30-9:50am","Mon, Wed","84","0","0","Sunkyung Kim","WPH B27"
"","","","","Discussion","11839R","001","9:00-9:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11840R","001","10:00-10:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11841R","001","11:00-11:50am","Friday","21","0","0","Samantha Burton","VKC209"
"","","","","Discussion","11842R","001","12:00-12:50pm","Friday","21","0","0","Samantha Burton","VKC209"
"AHIS-128g","Arts of Latin America","","4.0 units","Lecture","11863R","001","9:30-10:50am","Tue, Thu","84","0","0","Alexis Clark","THH102"
"","","","","Discussion","11864R","001","9:00-9:50am","Monday","21","0","0","Grant Johnson","THH215"
"","","","","Discussion","11865R","001","9:00-9:50am","Wednesday","21","0","0","Grant Johnson","THH215"
"","","","","Discussion","11866R","001","9:00-9:50am","Friday","21","0","0","Emily Anderson","THH215"
"","","","","Discussion","11867R","001","10:00-10:50am","Friday","21","0","0","Emily Anderson","VKC154"
"AMST-135gmw","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320R","001","2:00-3:20pm","Mon, Wed","7","3","0","MacArena Gomez Barris","THH101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","10322R","001","11:00-11:50am","Friday","25","0","0","","WPH107"
"","","","","Discussion","10323R","001","9:00-9:50am","Wednesday","27","1","0","","THH B10"
"","","","","Discussion","10324R","001","9:00-9:50am","Monday","26","0","0","","THH B10"
"","","","","Discussion","10325R","001","1:00-1:50pm","Wednesday","25","1","0","","SOS B37"
"","","","","Discussion","10326R","001","1:00-1:50pm","Friday","25","0","0","","SOS B37"
"","","","","Discussion","10327R","001","1:00-1:50pm","Monday","25","1","0","","SOS B37"
