"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GDEN-711b","Case Portfolio Preparation for GDEN Students","PMC","0.5 units","Lecture","23438D","315","TBA","TBA","10","0","0","Glenn Clark, Roseann Mulligan, Phuu Han","ONLINE"
"","","","","Lecture","23448D","100","TBA","TBA","5","0","0","Roseann Mulligan, Phuu Han","ONLINE"
"GDEN-711d","Case Portfolio Preparation for GDEN Students","PMC","0.5 units","Lecture","23441D","315","TBA","TBA","10","1","0","Roseann Mulligan, Phuu Han","ONLINE"
"GDEN-712a","Capstone Research Project for GDEN Students","PMC","0.5 units","Lecture","23442D","315","TBA","TBA","10","1","0","Reyes Enciso, Roseann Mulligan, Phuu Han","OFFICE"
"GDEN-713","Common Systemic Conditions in Older Patients","MC","2.0 units","Lecture","23469D","394",":-:am","TBA","2","1","0","Roseann Mulligan, Phuu Han",", OFFICE"
"GDEN-714","Topics in Gerontology","MC","2.0 units","Lecture","23447D","100","TBA","TBA","5","0","0","Roseann Mulligan, Phuu Han","ONLINE"
"GDEN-715","Geriatric Dentistry Issues","MC","2.0 units","Lecture","23440D","315","TBA","TBA","10","1","0","Roseann Mulligan, Phuu Han","ONLINE"
"","","","","Lecture","23467D","394",":-:am","TBA","5","0","0","Roseann Mulligan, Phuu Han",", OFFICE"
"GDEN-722","Internal Medicine and Systemic Disease for Dental Residents","","2.0 units","Lecture","24008D","398","TBA","TBA","30","1","0","Glenn Clark, Roseann Mulligan","ONLINE"
"GDEN-725","Epidemiology, Nutrition and Aging for Dental Residents","","2.0 units","Lecture","24019D","315","TBA","TBA","10","0","0","Roseann Mulligan, Phuu Han","ONLINE"
