"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GEOG-257g","Environment and Ethics","","4.0 units","Lecture","35655R","001","1:00-1:50pm","MWF","5","0","0","","THH116"
"","","","","Discussion","35656R","001","2:00-2:50pm","Tuesday","26","0","0","","THH B10"
"","","","","Discussion","35657R","001","2:00-2:50pm","Wednesday","25","0","0","","SOS B52"
"GEOG-360","Environmental Disasters","","4.0 units","Lecture","35693R","001","9:00-9:50am","MWF","35","0","0","Rod Mc Kenzie","SOS B37"
"GEOG-431","California's Changing Landscapes","","4.0 units","Lecture","35710R","001","11:00-11:50am","MWF","25","0","0","","SOS B37"
"GEOG-790","Research","","1.0-12.0 units","Lecture","35781D","001","TBA","TBA","10","0","0","","OFFICE"
"GEOG-794a","Doctoral Dissertation","","2.0 units","Lecture","35783D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794b","Doctoral Dissertation","P","2.0 units","Lecture","35786D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794c","Doctoral Dissertation","P","2.0 units","Lecture","35789D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794d","Doctoral Dissertation","P","2.0 units","Lecture","35792D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794z","Doctoral Dissertation","P","0.0 units","Lecture","35795D","001","TBA","TBA","10","0","0","","OFFICE"
