"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GEOL-107Lg","Oceanography","","4.0 units","Lecture","24828R","001","1:00-1:50pm","MWF","240","0","0","Sarah Feakins","SAL101"
"","","","","Lab","24829R","001","8:00-9:50am","Wednesday","20","0","0","","ZHS B61"
"","","","","Lab","24830R","001","8:00-9:50am","Tuesday","20","0","0","","ZHS B61"
"","","","","Lab","24834R","001","10:00-11:50am","Tuesday","20","0","0","","ZHS B61"
"","","","","Lab","24836R","001","10:00-11:50am","Thursday","20","0","0","","ZHS B61"
"","","","","Lab","24837R","001","10:00-11:50am","Friday","20","0","0","","ZHS B61"
"","","","","Lab","24838R","001","12:00-1:50pm","Tuesday","20","0","0","","ZHS B61"
"","","","","Lab","24840R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS B61"
"","","","","Lab","24842R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS B61"
"","","","","Lab","24846R","001","2:00-3:50pm","Tuesday","20","0","0","","ZHS B61"
"","","","","Lab","24848R","001","2:00-3:50pm","Wednesday","22","0","0","","ZHS B61"
"","","","","Lab","24850R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B61"
"","","","","Lab","24851R","001","2:00-3:50pm","Friday","20","0","0","","ZHS B61"
"GEOL-125Lg","Earth History: A Planet and Its Evolution","","4.0 units","Lecture","25138R","001","11:00-12:20pm","Tue, Thu","240","1","0","Frank Corsetti","SGM123"
"","","","","Lab","25140R","001","8:00-9:50am","Wednesday","20","0","0","","ZHS B54"
"","","","","Lab","25142R","001","8:00-9:50am","Friday","20","0","0","","ZHS B54"
"","","","","Lab","25144R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS B54"
"","","","","Lab","25146R","001","10:00-11:50am","Friday","20","0","0","","ZHS B54"
"","","","","Lab","25148R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B54"
"","","","","Lab","25150R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B54"
"","","","","Lab","25160R","001","12:00-1:50pm","Friday","20","1","0","","ZHS B54"
"","","","","Lab","25161R","001","2:00-3:50pm","Tuesday","20","0","0","","ZHS B54"
"","","","","Lab","25162R","001","2:00-3:50pm","Thursday","20","0","0","","ZHS B54"
"","","","","Lab","25163R","001","2:00-3:50pm","Friday","20","0","0","","ZHS B54"
"","","","","Lab","25164R","001","4:00-5:50pm","Tuesday","20","0","0","","ZHS B54"
"","","","","Lab","25165R","001","4:00-5:50pm","Thursday","20","0","0","","ZHS B54"
"GEOL-130Lg","The Nature of Scientific Inquiry","","4.0 units","Lecture","25124R","001","9:30-10:50am","Tue, Thu","180","0","0","Steve Lund","SAL101"
"","","","","Lab","25125R","001","8:00-9:50am","Friday","20","0","0","","ZHS B65"
"","","","","Lab","25126R","001","12:00-1:50pm","Friday","20","0","0","","ZHS B65"
"","","","","Lab","25128R","001","10:00-11:50am","Wednesday","20","0","0","","ZHS B65"
"","","","","Lab","25130R","001","10:00-11:50am","Friday","20","0","0","","ZHS B65"
"","","","","Lab","25132R","001","12:00-1:50pm","Tuesday","20","0","0","","ZHS B65"
"","","","","Lab","25133R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B65"
"","","","","Lab","25134R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS B65"
"","","","","Lab","25135R","001","2:00-3:50pm","Friday","20","0","0","","ZHS B65"
"","","","","Lab","25136R","001","2:00-3:50pm","Tuesday","20","0","0","","ZHS B65"
"GEOL-150Lg","Climate Change","","4.0 units","Lecture","24872R","001","10:00-10:50am","MWF","240","0","0","Julien Emile-Geay","SAL101"
"","","","","Lab","24874R","001","8:00-9:50am","Thursday","20","0","0","","ZHS B56"
"","","","","Lab","24876R","001","10:00-11:50am","Thursday","20","0","0","","ZHS B56"
"","","","","Lab","24877R","001","4:00-5:50pm","Wednesday","20","0","0","","ZHS B56"
"","","","","Lab","24878R","001","12:00-1:50pm","Tuesday","20","0","0","","ZHS B56"
"","","","","Lab","24879R","001","12:00-1:50pm","Wednesday","20","0","0","","ZHS B56"
"","","","","Lab","24880R","001","12:00-1:50pm","Thursday","20","0","0","","ZHS B56"
