"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GERO-200","Gerontology: The Science of Adult Development","","4.0 units","Lecture","36200R","001","TBA","TBA","105","0","0","John Walsh","ONLINE"
"GERO-315g","A Journey into the Mind","","4.0 units","Lecture","36210R","001","11:00-1:50pm","Mon, Wed","120","0","0","John Walsh","GER124"
"GERO-340","Policy, Values, and Power in an Aging Society","","4.0 units","Lecture","36230R","001","10:00-11:50am","Tue, Thu","30","0","0","Zach Gassoumis","HED103"
"GERO-353g","Social and Behavioral Foundations of Health and Aging","","4.0 units","Lecture","36235R","001","9:00-10:50am","Mon, Wed","25","0","0","Jennifer Ailshire","GER224"
"GERO-380m","Diversity in Aging","","4.0 units","Lecture","36242R","001","TBA","TBA","200","2","0","George Shannon, Julie Bates, Tameka Brown","ONLINE"
"GERO-411L","Physiology, Nutrition, and Aging","","2.0-4.0 units","Lecture-Lab","36245R","001","4:00-5:50pm","Tuesday","20","1","0","Carin Kreutzer","GER305"
"GERO-414","Neurobiology of Aging","P","4.0 units","Lecture","36250R","001","2:00-3:50pm","Mon, Wed","45","3","0","John Walsh","GER124"
"GERO-416","Health Issues in Adulthood","","4.0 units","Lecture","36255R","001","10:00-11:50am","Mon, Wed","20","1","0","Christian Pike, Freddi Segal-Gidan","KAP113"
"GERO-435m","Women and Aging: Psychological, Social, and Political Implications","","4.0 units","Lecture","36259R","001","9:00-10:50am","Tue, Thu","25","0","0","Caroline Cicero","GER224"
"GERO-440","Biodemography of Aging","P","4.0 units","Lecture","36265R","001","2:00-4:50pm","Monday","50","0","0","Sean Curran","GER224"
"GERO-475","Ethical Issues in Geriatric Health Care","","4.0 units","Lecture","36270R","001","2:00-3:50pm","Tue, Thu","20","0","0","Ryenn West","HED103"
"GERO-481","Case Management for Older Adults","","4.0 units","Lecture","36275R","001","4:00-6:50pm","Monday","25","0","0","Donna Benton","GER230"
"GERO-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","36280D","001","TBA","TBA","20","0","0","","OFFICE"
"GERO-491","Practicum","","2.0-8.0 units, max 8","Lecture","36282D","001","1:00-3:50pm","Wednesday","15","0","0","Anna Nguyen","GER230"
"GERO-492","Senior Seminar","","4.0 units","Lecture","36285R","001","TBA","TBA","20","1","0","Aaron Hagedorn","OFFICE"
"GERO-493","Longevity and Death among Ancient and Modern European Popula","","2.0 units","Lecture","36286R","609","TBA","TBA","12","1","0","Susan Enguidanos","OFF CAMPUS"
