"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GESM-110g","Seminar in the Arts","C","4.0 units"
"","Looking at Language","","4.0","Lecture","35290R","001","9:30-10:50am","Tue, Thu","2","0","0","Alice Gambrell","THH214"
"","Modern Russian Art","","4.0","Lecture","35291R","001","8:00-9:20am","Tue, Thu","2","0","0","John Bowlt","VKC255"
"","Scripture and Script: The Hebrew Bible in Modern Literature and Film","","4.0","Lecture","35292R","001","9:30-10:50am","Tue, Thu","2","0","0","Leah Hochman","LVL3Y"
"","World Arts, Cultures, and Empires","","4.0","Lecture","35293R","001","8:30-9:50am","Mon, Wed","2","0","0","Indra Mukhopadhyay","GFS228"
"","How to Tell Stories with Pictures","","4.0","Lecture","35294R","001","2:00-2:50pm","MWF","2","0","0","Hector Reyes","VKC209"
"","Designing Things for Kids","","4.0","Lecture","35295R","001","11:00-12:20pm","Tue, Thu","2","0","0","Amy Ogata","LVL3Y"
"","Soundscapes","","4.0","Lecture","35296R","001","12:00-12:50pm","MWF","2","0","0","Eric Rawson","VKC255"
"","Creating Art for Real Life","","4.0","Lecture","35297R","001","12:30-1:50pm","Tue, Thu","2","0","0","Michael Bunn","LVL3Y"
"","Classic and Contemporary Fairy Tales","","4.0","Lecture","35298R","001","1:00-1:50pm","MWF","2","0","0","Aimee Bender","VKC255"
"","Imitation of Life: Art in the Twentieth Century","","4.0","Lecture","35299R","001","2:00-3:20pm","Mon, Wed","2","0","0","Megan Luke","LVL3Y"
"","Medieval Art and Christian Ritual","","4.0","Lecture","35300R","001","2:00-3:20pm","Tue, Thu","2","0","0","Carolyn Malone","VKC200"
"","Making Paintings","","4.0","Lecture","35305R","001","10:00-11:50am","Mon, Wed","2","0","0","","HAR202"
"","Exile and Identity? Modern Israeli and Palestinian Artists","","4.0","Lecture","35306R","001","11:00-12:20pm","Tue, Thu","2","0","0","",""
"","The Modern Movement in Architecture","","4.0","Lecture","35307R","001","12:30-1:50pm","Tue, Thu","2","0","0","James Steele","WAHB1"
"","Intensive Survey: Prehistory to the Present","","4.0","Lecture","35308R","001","2:00-3:20pm","Mon, Wed","2","0","0","Kenneth Breisch","GFS228"
"","Photography, Art, and the Landscape","","4.0","Lecture","35309R","001","2:00-3:50pm","Mon, Wed","2","0","0","Caroline Clerc","WAH6"
