"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GSBA-502","Management Communication for Leaders","C","3.0 units","Lecture","15510R","390","TBA","TBA","25","0","0","Marion Philadelphia","ONLINE"
"GSBA-504b","Operations Management","PC","1.5 units","Lecture","15532D","411","12:30-1:50pm","Mon, Wed","45","0","0","Hiroshi Ochiumi","HOH415"
"GSBA-520x","Business Fundamentals for Non-Business Professionals","M","3.0-4.0 units","Lecture","15649R","036","6:30-9:30pm","Tuesday","30","12","0","Merle Hopkins, Dennis Rook, Sriram Dasu, Terance Wolfe</a>","ACC310"
"","","","","Lecture","15651D","036","TBA","Thursday","1","0","0","Merle Hopkins, Terance Wolfe, Sriram Dasu, Dennis Rook",""
"GSBA-548","Corporate Finance","C","2.0-3.0 units","Lecture","15900R","036","11:00-12:20pm","Mon, Wed","40","8","0","","BRI202"
"GSBA-554","Digital Strategies for Sustainability in Global Markets","MC","3.0 units","Lecture","15845D","033","9:00-11:50am","Saturday","30","0","0","Omar El Sawy","ACC205"
"GSBA-555","Management and Organization of the Creative Industries","M","3.0 units","Lecture","15847D","033","3:30-6:20pm","Wednesday","41","0","0","Mark Young","BRI202"
"","","","","Lecture","15849D","033","6:30-9:30pm","Wednesday","41","0","0","Mark Young","BRI202"
"GSBA-556","Business Models for Interactive Digital Media &amp; Services","M","3.0 units","Lecture","15855D","033","6:30-9:30pm","Tuesday","45","0","0","","JKP204"
"GSBA-563","Technology and Information Systems Management","","6.0 units","Lecture","15914R","752","8:30-4:30pm","MThFSU","35","0","0","","SHANGHAI"
"GSBA-572","Strategic Planning for Growth","","11.0 units","Lecture","15960R","406","TBA","TBA","52","29","0","","OFFICE"
"GSBA-573","Managing Strategic Change and Implementation","","6.0 units","Lecture","15965R","754","8:30-4:30pm","MThFSU","35","0","0","","JKP"
"GSBA-574","The Executive of the Future","","2.0 units","Lecture","15970R","755","8:30-4:30pm","MThFSU","35","0","0","","JKP"
"GSBA-590","Directed Research","","1.0-12.0 units","Lecture","16064D","033","TBA","TBA","15","0","0","","OFFICE"
"GSBA-592","Field Research in Business","C","0.5-4.0 units, max 12","Lecture","16069D","033","TBA","TBA","10","0","0","","OFFICE"
"GSBA-593","Independent Research in Business","C","0.5-4.0 units, max 12","Lecture","16074D","033","TBA","TBA","10","0","0","","OFFICE"
"GSBA-595","Internship in Business","MC","0.5-2.0 units, max 9","Lecture","16079D","033","TBA","TBA","10","0","0","","OFFICE"
"GSBA-596","Research Practicum in Business","C","0.5-2.0 units, max 8","Lecture","16084D","033","TBA","TBA","10","0","0","","OFFICE"
"GSBA-597","Consulting Project in Business","C","1.0-0.5 units, max 12","Lecture","16089D","033","TBA","TBA","10","0","0","","OFFICE"
"GSBA-599","Special Topics","","1.0-3.0 units, max 9"
"","Organizational Behavior","","1.5","Lecture","16094D","711","TBA","TBA","16","0","0","","OFFICE"
"GSBA-612","Selected Issues in Economic Theory II","PMC","3.0 units","Lecture","16111R","036","2:30-5:20pm","Tuesday","15","4","0","","HOH506"
"GSBA-690","Tutorial on the Research Process","C","3.0 units, max 9","Lecture","16170R","036","1:30-4:00pm","Monday","12","0","0","","HOH506"
"GSBA-790","Research","","1.0-12.0 units","Lecture","16121D","036","TBA","TBA","15","0","0","","OFFICE"
"GSBA-794a","Doctoral Dissertation","","2.0 units","Lecture","16125R","036","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794b","Doctoral Dissertation","P","2.0 units","Lecture","16126R","036","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794c","Doctoral Dissertation","P","2.0 units","Lecture","16127R","036","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794d","Doctoral Dissertation","P","2.0 units","Lecture","16128R","036","TBA","TBA","20","0","0","","OFFICE"
"GSBA-794z","Doctoral Dissertation","P","0.0 units","Lecture","16129D","036","TBA","TBA","20","0","0","","OFFICE"
