"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HBIO-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Tue, Thu","140","0","0","Trond Sigurdsen","SGM123"
"","","","","Lab","38513R","001","8:00-9:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38515R","001","10:00-11:50am","Tuesday","20","0","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Thursday","20","0","0","","AHF B10"
"","","","","Lab","38518R","001","12:00-1:50pm","Tuesday","20","0","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","0","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Thursday","20","0","0","","AHF B10"
"HBIO-202L","Principles of Nutrition and Exercise","","2.0 units","Lecture","38400R","001","10:00-10:50am","Mon, Wed","49","0","0","Bob Girandola","ZHS163"
"","","","","Lab","38401R","001","TBA","TBA","25","0","0","Gudrun Floyd","OFFICE"
"","","","","Lab","38402R","001","TBA","TBA","24","0","0","","TBA"
"HBIO-203L","Individualized Exercise Prescription","","2.0 units","Lecture","38405R","001","11:00-11:50am","Tue, Thu","50","0","0","Gioia Polidori Francisco","THH114"
"","","","","Lab","38406R","001","2:00-3:50pm","Monday","25","0","0","Gioia Polidori Francisco","PED B15A"
"","","","","Lab","38407R","001","8:00-9:50am","Wednesday","25","0","0","",""
"HBIO-205Lxg","The Science of Sport","","4.0 units","Lecture","38411R","001","9:00-9:50am","MWF","126","0","0","Bob Girandola","THH202"
"","","","","Lab","38412R","001","10:00-11:50am","Tuesday","18","0","0","Gudrun Floyd","PED B15A"
"","","","","Lab","38413R","001","2:00-3:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38414R","001","4:00-5:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38415R","001","12:00-1:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38417R","001","10:00-11:50am","Thursday","18","0","0","","PED B15A"
"","","","","Lab","38418R","001","8:00-9:50am","Tuesday","18","0","0","Gudrun Floyd","PED B15A"
"","","","","Lecture","38420R","001","9:30-10:50am","Tue, Thu","126","1","0","Bob Girandola","THH202"
"","","","","Lab","38421R","001","6:00-7:50pm","Tuesday","18","0","0","","PED B15A"
"","","","","Lab","38422R","001","2:00-3:50pm","Wednesday","18","0","0","Tamara Espinet","PED B15A"
"","","","","Lab","38423R","001","12:00-1:50pm","Thursday","18","0","0","Gudrun Floyd","PED B15A"
"","","","","Lab","38424R","001","6:00-7:50pm","Thursday","18","0","0","","PED B15A"
"","","","","Lab","38425R","001","10:00-11:50am","Friday","18","1","0","Tamara Espinet","PED B15A"
"","","","","Lab","38426R","001","12:00-1:50pm","Friday","18","0","0","Gudrun Floyd","PED B15A"
"HBIO-250g","The Pharmacology of Performance Enhancing Drugs","","4.0 units","Lecture-Discussion","38429R","001","8:00-8:50am","MWF","45","0","0","Erik Kolb","THH114"
"HBIO-300","Evolution, Ecology, and Culture","","4.0 units","Lecture","38529R","001","4:00-6:50pm","Monday","15","0","0","Trond Sigurdsen","AHF B10"
"HBIO-301L","Human Anatomy","","4.0 units","Lecture","38434R","001","10:00-10:50am","MWF","90","0","0","Erik Kolb","THH102"
"","","","","Lab","38435R","001","2:00-4:50pm","Tuesday","18","0","0","Tamara Espinet","PED B7"
"","","","","Lab","38437R","001","2:00-4:50pm","Wednesday","18","0","0","","PED B7"
"","","","","Lab","38438R","001","11:00-1:50pm","Thursday","18","0","0","Tamara Espinet","PED B7"
"","","","","Lab","38440R","001","11:00-1:50pm","Thursday","18","0","0","Tamara Espinet",""
"","","","","Lab","38441R","001","2:00-4:50pm","Thursday","18","0","0","","PED B7"
"HBIO-306","Primate Social Behavior and Ecology","","4.0 units","Lecture","38531R","001","2:00-3:20pm","Mon, Wed","20","1","0","Craig Stanford","AHF B10"
"HBIO-310","Sociopsychological Aspects of Sport and Physical Activity","","4.0 units","Lecture","38449R","001","9:30-10:50am","Tue, Thu","35","0","0","John Callaghan","THH119"
"HBIO-350","Nutrition and Homeostasis","P","4.0 units","Lecture-Discussion","38457R","001","10:00-11:50am","Mon, Wed","20","0","0","Gioia Polidori Francisco","SOS B47"
"HBIO-401","Physiology and Biomechanics of Movement","P","4.0 units","Lecture","38469R","001","8:00-9:20am","Tue, Thu","30","0","0","Laura Held, Gioia Polidori Francisco</a>","THH118"
"","","","","Lab","38470R","001","5:00-7:50pm","Thursday","15","0","0","","PED B16"
"","","","","Lab","38471R","001","11:00-1:50pm","Tuesday","15","0","0","","PED B16"
"HBIO-406","Theory and Method in Human Evolutionary Biology","P","4.0 units","Lecture","38535R","001","4:00-6:50pm","Thursday","15","0","0","Trond Sigurdsen","AHF B10"
"HBIO-407L","Endocrinology and Metabolism","P","4.0 units","Lecture","38474R","001","9:30-10:50am","Tue, Thu","75","2","0","Lorraine Turcotte","ZHS352"
"","","","","Lab","38475R","001","11:00-1:50pm","Monday","15","0","0","Tamara Espinet","PED B15A"
"","","","","Lab","38476R","001","8:00-10:50am","Monday","15","1","0","Gudrun Floyd","PED B15A"
"","","","","Lab","38477R","001","2:00-4:50pm","Thursday","15","1","0","","PED B15A"
"","","","","Lab","38478R","001","8:00-10:50am","Wednesday","15","0","0","Gudrun Floyd","PED B15A"
"HBIO-409","Metabolic Diseases","P","4.0 units","Lecture","38486R","001","2:00-3:20pm","Tue, Thu","15","0","0","Scott Kanoski","WPH106"
"HBIO-420L","Applied Human Physiology","P","4.0 units","Lecture","38488R","001","9:00-9:50am","MWF","75","0","0","Erik Kolb","MHP106"
"","","","","Lab","38489R","001","11:00-1:50pm","Wednesday","15","0","0","Tamara Espinet","PED B16"
"","","","","Lab","38490R","001","2:00-4:50pm","Monday","15","0","0","Gudrun Floyd","PED B16"
"","","","","Lab","38491R","001","5:00-7:50pm","Wednesday","14","0","0","Tamara Espinet","PED B16"
"","","","","Lab","38492R","001","5:00-7:50pm","Monday","15","0","0","Gudrun Floyd","PED B16"
"","","","","Lab","38493R","001","8:00-10:50am","Tuesday","15","0","0","Tamara Espinet","PED B16"
"HBIO-439L","Human Performance and Bioenergetics","P","2.0-4.0 units","Lecture-Lab","38496R","001","2:00-4:50pm","Wednesday","15","0","0","",""
"HBIO-442L","Evaluation and Rehabilitation of Athletic Injuries","P","4.0 units","Lecture-Lab","38504R","001","12:30-1:50pm","Tue, Thu","37","0","0","Helaine Lopes","JMC210"
