"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-381g","Visual Culture of Asia","","4.0 units, max 8","Lecture","11977R","001","12:00-1:50pm","Mon, Wed","12","0","0","Sunkyung Kim","VKC379"
"AMST-150gw","The American War in Viet Nam","","4.0 units","Lecture","10338R","001","9:30-10:50am","Tue, Thu","8","1","0","Viet Nguyen","SGM124"
"","","","","Discussion","10339R","001","12:00-12:50pm","Wednesday","25","0","0","","VKC252"
"","","","","Discussion","10340R","001","2:00-2:50pm","Monday","25","0","0","","THH B9"
"","","","","Discussion","10341R","001","10:00-10:50am","Wednesday","25","0","0","","VKC209"
"","","","","Discussion","10342R","001","1:00-1:50pm","Wednesday","25","1","0","","VKC252"
"","","","","Discussion","10343R","001","1:00-1:50pm","Monday","25","0","0","","THH B9"
"","","","","Discussion","10344R","001","11:00-11:50am","Friday","25","0","0","","WPH106"
"","","","","Discussion","10345R","001","9:00-9:50am","Wednesday","25","0","0","","VKC211"
"","","","","Discussion","10346R","001","10:00-10:50am","Friday","25","0","0","","WPH106"
"AMST-301gp","America, the Frontier, and the New West","","4.0 units","Lecture","10408R","001","2:00-3:50pm","Mon, Wed","7","0","0","Thomas Gustafson","THH201"
"","","","","Discussion","10409R","001","11:00-11:50am","Friday","25","0","0","","VKC205"
"","","","","Discussion","10410R","001","12:00-12:50pm","Friday","25","0","0","","VKC205"
"","","","","Discussion","10411R","001","4:00-4:50pm","Monday","25","0","0","","VKC109"
"","","","","Discussion","10412R","001","4:00-4:50pm","Wednesday","26","0","0","","VKC109"
"","","","","Discussion","10413R","001","2:00-2:50pm","Friday","25","0","0","","VKC258"
"","","","","Discussion","10414R","001","3:00-3:50pm","Tuesday","25","0","0","","VKC151"
"","","","","Discussion","10415R","001","4:00-4:50pm","Tuesday","25","0","0","","VKC155"
"","","","","Discussion","10416R","001","3:00-3:50pm","Friday","24","0","0","","WPH103"
"CLAS-150g","Greeks and Legacies","","4.0 units","Lecture","19800R","001","12:30-1:50pm","Tue, Thu","150","0","0","James Collins","THH301"
"","","","","Discussion","19801D","001","8:00-8:50am","Wednesday","25","0","0","","VKC151"
"","","","","Discussion","19802R","001","9:00-9:50am","Wednesday","25","0","0","","VKC157"
"","","","","Discussion","19803R","001","2:00-2:50pm","Wednesday","25","0","0","","SOS B37"
"","","","","Discussion","19804R","001","3:00-3:50pm","Wednesday","25","0","0","","SOS B37"
"","","","","Discussion","19805D","001","2:00-2:50pm","Friday","25","0","0","","VKC158"
"","","","","Discussion","19806R","001","3:00-3:50pm","Friday","25","0","0","","VKC158"
"CLAS-160gp","Ancient Lives","","4.0 units","Lecture","19820R","001","2:00-3:20pm","Tue, Thu","100","0","0","Vincent Farenga","THH301"
"","","","","Discussion","19821R","001","2:00-2:50pm","Monday","25","0","0","","VKC207"
"","","","","Discussion","19822R","001","3:00-3:50pm","Monday","25","0","0","","VKC207"
"","","","","Discussion","19823R","001","8:00-8:50am","Friday","25","0","0","","VKC151"
"","","","","Discussion","19824R","001","9:00-9:50am","Friday","25","0","0","","VKC157"
"CLAS-337gp","Ancient Drama","","4.0 units","Lecture","19828R","001","11:00-11:50am","MWF","30","0","0","Stefano Rebeggiani","THH213"
"CLAS-348g","Athens in the Age of Democracy and Empire","","4.0 units","Lecture","19833R","001","3:30-4:50pm","Tue, Thu","10","0","0","","THH111"
