"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HIST-100gm","The American Experience","","4.0 units","Lecture","36980R","001","11:00-11:50am","MWF","150","1","0","Michael Block","MRF340"
"","","","","Discussion","36982R","001","8:00-8:50am","Friday","25","0","0","","WPH205"
"","","","","Discussion","36983R","001","9:00-9:50am","Friday","25","0","0","","WPH205"
"","","","","Discussion","36985R","001","10:00-10:50am","Friday","25","0","0","","WPH205"
"","","","","Discussion","36986R","001","12:00-12:50pm","Friday","25","1","0","","THH110"
"","","","","Discussion","36987R","001","1:00-1:50pm","Friday","25","0","0","","THH110"
"","","","","Discussion","36988R","001","2:00-2:50pm","Friday","25","0","0","","THH110"
"HIST-102gm","Medieval People","","4.0 units","Lecture","36909R","001","11:00-12:20pm","Tue, Thu","50","0","0","Jason Glenn","VKC102"
"","","","","Discussion","36910R","001","9:00-9:50am","Friday","25","0","0","","VKC206"
"","","","","Discussion","36911R","001","10:00-10:50am","Friday","25","0","0","","VKC206"
"HIST-105g","The Korean Past","","4.0 units","Lecture","36940R","001","2:00-3:20pm","Tue, Thu","50","0","0","Kyung Hwang","THH116"
"","","","","Discussion","36941R","001","11:00-11:50am","Friday","25","0","0","","THH214"
"","","","","Discussion","36944R","001","12:00-12:50pm","Friday","25","0","0","","THH214"
"HIST-201","Approaches to History","","4.0 units","Lecture","37000D","001","10:00-10:50am","MWF","15","0","0","Lindsay O'Neill","VKC104"
"","","","","Lecture","37100D","001","12:30-1:50pm","Tue, Thu","15","0","0","Marjorie Becker","THH115"
"","","","","Lecture","37101D","001","8:30-9:50am","Mon, Wed","15","0","0","Michael Block","THH109"
"HIST-220","Murder on Trial in America","","4.0 units","Lecture","37020R","001","11:00-12:20pm","Tue, Thu","25","0","0","Karen Halttunen","WPH202"
"HIST-225g","Film, Power, and American History","","4.0 units","Lecture","36991R","001","10:00-11:50am","Mon, Wed","7","0","0","Steve Ross","THH301"
"","","","","Discussion","36992R","001","8:00-8:50am","Friday","25","0","0","","WPH103"
"","","","","Discussion","36993R","001","9:00-9:50am","Friday","25","0","0","","WPH103"
"","","","","Discussion","36994R","001","10:00-10:50am","Friday","25","0","0","","THH121"
"","","","","Discussion","36995R","001","1:00-1:50pm","Friday","25","0","0","","WPH101"
"","","","","Discussion","36996R","001","11:00-11:50am","Friday","25","0","0","","WPH101"
"","","","","Discussion","36997R","001","12:00-12:50pm","Friday","25","0","0","","WPH101"
"HIST-240g","History of California","","4.0 units","Lecture","37130R","001","10:00-10:50am","MWF","5","0","0","Elizabeth Logan","MRF340"
"","","","","Discussion","37131R","001","11:00-11:50am","Wednesday","25","0","0","Elizabeth Logan","SOS B52"
"","","","","Discussion","37132R","001","12:00-12:50pm","Wednesday","25","0","0","Elizabeth Logan","SOS B52"
"","","","","Discussion","37133R","001","1:00-1:50pm","Wednesday","25","0","0","Elizabeth Logan","SOS B52"
"","","","","Discussion","37134R","001","2:00-2:50pm","Wednesday","25","0","0","Elizabeth Logan","WPH102"
"HIST-266g","Business and East Asian Culture, 1800-Present","","4.0 units","Lecture","37017R","001","9:30-10:50am","Tue, Thu","100","1","0","Brett Sheehan","MRF340"
"","","","","Discussion","37108R","001","9:00-9:50am","Monday","25","0","0","","SOS B41"
"","","","","Discussion","37109R","001","10:00-10:50am","Monday","25","0","0","","SOS B41"
"","","","","Discussion","37111R","001","11:00-11:50am","Monday","25","0","0","","SOS B41"
"","","","","Discussion","37112R","001","12:00-12:50pm","Monday","25","1","0","","SOS B41"
"HIST-275g","The Worlds of the Silk Road","","4.0 units","Lecture","37040R","001","9:30-10:50am","Tue, Thu","50","1","0","Azade-Ayse Rorlich","WPH B28"
"","","","","Discussion","37041R","001","11:00-11:50am","Monday","25","0","0","","SOS B48"
"","","","","Discussion","37042R","001","12:00-12:50pm","Monday","25","1","0","","SOS B48"
"HIST-347","Urbanization in the American Experience","","4.0 units","Lecture","37055R","001","3:30-4:50pm","Wed, Fri","25","0","0","Gina Greene","THH121"
"HIST-352","The American Civil War","","4.0 units","Lecture","37060R","001","9:30-10:50am","Tue, Thu","100","0","0","Diana Williams","WPH B27"
"","","","","Discussion","37062R","001","10:00-10:50am","Wednesday","25","0","0","","SOS B48"
"","","","","Discussion","37064R","001","11:00-11:50am","Wednesday","25","0","0","","SOS B48"
"","","","","Discussion","37065R","001","12:00-12:50pm","Wednesday","25","0","0","","SOS B48"
"","","","","Discussion","37066R","001","1:00-1:50pm","Wednesday","25","0","0","","WPH B26"
"HIST-354","Mexican Migration to the United States","","4.0 units","Lecture","37061R","001","8:30-9:50am","Mon, Wed","25","0","0","Adam Goodman","WPH201"
"HIST-355","The African-American Experience","","4.0 units","Lecture","37063R","001","12:30-1:50pm","Tue, Thu","19","0","0","Francille Wilson","WPH201"
"HIST-358","U.S. Gay and Lesbian History","","4.0 units","Lecture","34938R","001","8:30-9:50am","Mon, Wed","19","0","0","Alice Echols","THH115"
"HIST-366","The People's Republic of China","","4.0 units","Lecture","37090R","001","11:00-12:20pm","Tue, Thu","25","0","0","Joshua Goldstein","WPH201"
"HIST-372","Modern Latin America","","4.0 units","Lecture","37095R","001","2:00-3:20pm","Tue, Thu","15","0","0","Marjorie Becker","THH209"
"HIST-373m","History of the Mexican American","","4.0 units","Lecture","10428R","001","2:00-3:20pm","Mon, Wed","30","0","0","Alicia Chavez","GFS108"
"HIST-389","Modern Iran: Fall of Monarchies and Rise of Islamic Republic","","4.0 units","Lecture","41556R","001","9:30-10:50am","Tue, Thu","12","0","0","","SOS B51"
"HIST-393g","Quantitative Historical Analysis","","4.0 units","Lecture","37094R","001","11:00-11:50am","MWF","15","0","0","Lon Kurashige","VKC104"
"HIST-404","Seminar in Korean History","","4.0 units","Lecture","37102R","001","2:00-4:50pm","Wednesday","15","0","0","Kyung Hwang","WPH200"
"HIST-407","Europe in the 10th Century","","4.0 units","Lecture","37103R","001","2:00-4:50pm","Tuesday","12","0","0","Jason Glenn","THH109"
"HIST-415","Medieval and Early Modern Russia","","4.0 units","Lecture","37208R","001","12:30-1:50pm","Tue, Thu","15","0","0","Azade-Ayse Rorlich","SOS B37"
"HIST-425","The Era of the First World War","","4.0 units","Lecture","37195R","001","2:00-4:50pm","Thursday","15","0","0","Elinor Accampo","THH107"
"HIST-440","Early Modern World History","","4.0 units","Lecture","37163R","001","2:00-4:50pm","Monday","15","0","0","Matthew Sargent","MRF229"
"HIST-442","The Ethics of Financial and Political Accountability","","4.0 units","Lecture","37188R","001","12:30-1:50pm","Tue, Thu","15","0","0","Jacob Soll","WPH200"
"HIST-446","Resistance to Genocide","","4.0 units","Lecture","37170R","001","2:00-3:20pm","Tue, Thu","15","0","0","Wolf Gruner","SOS B37"
"HIST-455","Advanced Topics in African-American History","C","4.0 units","Lecture","37198R","001","2:00-4:50pm","Thursday","15","0","0","Shaun Ossei-Owusu","THH109"
"HIST-465","America in the Cold War World, 1945-1991","","4.0 units","Lecture","37120R","001","2:00-4:50pm","Monday","15","0","0","Peter Collopy","WPH200"
