"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"HP-200","Introduction to Health Promotion and Disease Prevention","","4.0 units","Lecture","40550R","001","9:30-10:50am","Tue, Thu","80","0","0","","GFS116"
"HP-290","Introduction to Research Apprenticeship","","2.0 units, max 8","Lecture","40553D","001","1:00-2:50pm","Friday","20","0","0","David Glasgow, Elahe Nezami","THH102"
"HP-300","Theoretical Principles of Health Behavior","P","4.0 units","Lecture","40556R","001","11:00-12:20pm","Tue, Thu","65","1","0","David Black","LVL17"
"HP-320","Biological and Behavioral Basis of Disease","P","4.0 units","Lecture","40554R","001","3:30-4:50pm","Tue, Thu","70","1","0","Mariana Stern","GFS101"
"HP-340Lg","Health Behavior Statistical Methods","","4.0 units","Lecture-Lab","40567D","001","3:30-4:50pm","Tue, Thu","50","0","0","","VKC102"
"","","","","Lecture-Lab","40574R","001","3:30-4:50pm","Tue, Thu","117","1","0","Juan Lewinger","ZHS159"
"HP-350L","Health Behavior Research Methods","","4.0 units","Lecture-Lab","40562D","001","9:30-10:50am","Tue, Thu","69","0","0","Melissa Wilson","THH208"
"","","","","Lecture-Lab","40592R","001","12:00-1:50pm","Mon, Wed","53","0","0","Matthew Kirkpatrick","SOS B44"
"HP-400m","Culture, Lifestyle, and Health","","4.0 units","Lecture","40570R","001","12:30-1:50pm","Tue, Thu","72","0","0","",""
"HP-401","Cultural Competence in Medicine","","4.0 units","Lecture","40568R","001","10:00-11:50am","Mon, Wed","60","1","0","Julia Borovay","THH210"
"HP-402","Maternal and Child Health","","4.0 units","Lecture","40571R","001","5:00-8:20pm","Tuesday","50","1","0","","VKC100"
"HP-405","Sexually Transmitted Diseases: A Global Public Health Priority","","4.0 units","Lecture","40573R","001","6:00-9:20pm","Thursday","60","3","0","Panayiota Courelli","THH212"
"HP-410","Issues in Prevention and Cessation of Drug Abuse","","4.0 units","Lecture","40580R","001","12:30-1:50pm","Tue, Thu","25","0","0","Steven Sussman","VKC206"
"HP-431","Behavior and Education Strategies for Nutrition and Fitness","","4.0 units","Lecture","40589R","001","2:00-3:20pm","Tue, Thu","72","1","0","","THH210"
"HP-440","Happiness, Well-Being, and Health","","4.0 units","Lecture","40590R","001","2:00-3:20pm","Mon, Wed","55","2","0","Joel Milam","VKC150"
"HP-441","Health Promotion in the Work Place","","4.0 units","Lecture","40586R","001","2:00-3:20pm","Tue, Thu","20","0","0","",""
"HP-446","Poisons, People, and Politics","","4.0 units","Lecture","40618D","001","2:00-3:20pm","Tue, Thu","20","0","0","Edward Avol","VKC106"
"HP-448","Global Environmental Changes and Health","","4.0 units","Lecture","40557R","001","11:00-12:20pm","Tue, Thu","25","0","0","Edward Avol","VKC209"
"HP-470","Case Studies in Global Health","P","4.0 units","Lecture","40572R","001","4:00-6:50pm","Monday","45","1","0","Mellissa Withers","VKC150"
"HP-490x","Directed Research","M","1.0-8.0 units, max 12","Lecture","40595D","001","1:00-2:50pm","Friday","95","0","0","David Glasgow, Elahe Nezami","THH102"
