"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"IML-103","Digital Studies Studio II","PM","4.0 units","Lecture-Lab","37401D","001","1:00-3:50pm","Friday","25","0","0","Evan Hughes","SCI L106"
"IML-104","Introduction to Digital Studies","","2.0 units","Lecture-Lab","37402R","001","11:00-12:50pm","Tuesday","20","0","0","Gabriel Peters-Lazaro","SCI L105"
"","","","","Lecture-Lab","37403R","001","9:00-10:50am","Wednesday","20","0","0","David Johnson","SCI L105"
"IML-140","Workshop in Multimedia Authoring","","2.0 units"
"","Digital Storytelling and Media Production","","2.0","Lecture-Lab","37405R","001","11:00-12:50pm","Wednesday","20","0","0","Ashley York","SCI L105"
"","Mashed Up: Remix Production and Culture","","2.0","Lecture-Lab","37406R","001","2:00-3:50pm","Thursday","20","0","0","Ashley York","SCI L105"
"","Digital Marketing and Social Media","","2.0","Lecture-Lab","37407R","001","4:00-5:50pm","Wednesday","20","0","0","Marc Fernandez","SCI L105"
"","Generation TEDx: Crafting Media-Based Talks","","2.0","Lecture-Lab","37408R","001","6:00-7:50pm","Wednesday","20","0","0","Marc Fernandez","SCI L105"
"","Designing the Photo Documentary: Image, Sound and Story","","2.0","Lecture-Lab","37409R","001","4:00-5:50pm","Tuesday","20","0","0","Michael Bodie","SCI L105"
"IML-222","Information Visualization","","4.0 units","Lecture-Lab","37416D","001","1:00-3:50pm","Monday","20","0","0","Evan Hughes","SCI L105"
"IML-288","Critical Thinking and Procedural Media","P","2.0 units","Lecture-Lab","37417R","001","2:00-3:50pm","Wednesday","20","0","0","David Johnson","SCI L104"
"IML-295Lm","Race, Class and Gender in Digital Culture","","4.0 units","Lecture-Lab","37418R","001","10:00-12:50pm","Thursday","35","0","0","David Johnson","SCI L106"
"IML-300","Reading and Writing the Web","","2.0 units","Lecture-Lab","37420D","001","10:00-11:50am","Friday","20","0","0","Evan Hughes","SCI L105"
"IML-309","Integrative Design for Mobile Devices","","4.0 units","Lecture-Lab","37422R","001","6:00-8:50pm","Tuesday","20","0","0","Tatiana Mulry","SCI L105"
"IML-310","Professionalism for Media Arts","PC","2.0 units","Lecture-Lab","37423R","001","4:00-5:50pm","Wednesday","20","0","0","James Boyda","SCI L104"
"IML-346","Methods in Digital Research","PC","2.0 units","Lecture-Lab","37425R","001","2:00-3:50pm","Thursday","20","0","0","Kiki Benzon","SCI L106"
"IML-385","Design Fiction and Speculative Futures","","4.0 units","Lecture-Lab","37426R","001","1:00-3:50pm","Thursday","20","0","0","Jennifer Stein","SCI L104"
"IML-400","Creative Coding for the Web","P","4.0 units","Lecture-Lab","37430D","001","4:00-6:50pm","Monday","20","0","0","Rhazes Spell","SCI L105"
"IML-404","Tactical Media","","4.0 units","Lecture-Lab","37432D","001","1:00-3:50pm","Wednesday","20","0","0","","SCI L105"
"IML-420m","New Media for Social Change","","4.0 units, max 8","Lecture-Lab","37433R","001","1:00-3:50pm","Tuesday","35","0","0","Vicki Callahan","SCI L106"
"IML-440","Interdisciplinary Thesis","P","4.0 units","Lecture-Lab","37434D","001","1:00-3:50pm","Tuesday","20","0","0","Virginia Kuhn","SCI L104"
"IML-444","Thesis Project II","PM","2.0 units","Lecture-Lab","37436D","001","4:00-5:50pm","Tuesday","20","0","0","Elizabeth Ramsey","SCI L106"
"IML-475","Media Arts Research Lab","","2.0-4.0 units, max 8"
"","Environmental Media: Narrative Design for Geo-Mobile Experiences","","2.0","Lecture-Lab","37441D","001","1:00-3:50pm","Wednesday","15","0","0","Scott Fisher","SCI206"
"IML-490","Directed Research","P","1.0-8.0 units, max 12","Lecture","37445D","001","TBA","TBA","5","0","0","","OFFICE"
"","","","","Lecture","37446D","001","TBA","TBA","5","0","0","","OFFICE"
"IML-499","Special Topics","","2.0-4.0 units, max 8"
"","Back to Reality: The Theatricality of Digital Media","","2.0","Lecture-Lab","37447R","001","10:00-12:50pm","Wednesday","15","0","0","Michael Bodie","SCI L106"
"","Hypercinemas Studio","","4.0","Lecture-Lab","37448R","001","10:00-12:50pm","Thursday","15","0","0","Gabriel Peters-Lazaro","SCI L104"
"IML-500","Digital Media Tools and Tactics","C","2.0 units, max 4","Lecture-Lab","37450D","037","10:00-12:50pm","Tuesday","15","0","0","Michael Bodie","SCI L104"
"","","","","Lecture-Lab","37451R","037","6:00-7:50pm","Wednesday","15","3","0","Vicki Callahan","SCI L104"
"IML-502","Techniques of Information Visualization","C","4.0 units","Lecture-Lab","37456R","037","6:00-8:50pm","Tuesday","15","2","0","Virginia Kuhn","SCI L104"
"IML-555","Digital Pedagogies","","4.0 units","Lecture-Lab","37459R","037","1:00-3:50pm","Monday","15","0","0","Virginia Kuhn","SCI L104"
"IML-575","Graduate Media Arts Research Lab","C","2.0-4.0 units, max 8"
"","World Building as a Design Practice for Storytelling","","4.0","Lecture-Lab","37470R","037","9:00-11:50am","Tue, Thu","15","1","0","Alexander McDowell","RZC120"
"IML-590","Directed Research","","1.0-12.0 units","Lecture","37475D","037","TBA","TBA","5","0","0","","OFFICE"
"","","","","Lecture","37476D","037","TBA","TBA","5","0","0","","OFFICE"
"IML-603","Media Arts and Practice Colloquium/Professional Seminar","","1.0 units, max 2","Lecture","37483D","037","10:00-11:50am","Thursday","15","0","0","Steven Anderson","SCI209"
"IML-604","Theories of Media Arts and Practice","","4.0 units","Lecture","37484D","037","1:00-3:50pm","Wednesday","15","0","0","Vicki Callahan","SCI L106"
"IML-794a","Doctoral Dissertation","","2.0 units","Lecture","37495D","037","TBA","TBA","3","0","0","","OFFICE"
"IML-794b","Doctoral Dissertation","P","2.0 units","Lecture","37496D","037","TBA","TBA","3","0","0","","TBA"
"IML-794c","Doctoral Dissertation","P","2.0 units","Lecture","37497D","037","TBA","TBA","3","0","0","","TBA"
"IML-794d","Doctoral Dissertation","P","2.0 units","Lecture","37498D","037","TBA","TBA","3","0","0","","TBA"
"IML-794z","Doctoral Dissertation","P","0.0 units","Lecture","37499D","037","TBA","TBA","3","0","0","","TBA"
