"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"INDS-100","Topical and Multidisciplinary Seminars","","1.0-4.0 units, max 12","Lecture","37500D","001","TBA","TBA","5","0","0","","OFFICE"
"INDS-101","Directed Research and Tutorials","","1.0-4.0 units","Lecture","37503D","001","TBA","TBA","5","0","0","","OFFICE"
"INDS-102","Field Study","","1.0-4.0 units","Lecture","37505D","001","TBA","TBA","5","0","0","","OFFICE"
"INDS-300","Topical and Multidisciplinary Seminars","","1.0-4.0 units, max 12","Lecture","37512D","001","TBA","TBA","10","0","0","","OFFICE"
"INDS-301","Directed Research and Tutorials","","1.0-4.0 units","Lecture","37515D","001","TBA","TBA","10","0","0","","OFFICE"
"INDS-302","Field Study","","1.0-4.0 units","Lecture","37518D","001","TBA","TBA","10","0","0","","OFFICE"
"INDS-400","Topical and Multidisciplinary Seminars","","1.0-4.0 units, max 12","Lecture","37521D","001","TBA","TBA","10","0","0","","OFFICE"
"INDS-401","Directed Research and Tutorials","","1.0-4.0 units","Lecture","37524D","001","TBA","TBA","10","0","0","","OFFICE"
"INDS-402","Field Study","","1.0-4.0 units","Lecture","37527D","001","TBA","TBA","10","0","0","","OFFICE"
"INDS-494","Senior Thesis","","1.0-8.0 units","Lecture","37530D","001","TBA","TBA","10","0","0","","OFFICE"
